ファイル名,地番区域,緯度,経度
砂川市/01226-4315-5.topojson,砂川市一の沢,43.521099,141.973007
砂川市/01226-4315-6.topojson,砂川市北光,43.517071,141.932617
砂川市/01226-4315-7.topojson,砂川市,43.494328,141.902527
砂川市/01226-4315-8.topojson,砂川市東六条北１１丁目,43.502975,141.916016
砂川市/01226-4315-8.topojson,砂川市富平,43.549259,141.948441
砂川市/01226-4315-8.topojson,砂川市東一条北１２丁目,43.505421,141.912018
砂川市/01226-4315-8.topojson,砂川市焼山,43.498497,141.954422
砂川市/01226-4315-8.topojson,砂川市東五条北９丁目,43.500172,141.914337
砂川市/01226-4315-8.topojson,砂川市東一条北１０丁目,43.501991,141.911133
砂川市/01226-4315-8.topojson,砂川市東六条北９丁目,43.500008,141.915909
砂川市/01226-4315-8.topojson,砂川市西三条北１０丁目,43.50449,141.906509
砂川市/01226-4315-8.topojson,砂川市西一条北１５丁目,43.510452,141.912354
砂川市/01226-4315-8.topojson,砂川市西四条北１５丁目,43.51086,141.909546
砂川市/01226-4315-8.topojson,砂川市西三条北１５丁目,43.510548,141.910843
砂川市/01226-4315-8.topojson,砂川市西五条北１５丁目,43.511097,141.908569
砂川市/01226-4315-8.topojson,砂川市西五条北１３丁目,43.508484,141.906342
砂川市/01226-4315-8.topojson,砂川市東一条北１１丁目,43.503613,141.911621
砂川市/01226-4315-8.topojson,砂川市東一条北１５丁目,43.510201,141.913116
砂川市/01226-4315-8.topojson,砂川市東一条北１４丁目,43.508915,141.912766
砂川市/01226-4315-8.topojson,砂川市東一条北１３丁目,43.507427,141.912491
砂川市/01226-4315-8.topojson,砂川市東四条北１０丁目,43.501759,141.913239
砂川市/01226-4315-8.topojson,砂川市東四条北１１丁目,43.503418,141.913635
砂川市/01226-4315-8.topojson,砂川市東五条北１０丁目,43.501347,141.915375
砂川市/01226-4315-8.topojson,砂川市西六条北１５丁目,43.511189,141.90712
砂川市/01226-4315-8.topojson,砂川市西七条北１５丁目,43.511189,141.906021
砂川市/01226-4315-8.topojson,砂川市東豊沼,43.465595,141.921097
砂川市/01226-4315-8.topojson,砂川市東六条北１０丁目,43.501148,141.916595
砂川市/01226-4315-8.topojson,砂川市宮城の沢,43.46629,141.953079
砂川市/01226-4315-8.topojson,砂川市鶉,43.484539,141.945709
砂川市/01226-4315-11.topojson,砂川市西九条北９丁目,43.495304,141.900055
砂川市/01226-4315-11.topojson,砂川市オアシス,43.491669,141.896042
砂川市/01226-4315-12.topojson,砂川市三砂町,43.491955,141.912186
砂川市/01226-4315-14.topojson,砂川市西七条南１４丁目,43.473236,141.895828
砂川市/01226-4315-14.topojson,砂川市西七条南１３丁目,43.474354,141.896683
砂川市/01226-4315-14.topojson,砂川市西七条南１２丁目,43.476383,141.896439
砂川市/01226-4315-14.topojson,砂川市西六条南１４丁目,43.47258,141.89769
砂川市/01226-4315-14.topojson,砂川市西六条南１３丁目,43.474064,141.898102
砂川市/01226-4315-14.topojson,砂川市西六条南１２丁目,43.476261,141.898788
砂川市/01226-4315-14.topojson,砂川市西五条南１１丁目,43.477978,141.899765
砂川市/01226-4315-14.topojson,砂川市西五条南１０丁目,43.479908,141.900116
砂川市/01226-4315-14.topojson,砂川市西五条南９丁目,43.481617,141.900604
砂川市/01226-4315-14.topojson,砂川市西四条南１０丁目,43.480385,141.901169
砂川市/01226-4315-14.topojson,砂川市西四条南９丁目,43.481304,141.901443
砂川市/01226-4315-14.topojson,砂川市西四条南７丁目,43.484093,141.902283
砂川市/01226-4315-14.topojson,砂川市西四条南６丁目,43.484932,141.90274
砂川市/01226-4315-14.topojson,砂川市西四条南５丁目,43.48608,141.903244
砂川市/01226-4315-14.topojson,砂川市西三条南１４丁目,43.472355,141.8992
砂川市/01226-4315-14.topojson,砂川市西三条南１３丁目,43.473843,141.899612
砂川市/01226-4315-14.topojson,砂川市西三条南１２丁目,43.475857,141.900192
砂川市/01226-4315-14.topojson,砂川市西三条南１１丁目,43.477829,141.900757
砂川市/01226-4315-14.topojson,砂川市西三条南１０丁目,43.479679,141.901321
砂川市/01226-4315-14.topojson,砂川市西三条南９丁目,43.481178,141.90213
砂川市/01226-4315-14.topojson,砂川市西三条南７丁目,43.483967,141.903122
砂川市/01226-4315-14.topojson,砂川市西三条南６丁目,43.48473,141.903351
砂川市/01226-4315-14.topojson,砂川市西三条南５丁目,43.485947,141.903702
砂川市/01226-4315-14.topojson,砂川市西二条南１４丁目,43.472206,141.900177
砂川市/01226-4315-14.topojson,砂川市西二条南１３丁目,43.473694,141.90062
砂川市/01226-4315-14.topojson,砂川市西二条南１２丁目,43.475704,141.901215
