ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,447,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町,地区外-27108,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,24-1,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,345-1,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,503,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,24-7,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,2-3,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町,地区外-27114,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,2-2,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,2-1,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,水-238,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,15-1,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,15-5,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,水-240,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,24-2,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,水-242,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,572,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,571,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,502,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,501,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,13-1,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,4-1,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,500,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,3,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,13-2,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,13-3,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,15-3,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,15-4,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町,地区外-27135,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,371-5,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,575,,
01394-4334-1.zip,202602101052,磯谷郡蘭越町字立川,40-2,,
