ファイル名,地番区域,緯度,経度
磯谷郡蘭越町/01394-4334-43.topojson,磯谷郡蘭越町字共栄,42.832623,140.397293
磯谷郡蘭越町/01394-4334-43.topojson,磯谷郡蘭越町名駒町,42.815147,140.423721
磯谷郡蘭越町/01394-4334-44.topojson,磯谷郡蘭越町字鮎川,42.794289,140.450745
磯谷郡蘭越町/01394-4334-48.topojson,磯谷郡蘭越町字旭台,42.846336,140.570328
磯谷郡蘭越町/01394-4334-48.topojson,磯谷郡蘭越町,42.809238,140.528381
磯谷郡蘭越町/01394-4334-50.topojson,磯谷郡蘭越町港町,42.88031,140.383148
磯谷郡蘭越町/01394-4334-51.topojson,磯谷郡蘭越町字新見,42.880444,140.532715
磯谷郡蘭越町/01394-4334-51.topojson,磯谷郡蘭越町蘭越町,42.803001,140.541992
磯谷郡蘭越町/01394-4334-51.topojson,磯谷郡蘭越町字貝川,42.751022,140.432877
磯谷郡蘭越町/01394-4334-51.topojson,磯谷郡蘭越町字富岡,42.837215,140.523911
磯谷郡蘭越町/01394-4334-51.topojson,磯谷郡蘭越町字湯里,42.848854,140.611832
磯谷郡蘭越町/01394-4334-61.topojson,磯谷郡蘭越町字三和,42.828049,140.466812
磯谷郡蘭越町/01394-4334-63.topojson,磯谷郡蘭越町字田下,42.722088,140.448395
磯谷郡蘭越町/01394-4334-63.topojson,磯谷郡蘭越町字川上,42.676983,140.546051
磯谷郡蘭越町/01394-4334-63.topojson,磯谷郡蘭越町字御成,42.85434,140.418991
磯谷郡蘭越町/01394-4334-63.topojson,磯谷郡蘭越町字淀川,42.793037,140.471878
磯谷郡蘭越町/01394-4334-63.topojson,磯谷郡蘭越町字栄,42.812817,140.486465
