ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01214-4503-1.zip,202602101146,稚内市大字抜海村,2762-2,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,1924-1,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,1734-9,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,655-29,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,1536-12,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,546-9,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,2054-2,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,道-1,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,道-2,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,道-3,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,道-4,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,道-5,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,道-6,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,道-7,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,1937-2,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,2384-3,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,1629-6,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,1985-8,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,1985-6,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,1995-4,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,1931-1,,
01214-4503-1.zip,202602101146,稚内市,地区外-10024,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,1720-2,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,561-2,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,2221,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,1723-1,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,3033,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,1629-1,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,2183-1,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,561-1,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,1723-2,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,道-9,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,2182-4,,
01214-4503-1.zip,202602101146,稚内市大字抜海村,2184,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,1723-11,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,1723-10,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,1723-9,,
01214-4503-1.zip,202602101146,稚内市大字稚内村,1723-19,,
