ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-1,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-2,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-3,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-4,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-5,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-6,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-7,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-8,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-9,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-10,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-11,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-12,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-13,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-14,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-15,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-16,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-17,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-18,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-19,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-20,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-21,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-22,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-23,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-24,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-25,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-26,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-27,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-28,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-29,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-30,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-31,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-32,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-33,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-34,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-35,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-36,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-37,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-38,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-39,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-40,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-41,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-42,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-43,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-44,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-45,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-46,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-47,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-48,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-49,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-50,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-51,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-52,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-53,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-54,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4615-55,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4636-1,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4636-2,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4636-3,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4636-4,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4636-5,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4636-6,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4636-7,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4636-8,,
01461-4500-1.zip,202602101112,空知郡中富良野町字中富良野,4636-9,,
01461-4500-2.zip,202602101112,空知郡中富良野町字中富良野,4483-2,,
01461-4500-2.zip,202602101112,空知郡中富良野町字中富良野,4483-3,,
01461-4500-2.zip,202602101112,空知郡中富良野町字中富良野,長狭物不明-106,,
01461-4500-2.zip,202602101112,空知郡中富良野町字中富良野,4481-2,,
01461-4500-2.zip,202602101112,空知郡中富良野町字中富良野,4481-3,,
01461-4500-2.zip,202602101112,空知郡中富良野町字中富良野,4481-4,,
01461-4500-2.zip,202602101112,空知郡中富良野町字中富良野,4482-3,,
01461-4500-3.zip,202602101112,空知郡中富良野町,767-2,,
01461-4500-3.zip,202602101112,空知郡中富良野町,767-6,,
01461-4500-3.zip,202602101112,空知郡中富良野町,767-11,,
01461-4500-3.zip,202602101112,空知郡中富良野町,768-2,,
01461-4500-3.zip,202602101112,空知郡中富良野町,768-8,,
01461-4500-3.zip,202602101112,空知郡中富良野町,768-9,,
01461-4500-3.zip,202602101112,空知郡中富良野町,768-10,,
01461-4500-3.zip,202602101112,空知郡中富良野町,768-13,,
01461-4500-3.zip,202602101112,空知郡中富良野町,768-14,,
01461-4500-3.zip,202602101112,空知郡中富良野町,768-15,,
01461-4500-3.zip,202602101112,空知郡中富良野町,768-16,,
01461-4500-3.zip,202602101112,空知郡中富良野町,789-10,,
01461-4500-3.zip,202602101112,空知郡中富良野町,1311-3,,
01461-4500-3.zip,202602101112,空知郡中富良野町,1311-4,,
01461-4500-3.zip,202602101112,空知郡中富良野町,1312-5,,
01461-4500-3.zip,202602101112,空知郡中富良野町,1312-7,,
01461-4500-3.zip,202602101112,空知郡中富良野町,5070-8,,
01461-4500-3.zip,202602101112,空知郡中富良野町,5784-4,,
01461-4500-3.zip,202602101112,空知郡中富良野町,5784-5,,
01461-4500-3.zip,202602101112,空知郡中富良野町,道-16,,
01461-4500-3.zip,202602101112,空知郡中富良野町,長狭物不明-6,,
01461-4500-3.zip,202602101112,空知郡中富良野町字エホロカンベツ,無地番-25,,
01461-4500-3.zip,202602101112,空知郡中富良野町字上富良野,3001-2,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2709-2,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2709-7,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2709-8,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2710-2,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2710-5,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2710-8,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2710-9,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2710-10,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2710-11,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2720-4,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2720-6,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,2722-13,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,5063-7,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,5063-9,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,5088-1,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,5088-2,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,5089-2,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,5090-1,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,5091-1,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,5091-2,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,道-11,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,道-12,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,道-14,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野,道-19,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野原野,1793-2,,
01461-4500-3.zip,202602101112,空知郡中富良野町字中富良野原野,長狭物不明-3,,
01461-4500-3.zip,202602101112,空知郡中富良野町字富良野原野,101-2,,
01461-4500-3.zip,202602101112,空知郡中富良野町字富良野原野,121-10,,
01461-4500-3.zip,202602101112,空知郡中富良野町字富良野原野,121-11,,
