ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01462-4500-1.zip,202602101112,空知郡南富良野町字幾寅,2693,,
01462-4500-1.zip,202602101112,空知郡南富良野町字幾寅,2694,,
01462-4500-1.zip,202602101112,空知郡南富良野町字幾寅,長狭物不明-81,,
01462-4500-1.zip,202602101112,空知郡南富良野町字幾寅,2692,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,719,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,720,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,721,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,722,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,723,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,724,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,725,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,726,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,727,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,729,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,749-1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,749-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,750,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,751-1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,751-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,752-1W2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,754-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,754-1W1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,754-1W2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,755,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,758-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,758-1W1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,758-1W2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,759-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,762-1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,762-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,762-3,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,763-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,764-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,764-1W1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,764-1W2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,765-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,766-3,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,766-1W1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,766-1W2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,766-2W1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,766-2W2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,767-1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,767-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,767-3,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,768,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,769-1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,769-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,769-3,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1202-3,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1202-4,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1203-1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1203-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1203-3,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1204-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1204-3,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1204-4,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1205,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1206-1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1206-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1207,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1208,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1209-1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1209-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1209-3,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1210,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1211,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1212,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1213,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1214-1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1214-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1214-3,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1220,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1248,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1249,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1250,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1253-1,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1253-2,,
01462-4500-2.zip,202602101112,空知郡南富良野町字落合,1254-1,,
