ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01424-4315-1.zip,202602101030,空知郡奈井江町字奈井江,144-9,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈井江,144-7,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈井江,144-6,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈井江,144-8,,
01424-4315-1.zip,202602101030,空知郡奈井江町字上美唄原野,2955-51,,
01424-4315-1.zip,202602101030,空知郡奈井江町字上美唄原野,2955-50,,
01424-4315-1.zip,202602101030,空知郡奈井江町字上美唄原野,2955-49,,
01424-4315-1.zip,202602101030,空知郡奈井江町字上美唄原野,2955-48,,
01424-4315-1.zip,202602101030,空知郡奈井江町字上美唄原野,2955-47,,
01424-4315-1.zip,202602101030,空知郡奈井江町字上美唄原野,2955-46,,
01424-4315-1.zip,202602101030,空知郡奈井江町字上美唄原野,2955-45,,
01424-4315-1.zip,202602101030,空知郡奈井江町字上美唄原野,2961-10,,
01424-4315-1.zip,202602101030,空知郡奈井江町字上美唄原野,3625-7,,
01424-4315-1.zip,202602101030,空知郡奈井江町字上美唄原野,2957-4,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈江原野,2034-41,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈江原野,2034-23,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈江原野,2034-32,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈江原野,2034-38,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈江原野,2034-35,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈江原野,2034-31,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈江原野,2033-16,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈江原野,2033-17,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈江原野,2036-9,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈江原野,2036-35,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈江原野,2038-52,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈井江,305-16,,
01424-4315-1.zip,202602101030,空知郡奈井江町字茶志内,長狭物不明-1,,
01424-4315-1.zip,202602101030,空知郡奈井江町字茶志内,1629-11,,
01424-4315-1.zip,202602101030,空知郡奈井江町字茶志内,3068-35,,
01424-4315-1.zip,202602101030,空知郡奈井江町字上美唄原野,2950-7,,
01424-4315-1.zip,202602101030,空知郡奈井江町字茶志内,道-1,,
01424-4315-1.zip,202602101030,空知郡奈井江町字茶志内,1524-16,,
01424-4315-1.zip,202602101030,空知郡奈井江町字茶志内,1524-10,,
01424-4315-1.zip,202602101030,空知郡奈井江町字茶志内,2199-137,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈井江,335-22,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈井江,352-31,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈井江,道-2,,
01424-4315-1.zip,202602101030,空知郡奈井江町字奈井江,長狭物不明-2,,
01424-4315-1.zip,202602101030,空知郡奈井江町字茶志内,2199-106,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,1040-385,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,1040-398,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,1040-391,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,1040-378,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,1040-380,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,1040-379,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,1040-392,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,1040-399,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,1040-393,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,道-3,,
01424-4315-1.zip,202602101030,空知郡奈井江町字茶志内,道-4,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,934-7,,
01424-4315-1.zip,202602101030,空知郡奈井江町字茶志内,1524-8,,
01424-4315-1.zip,202602101030,空知郡奈井江町字茶志内,1524-7,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,938-15,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,938-6,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,936-24,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,936-10,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,934-11,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,934-12,,
01424-4315-1.zip,202602101030,空知郡奈井江町,地区外-401635,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,道-5,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,934-8,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,936-25,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,938-16,,
01424-4315-1.zip,202602101030,空知郡奈井江町字チャシュナイ,938-2,,
