ファイル名,地番区域,緯度,経度
紋別市/01219-4514-20.topojson,紋別市潮見町２丁目,44.35791,143.350739
紋別市/01219-4514-20.topojson,紋別市潮見町５丁目,44.35836,143.344833
紋別市/01219-4514-20.topojson,紋別市潮見町３丁目,44.360958,143.349701
紋別市/01219-4514-20.topojson,紋別市潮見町４丁目,44.357922,143.347839
紋別市/01219-4514-21.topojson,紋別市北浜町３丁目,44.36993,143.346115
紋別市/01219-4514-21.topojson,紋別市北浜町１丁目,44.365898,143.350189
紋別市/01219-4514-21.topojson,紋別市北浜町２丁目,44.368774,143.34407
紋別市/01219-4514-22.topojson,紋別市南が丘町７丁目,44.334236,143.361038
紋別市/01219-4514-22.topojson,紋別市元紋別,44.312305,143.38031
紋別市/01219-4514-25.topojson,紋別市八十士,44.247532,143.409637
紋別市/01219-4514-26.topojson,紋別市沼の上,44.244034,143.504303
紋別市/01219-4514-27.topojson,紋別市上藻別,44.168034,143.337158
紋別市/01219-4514-28.topojson,紋別市弘道,44.235462,143.443161
紋別市/01219-4514-29.topojson,紋別市,44.356373,143.35437
紋別市/01219-4514-38.topojson,紋別市南が丘町６丁目,44.338688,143.359009
紋別市/01219-4514-38.topojson,紋別市南が丘町２丁目,44.343861,143.354462
紋別市/01219-4514-38.topojson,紋別市南が丘町１丁目,44.345634,143.354111
紋別市/01219-4514-38.topojson,紋別市南が丘町３丁目,44.34103,143.353531
紋別市/01219-4514-38.topojson,紋別市本町８丁目,44.347168,143.35495
紋別市/01219-4514-38.topojson,紋別市南が丘町５丁目,44.341461,143.357773
紋別市/01219-4514-38.topojson,紋別市南が丘町４丁目,44.338879,143.353333
紋別市/01219-4514-38.topojson,紋別市幸町８丁目,44.346535,143.35083
