ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01561-4514-1.zip,202602101151,紋別郡興部町字北興,長狭物不明-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,長狭物不明-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,851-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,851-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,850-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,850-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,925-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,925-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,576-15,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,水-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,849,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,846,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,576-14,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,576-11,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,576-12,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,576-13,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,318-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,308-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,道-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,414-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,筆界未定地-1,紋別郡興部町字北興,483-1
01561-4514-1.zip,202602101151,紋別郡興部町字北興,筆界未定地-1,紋別郡興部町字北興,484
01561-4514-1.zip,202602101151,紋別郡興部町字北興,筆界未定地-2,紋別郡興部町字北興,482
01561-4514-1.zip,202602101151,紋別郡興部町字北興,筆界未定地-2,紋別郡興部町字北興,483-2
01561-4514-1.zip,202602101151,紋別郡興部町字北興,568-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,325-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字興部,道-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,923,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,水-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,429,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,356-2,,
01561-4514-1.zip,202602101151,紋別郡興部町,地区外-260742,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,298,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,297,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,長狭物不明-4,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,575,,
01561-4514-1.zip,202602101151,紋別郡興部町,地区外-260747,,
01561-4514-1.zip,202602101151,紋別郡興部町,地区外-260748,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,620-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,長狭物不明-5,,
01561-4514-1.zip,202602101151,紋別郡興部町,地区外-260751,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,365,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,360-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,361-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,361-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,361-10,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,361-9,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,364-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,364-4,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,366-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,364-6,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,364-5,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,364-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,364-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,363-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,366-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,366-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,896,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,322-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,322-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,319-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,320,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,321,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,324-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,324-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,323-4,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,323-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,323-5,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,323-7,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,324-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,325-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,水-5,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,326-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,326-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,327-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,327-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,329-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,331-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,331-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,326-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,323-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,323-6,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,323-8,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,323-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,897,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,887,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,899,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,900,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,898,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,894,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,893-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,449,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,458,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,459-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,459-4,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,459-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,459-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,460-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,958-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,長狭物不明-6,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,958-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,451,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,452,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,453-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,453-5,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,457-4,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,453-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,455,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,457-1,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,457-3,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,457-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,453-4,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,456,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,454,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,453-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,459-5,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,460-2,,
01561-4514-1.zip,202602101151,紋別郡興部町字北興,340-2,,
