ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,445-4,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,257-8,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1379-4,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,10-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,95-1V1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字中雄武,18-2,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1683-11,,
01563-4514-1.zip,202602101151,紋別郡雄武町字中雄武,道-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字中雄武,水-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1499-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町字中雄武,長狭物不明-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1653-5,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1563,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,水-2,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,長狭物不明-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,水-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,6-2,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1544,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,道-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,水-6,,
01563-4514-1.zip,202602101151,紋別郡雄武町字中雄武,49,,
01563-4514-1.zip,202602101151,紋別郡雄武町,地区外-392263,,
01563-4514-1.zip,202602101151,紋別郡雄武町字中雄武,6,,
01563-4514-1.zip,202602101151,紋別郡雄武町,地区外-392266,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,247,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,9-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町,地区外-392269,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1691,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1501,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1491-7,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1502-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-79,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-78,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-80,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-55,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-56,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-57,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-40,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-41,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-38,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-37,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-39,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1504-36,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1671-5,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1671-16,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1671-4,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1671-7,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1671-6,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1671-9,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1670-5,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1671-30,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1671-2,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1670-10,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1670-9,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1670-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1670-6,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1670-4,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1670-2,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1670-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1670-8,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1670-7,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1663,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1488-20,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1664-2,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1488-26,,
01563-4514-1.zip,202602101151,紋別郡雄武町,地区外-392311,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,277,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1496,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1378-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1342-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1344-2,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,60-2,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,61,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,60-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,59,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,道-8,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,35,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,34,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,2006,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,62-5,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,62-6,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,62-8,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,62-4,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,62-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,62-7,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,63-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,64-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,33,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,32-2,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,32-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,32-4,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,32-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,38-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,38-4,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,40-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,39-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,423,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1546,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,286-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1500-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1499-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1499-4,,
01563-4514-1.zip,202602101151,紋別郡雄武町,地区外-392361,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1497-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1344-18,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,980-3,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,285-1,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,276,,
01563-4514-1.zip,202602101151,紋別郡雄武町字北雄武,270,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1524-15,,
01563-4514-1.zip,202602101151,紋別郡雄武町字雄武,1519,,
