ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01211-4603-1.zip,202602101215,網走市字平和,114,,
01211-4603-1.zip,202602101215,網走市,地区外-3397074,,
01211-4603-1.zip,202602101215,網走市字能取,336,,
01211-4603-1.zip,202602101215,網走市,地区外-3397076,,
01211-4603-1.zip,202602101215,網走市字平和,水-15,,
01211-4603-1.zip,202602101215,網走市,地区外-3397078,,
01211-4603-1.zip,202602101215,網走市,地区外-3397079,,
01211-4603-1.zip,202602101215,網走市,地区外-3397080,,
01211-4603-1.zip,202602101215,網走市,地区外-3397081,,
01211-4603-1.zip,202602101215,網走市,地区外-3397082,,
01211-4603-1.zip,202602101215,網走市,地区外-3397083,,
01211-4603-1.zip,202602101215,網走市,地区外-3397084,,
01211-4603-1.zip,202602101215,網走市,地区外-3397085,,
01211-4603-1.zip,202602101215,網走市,地区外-3397086,,
01211-4603-1.zip,202602101215,網走市字平和,水-16,,
01211-4603-1.zip,202602101215,網走市字平和,115-1,,
01211-4603-1.zip,202602101215,網走市字平和,116,,
01211-4603-1.zip,202602101215,網走市,地区外-3397090,,
01211-4603-1.zip,202602101215,網走市字平和,115-2,,
01211-4603-1.zip,202602101215,網走市字平和,水-17,,
01211-4603-1.zip,202602101215,網走市,地区外-3397093,,
01211-4603-1.zip,202602101215,網走市,地区外-3397094,,
01211-4603-1.zip,202602101215,網走市,地区外-3397095,,
01211-4603-1.zip,202602101215,網走市字平和,110,,
01211-4603-1.zip,202602101215,網走市字平和,水-18,,
01211-4603-1.zip,202602101215,網走市字平和,水-19,,
01211-4603-1.zip,202602101215,網走市字平和,111,,
01211-4603-1.zip,202602101215,網走市字平和,水-20,,
01211-4603-1.zip,202602101215,網走市字平和,112,,
01211-4603-1.zip,202602101215,網走市字平和,113,,
01211-4603-1.zip,202602101215,網走市字平和,水-21,,
01211-4603-1.zip,202602101215,網走市,地区外-3397104,,
01211-4603-1.zip,202602101215,網走市,地区外-3397105,,
01211-4603-1.zip,202602101215,網走市,地区外-3397106,,
01211-4603-1.zip,202602101215,網走市,地区外-3397107,,
01211-4603-1.zip,202602101215,網走市,地区外-3397108,,
01211-4603-1.zip,202602101215,網走市,地区外-3397109,,
01211-4603-1.zip,202602101215,網走市,地区外-3397110,,
01211-4603-1.zip,202602101215,網走市,地区外-3397111,,
01211-4603-2.zip,202602101215,網走市,地区外-3398731,,
01211-4603-2.zip,202602101215,網走市,地区外-3398732,,
01211-4603-2.zip,202602101215,網走市,地区外-3398733,,
01211-4603-2.zip,202602101215,網走市港町,130,,
01211-4603-2.zip,202602101215,網走市,地区外-3398736,,
01211-4603-2.zip,202602101215,網走市南八条東７丁目,16-2,,
01211-4603-2.zip,202602101215,網走市南八条東７丁目,16-1,,
01211-4603-2.zip,202602101215,網走市南四条東７丁目,7-2,,
