ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,630-285,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,水-24,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,長狭物不明-1,,
01564-4603-1.zip,202602101215,網走郡大空町,地区外-2850696,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,175-8,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,175-30,,
01564-4603-1.zip,202602101215,網走郡大空町,地区外-2850699,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,175-4,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,長狭物不明-2,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,179-9,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,178-4,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,178-5,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,179-7,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,長狭物不明-3,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,長狭物不明-4,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,687-10,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,687-13,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,687-1,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,687-11,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,687-3,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,687-2,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,687-4,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,683-2,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,687-14,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,686-4,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,686-3,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,686-5,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,686-1,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,686-6,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴末広,687-12,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,178-3,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,176-6,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,179-5,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,179-12,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,176-4,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,179-4,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,178-6,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,175-10,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,175-7,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,179-14,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,179-3,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,175-5,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,179-10,,
01564-4603-1.zip,202602101215,網走郡大空町東藻琴清浦,179-13,,
01564-4603-1.zip,202602101215,網走郡大空町,地区外-2850737,,
