ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01216-4315-1.zip,202602101030,芦別市常磐町,718-13,,
01216-4315-1.zip,202602101030,芦別市,地区外-21551,,
01216-4315-1.zip,202602101030,芦別市常磐町,道-1,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-14,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-19,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-13,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-42,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-31,,
01216-4315-1.zip,202602101030,芦別市常磐町,717-31,,
01216-4315-1.zip,202602101030,芦別市常磐町,717-5,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-40,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-12,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-11,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-34,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-35,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-44,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-18,,
01216-4315-1.zip,202602101030,芦別市常磐町,719-43,,
01216-4315-1.zip,202602101030,芦別市常磐町,718-30,,
01216-4315-1.zip,202602101030,芦別市常磐町,718-31,,
01216-4315-1.zip,202602101030,芦別市常磐町,717-29,,
01216-4315-1.zip,202602101030,芦別市常磐町,717-30,,
01216-4315-1.zip,202602101030,芦別市常磐町,718-27,,
01216-4315-1.zip,202602101030,芦別市常磐町,718-32,,
01216-4315-1.zip,202602101030,芦別市常磐町,718-20,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-27,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-28,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-9,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-10,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-5,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-1,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-26,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-25,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-7,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-14,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-13,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-11,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-15,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-12,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-16,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-17,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-22,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-19,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-23,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-8,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-20,,
01216-4315-1.zip,202602101030,芦別市常磐町,517-18,,
01216-4315-1.zip,202602101030,芦別市常磐町,516-14,,
01216-4315-1.zip,202602101030,芦別市常磐町,516-12,,
01216-4315-1.zip,202602101030,芦別市常磐町,516-11,,
01216-4315-1.zip,202602101030,芦別市常磐町,516-5,,
01216-4315-1.zip,202602101030,芦別市常磐町,516-13,,
01216-4315-1.zip,202602101030,芦別市常磐町,516-8,,
01216-4315-1.zip,202602101030,芦別市常磐町,412-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,411-9,,
01216-4315-1.zip,202602101030,芦別市常磐町,411-5,,
01216-4315-1.zip,202602101030,芦別市,地区外-21614,,
01216-4315-1.zip,202602101030,芦別市常磐町,411-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,529-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,519-10,,
01216-4315-1.zip,202602101030,芦別市常磐町,519-14,,
01216-4315-1.zip,202602101030,芦別市常磐町,519-15,,
01216-4315-1.zip,202602101030,芦別市常磐町,519-9,,
01216-4315-1.zip,202602101030,芦別市常磐町,519-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,519-13,,
01216-4315-1.zip,202602101030,芦別市常磐町,519-16,,
01216-4315-1.zip,202602101030,芦別市常磐町,523-9,,
01216-4315-1.zip,202602101030,芦別市常磐町,519-7,,
01216-4315-1.zip,202602101030,芦別市常磐町,519-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-18,,
01216-4315-1.zip,202602101030,芦別市常磐町,396-12,,
01216-4315-1.zip,202602101030,芦別市常磐町,396-9,,
01216-4315-1.zip,202602101030,芦別市常磐町,397-1,,
01216-4315-1.zip,202602101030,芦別市常磐町,399-5,,
01216-4315-1.zip,202602101030,芦別市常磐町,399-11,,
01216-4315-1.zip,202602101030,芦別市常磐町,399-10,,
01216-4315-1.zip,202602101030,芦別市常磐町,406-14,,
01216-4315-1.zip,202602101030,芦別市常磐町,396-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-24,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-25,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-8,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-22,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-19,,
01216-4315-1.zip,202602101030,芦別市常磐町,527-2,,
01216-4315-1.zip,202602101030,芦別市常磐町,529-2,,
01216-4315-1.zip,202602101030,芦別市常磐町,529-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,519-12,,
01216-4315-1.zip,202602101030,芦別市,地区外-21682,,
01216-4315-1.zip,202602101030,芦別市常磐町,333,,
01216-4315-1.zip,202602101030,芦別市常磐町,334-5,,
01216-4315-1.zip,202602101030,芦別市常磐町,334-2,,
01216-4315-1.zip,202602101030,芦別市常磐町,530-2,,
01216-4315-1.zip,202602101030,芦別市常磐町,531,,
01216-4315-1.zip,202602101030,芦別市常磐町,334-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,334-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-21,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-15,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-17,,
01216-4315-1.zip,202602101030,芦別市常磐町,335-13,,
01216-4315-1.zip,202602101030,芦別市常磐町,332,,
01216-4315-1.zip,202602101030,芦別市常磐町,558,,
01216-4315-1.zip,202602101030,芦別市常磐町,542,,
01216-4315-1.zip,202602101030,芦別市常磐町,555-1,,
01216-4315-1.zip,202602101030,芦別市常磐町,556-7,,
01216-4315-1.zip,202602101030,芦別市常磐町,556-2,,
01216-4315-1.zip,202602101030,芦別市常磐町,556-8,,
01216-4315-1.zip,202602101030,芦別市常磐町,555-2,,
01216-4315-1.zip,202602101030,芦別市常磐町,551-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,549-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,541,,
01216-4315-1.zip,202602101030,芦別市常磐町,543,,
01216-4315-1.zip,202602101030,芦別市常磐町,道-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,544,,
01216-4315-1.zip,202602101030,芦別市常磐町,548,,
01216-4315-1.zip,202602101030,芦別市常磐町,547,,
01216-4315-1.zip,202602101030,芦別市常磐町,551-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,549-2,,
01216-4315-1.zip,202602101030,芦別市常磐町,331-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,331-2,,
01216-4315-1.zip,202602101030,芦別市常磐町,331-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,329-9,,
01216-4315-1.zip,202602101030,芦別市常磐町,329-10,,
01216-4315-1.zip,202602101030,芦別市,地区外-21748,,
01216-4315-1.zip,202602101030,芦別市常磐町,道-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,292-9,,
01216-4315-1.zip,202602101030,芦別市常磐町,292-1,,
01216-4315-1.zip,202602101030,芦別市常磐町,293-1,,
01216-4315-1.zip,202602101030,芦別市常磐町,292-15,,
01216-4315-1.zip,202602101030,芦別市常磐町,292-14,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-8,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-10,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-13,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-5,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-12,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-11,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-15,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-14,,
01216-4315-1.zip,202602101030,芦別市常磐町,561-15,,
01216-4315-1.zip,202602101030,芦別市常磐町,561-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,560-5,,
01216-4315-1.zip,202602101030,芦別市常磐町,560-6,,
01216-4315-1.zip,202602101030,芦別市常磐町,561-14,,
01216-4315-1.zip,202602101030,芦別市常磐町,561-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,561-22,,
01216-4315-1.zip,202602101030,芦別市常磐町,561-2,,
01216-4315-1.zip,202602101030,芦別市常磐町,561-10,,
01216-4315-1.zip,202602101030,芦別市常磐町,559-1,,
01216-4315-1.zip,202602101030,芦別市常磐町,560-7,,
01216-4315-1.zip,202602101030,芦別市常磐町,561-21,,
01216-4315-1.zip,202602101030,芦別市常磐町,559-3,,
01216-4315-1.zip,202602101030,芦別市常磐町,559-2,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-6,,
01216-4315-1.zip,202602101030,芦別市常磐町,306-9,,
01216-4315-1.zip,202602101030,芦別市常磐町,516-10,,
01216-4315-1.zip,202602101030,芦別市常磐町,516-9,,
01216-4315-1.zip,202602101030,芦別市,地区外-21786,,
01216-4315-1.zip,202602101030,芦別市常磐町,411-10,,
01216-4315-1.zip,202602101030,芦別市常磐町,412-4,,
01216-4315-1.zip,202602101030,芦別市常磐町,413,,
01216-4315-1.zip,202602101030,芦別市常磐町,419-16,,
01216-4315-1.zip,202602101030,芦別市常磐町,419-17,,
01216-4315-1.zip,202602101030,芦別市常磐町,419-21,,
01216-4315-1.zip,202602101030,芦別市常磐町,419-11,,
01216-4315-1.zip,202602101030,芦別市常磐町,419-20,,
