ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,2062,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,753-1,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,752-1,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,733-2,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,731,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,732,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,2060,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,730,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,747,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,736,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,734,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,740,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,744-1,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,744-2,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,752-4,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,2063,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,723-1,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,729,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,762,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,759-1,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,723-3,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,2064,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,816-1,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,1906,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,809-2,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,809-1,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,519,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,803,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,518,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,805,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,2058,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,1905,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,850,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,517,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,804,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,1904-1,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,815-1,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,794,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,516,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,795,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,792,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,520-1,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,520-2,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,790,,
01484-4502-1.zip,202602101142,苫前郡羽幌町字築別,1903,,
