ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,53-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,134-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,道-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,293,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,1068,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,1069-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,295,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,道-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,292,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,291,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,1-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,192,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,191,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,26-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,26-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,294,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,289,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,290,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,道-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,159,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,99-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,98,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,92-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,100-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,178,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,103-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,65,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,189,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,66,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,68,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,56-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,18-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,133-9,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,133-5,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,133-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,56-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,51,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,61-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,55-7,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,60-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,61-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,50-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,55-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,55-5,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,59,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,140-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,140-13,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,62-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,62-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,7-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,168,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,道-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,165,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,4-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,258,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,252,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,799,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,235,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,875,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,236-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,237,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,874,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,315,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,278-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,280-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,280-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,285,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,297-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,614,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,281-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,276-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,236-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,281-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,639,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,247,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,314,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,236-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,312,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,297-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,299-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,794,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,225,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,224,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,326-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,837,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,189,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,882,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,325,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,326-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,142-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,844,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,142-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,230-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,800,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,191,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,881,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,水-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,340-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,898,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,342-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,797,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,231-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,795,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,802,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,796,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,193-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,862,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,814,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,140,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,138,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,185,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,109-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,650,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,107-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,107-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,159-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,887,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,840,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,134-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,105-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,104-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,121-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,134-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,888,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,53-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,842,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,115-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,850,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,120-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,104-5,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,104-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,120-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,水-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,819,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,896,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,52,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,70,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,102-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,104-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,90-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,101-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,91-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,101-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,91-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,867,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,854,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,113,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,81-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,73,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,596,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,114,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,69,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,68,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,56-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,65-15,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,34-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,34-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,54,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,860,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,65-7,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,595,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,65-6,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,732,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,65-5,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,65-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,65-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,839,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,20,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,21-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,838,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,水-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,14-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,849,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,15,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,864,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,89,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,848,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,245,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,175-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,201,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,174-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,167-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,167-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,107,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,83-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,83-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,283,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,166,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,203,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,149,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,276,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,128,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,177,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,134-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361360,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361361,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,52-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,96,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,281,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,27-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,25-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,28,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,92,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,48-5,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,91,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,48-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,278,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,61-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,19-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,71,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,18-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,23,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,95,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,90,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,60,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,48-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,263,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,52-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,105,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,85,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,247,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,248,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,178-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,178-5,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,184,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,178-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,30,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,11-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,265,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,189,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,17-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,12-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,9-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,7-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字興津,20-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,16,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,59,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,861,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,65-8,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,71-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,186,,
01483-4502-1.zip,202602101142,苫前郡苫前町字昭和,212-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,55-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,32,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361414,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361415,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361416,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361417,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361418,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361419,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361420,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361421,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361423,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361425,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361426,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361427,,
01483-4502-1.zip,202602101142,苫前郡苫前町,地区外-361428,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,158,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,122,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,155,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,120,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,157,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,121,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,109-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,156,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,109-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,115-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,109-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,86,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,117,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,110,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,162,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,113,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,112,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,124,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,111,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,99-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,125,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,154,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,101-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,105,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,177,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,80-5,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,96,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,106,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,71-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,95,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,80-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,160,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,104-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,92-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,69-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,79,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,94-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,71-1,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,80-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,80-2,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,92-3,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,77-5,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,81-18,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,92-4,,
01483-4502-1.zip,202602101142,苫前郡苫前町字豊浦,81-2,,
