ファイル名,地番区域,緯度,経度
苫小牧市/01213-4323-2.topojson,苫小牧市有珠の沢町２丁目,42.645226,141.553131
苫小牧市/01213-4323-2.topojson,苫小牧市有珠の沢町４丁目,42.641624,141.55098
苫小牧市/01213-4323-2.topojson,苫小牧市有珠の沢町５丁目,42.64397,141.548889
苫小牧市/01213-4323-2.topojson,苫小牧市有珠の沢町６丁目,42.645496,141.546432
苫小牧市/01213-4323-2.topojson,苫小牧市有珠の沢町７丁目,42.648983,141.548187
苫小牧市/01213-4323-3.topojson,苫小牧市はまなす町１丁目,42.62888,141.516983
苫小牧市/01213-4323-4.topojson,苫小牧市しらかば町１丁目,42.624153,141.547729
苫小牧市/01213-4323-4.topojson,苫小牧市しらかば町２丁目,42.622684,141.541931
苫小牧市/01213-4323-4.topojson,苫小牧市しらかば町３丁目,42.622009,141.536484
苫小牧市/01213-4323-4.topojson,苫小牧市しらかば町４丁目,42.623734,141.537308
苫小牧市/01213-4323-4.topojson,苫小牧市しらかば町５丁目,42.625919,141.542831
苫小牧市/01213-4323-4.topojson,苫小牧市しらかば町６丁目,42.626919,141.547012
苫小牧市/01213-4323-4.topojson,苫小牧市日新町２丁目,42.62904,141.5401
苫小牧市/01213-4323-4.topojson,苫小牧市日新町３丁目,42.627804,141.534698
苫小牧市/01213-4323-4.topojson,苫小牧市日新町４丁目,42.628452,141.53244
苫小牧市/01213-4323-4.topojson,苫小牧市日新町５丁目,42.631783,141.538498
苫小牧市/01213-4323-4.topojson,苫小牧市,42.634071,141.60553
苫小牧市/01213-4323-6.topojson,苫小牧市澄川町１丁目,42.621593,141.518524
苫小牧市/01213-4323-6.topojson,苫小牧市澄川町２丁目,42.620464,141.515015
苫小牧市/01213-4323-6.topojson,苫小牧市澄川町３丁目,42.619137,141.510788
苫小牧市/01213-4323-6.topojson,苫小牧市澄川町６丁目,42.622299,141.508881
苫小牧市/01213-4323-6.topojson,苫小牧市澄川町７丁目,42.623569,141.513107
苫小牧市/01213-4323-6.topojson,苫小牧市澄川町８丁目,42.624985,141.51593
苫小牧市/01213-4323-6.topojson,苫小牧市ときわ町４丁目,42.616035,141.512695
苫小牧市/01213-4323-6.topojson,苫小牧市ときわ町５丁目,42.617401,141.516312
苫小牧市/01213-4323-6.topojson,苫小牧市ときわ町６丁目,42.618431,141.519165
苫小牧市/01213-4323-7.topojson,苫小牧市日吉町３丁目,42.622066,141.54924
苫小牧市/01213-4323-7.topojson,苫小牧市光洋町１丁目,42.622738,141.564453
苫小牧市/01213-4323-7.topojson,苫小牧市光洋町２丁目,42.624359,141.563568
苫小牧市/01213-4323-7.topojson,苫小牧市光洋町３丁目,42.626377,141.563126
苫小牧市/01213-4323-8.topojson,苫小牧市字糸井,42.667221,141.515152
苫小牧市/01213-4323-8.topojson,苫小牧市有明町１丁目,42.621086,141.565628
苫小牧市/01213-4323-8.topojson,苫小牧市有明町２丁目,42.618877,141.554855
苫小牧市/01213-4323-8.topojson,苫小牧市小糸井町１丁目,42.617001,141.545654
苫小牧市/01213-4323-8.topojson,苫小牧市永福町１丁目,42.6185,141.544922
苫小牧市/01213-4323-8.topojson,苫小牧市永福町２丁目,42.620377,141.543289
苫小牧市/01213-4323-8.topojson,苫小牧市日吉町１丁目,42.621143,141.556854
苫小牧市/01213-4323-8.topojson,苫小牧市日吉町２丁目,42.619877,141.550735
苫小牧市/01213-4323-8.topojson,苫小牧市日吉町４丁目,42.623951,141.555679
苫小牧市/01213-4323-10.topojson,苫小牧市見山町４丁目,42.636833,141.561554
苫小牧市/01213-4323-10.topojson,苫小牧市啓北町２丁目,42.633041,141.561874
苫小牧市/01213-4323-10.topojson,苫小牧市松風町,42.637024,141.559296
苫小牧市/01213-4323-11.topojson,苫小牧市青葉町２丁目,42.628742,141.568253
苫小牧市/01213-4323-11.topojson,苫小牧市大成町２丁目,42.626671,141.569641
苫小牧市/01213-4323-12.topojson,苫小牧市白金町１丁目,42.633614,141.583359
苫小牧市/01213-4323-12.topojson,苫小牧市王子町２丁目,42.63409,141.590271
苫小牧市/01213-4323-13.topojson,苫小牧市白金町２丁目,42.631657,141.578476
苫小牧市/01213-4323-13.topojson,苫小牧市矢代町１丁目,42.626606,141.588577
苫小牧市/01213-4323-13.topojson,苫小牧市矢代町２丁目,42.625744,141.581314
苫小牧市/01213-4323-13.topojson,苫小牧市矢代町３丁目,42.627762,141.586899
苫小牧市/01213-4323-13.topojson,苫小牧市弥生町１丁目,42.630005,141.584747
苫小牧市/01213-4323-13.topojson,苫小牧市弥生町２丁目,42.62859,141.579697
苫小牧市/01213-4323-14.topojson,苫小牧市表町４丁目,42.636829,141.60083
苫小牧市/01213-4323-15.topojson,苫小牧市表町１丁目,42.634953,141.602539
苫小牧市/01213-4323-15.topojson,苫小牧市表町２丁目,42.634014,141.600479
苫小牧市/01213-4323-15.topojson,苫小牧市表町３丁目,42.636238,141.598938
苫小牧市/01213-4323-15.topojson,苫小牧市表町５丁目,42.63932,141.600006
苫小牧市/01213-4323-15.topojson,苫小牧市表町６丁目,42.638817,141.597366
苫小牧市/01213-4323-15.topojson,苫小牧市王子町３丁目,42.637875,141.595062
