ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01345-4402-1.zip,202602101139,茅部郡森町字新川町,215-3,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,215-5,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,215-6,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-1,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-2,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-3,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-4,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-5,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-6,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-7,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-11,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-12,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-14,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-15,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-16,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-17,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-18,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-19,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-20,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-21,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-22,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,216-24,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,217-1,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,217-2,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,217-3,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,217-4,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,217-7,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,217-8,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,217-9,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,217-10,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,217-11,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,217-12,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,218,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-1,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-2,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-3,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-4,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-5,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-6,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-7,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-8,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-9,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-10,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-11,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-12,,
01345-4402-1.zip,202602101139,茅部郡森町字新川町,219-13,,
