ファイル名,地番区域,緯度,経度
茅部郡森町/01345-4402-1.topojson,茅部郡森町字新川町,42.107754,140.584915
茅部郡森町/01345-4402-1.topojson,茅部郡森町字本町,42.108387,140.571854
茅部郡森町/01345-4402-1.topojson,茅部郡森町字御幸町,42.105782,140.576202
茅部郡森町/01345-4402-1.topojson,茅部郡森町字森川町,42.09005,140.577072
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原西１丁目,42.117031,140.633453
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原西２丁目,42.117344,140.639587
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原西３丁目,42.111504,140.642578
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原西４丁目,42.11985,140.652542
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原西５丁目,42.128399,140.662033
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原１丁目,42.123634,140.664963
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原２丁目,42.096062,140.687149
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原３丁目,42.118286,140.680176
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原４丁目,42.118645,140.689651
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原５丁目,42.119434,140.705338
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原６丁目,42.133224,140.710541
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原東１丁目,42.124249,140.722351
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原東２丁目,42.109673,140.725906
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原東３丁目,42.118282,140.73587
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原東４丁目,42.112022,140.749146
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原東５丁目,42.096127,140.745392
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原原野四線,42.112736,140.738144
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原原野五線,42.114857,140.734116
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原原野六線,42.117172,140.727707
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原原野七線,42.114059,140.720642
茅部郡森町/01345-4402-5.topojson,茅部郡森町字砂原原野八線,42.111839,140.715378
茅部郡森町/01345-4402-5.topojson,茅部郡森町,42.105015,140.576492
茅部郡森町/01345-4402-8.topojson,茅部郡森町字赤井川,42.012554,140.640701
茅部郡森町/01345-4402-8.topojson,茅部郡森町字石倉町,42.158604,140.46109
茅部郡森町/01345-4402-8.topojson,茅部郡森町字上台町,42.098198,140.564468
茅部郡森町/01345-4402-8.topojson,茅部郡森町字蛯谷町,42.123657,140.508087
茅部郡森町/01345-4402-8.topojson,茅部郡森町字尾白内町,42.095043,140.624649
茅部郡森町/01345-4402-8.topojson,茅部郡森町字霞台,42.069096,140.534027
茅部郡森町/01345-4402-8.topojson,茅部郡森町字桂川,42.093723,140.507004
茅部郡森町/01345-4402-8.topojson,茅部郡森町字清澄町,42.100845,140.574112
茅部郡森町/01345-4402-8.topojson,茅部郡森町字清瀧,42.109627,140.481552
茅部郡森町/01345-4402-8.topojson,茅部郡森町字栗ケ丘,42.086433,140.53508
茅部郡森町/01345-4402-8.topojson,茅部郡森町字駒ケ岳,42.043007,140.60994
茅部郡森町/01345-4402-8.topojson,茅部郡森町字栄町,42.095451,140.597244
茅部郡森町/01345-4402-8.topojson,茅部郡森町字三岱,42.137341,140.415924
茅部郡森町/01345-4402-8.topojson,茅部郡森町字白川,42.084957,140.605972
茅部郡森町/01345-4402-8.topojson,茅部郡森町字常盤町,42.100189,140.5914
茅部郡森町/01345-4402-8.topojson,茅部郡森町字鳥崎町,42.106956,140.561279
茅部郡森町/01345-4402-8.topojson,茅部郡森町字濁川,42.125317,140.453979
茅部郡森町/01345-4402-8.topojson,茅部郡森町字東森町,42.104691,140.598648
茅部郡森町/01345-4402-8.topojson,茅部郡森町字姫川,42.067787,140.576111
茅部郡森町/01345-4402-8.topojson,茅部郡森町字富士見町,42.106098,140.546509
茅部郡森町/01345-4402-8.topojson,茅部郡森町字本茅部町,42.140984,140.491592
茅部郡森町/01345-4402-8.topojson,茅部郡森町字港町,42.109905,140.597321
茅部郡森町/01345-4402-8.topojson,茅部郡森町字鷲ノ木町,42.11079,140.526077
