ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,道-1,,
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,道-2,,
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,道-4,,
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,道-5,,
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,道-6,,
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-1,虻田郡豊浦町字新富,540
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-1,虻田郡豊浦町字新富,543
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-2,虻田郡豊浦町字新富,414
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-2,虻田郡豊浦町字新富,414-1
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-2,虻田郡豊浦町字新富,414-2
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-2,虻田郡豊浦町字新富,414-3
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-2,虻田郡豊浦町字新富,414-4
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,451-1
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,451-2
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,451-3
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,451-4
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,451-5
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,451-6
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,451-7
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,451-8
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-1
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-2
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-3
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-4
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-5
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-6
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-7
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-8
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-9
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-10
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-11
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-12
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-13
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-14
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-15
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-16
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-17
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-18
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-19
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-20
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-21
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-22
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-23
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-24
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-25
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-26
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-27
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-28
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-29
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-30
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-31
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-32
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-33
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-34
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-35
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-36
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-37
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-38
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-39
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-40
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-41
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-42
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-43
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-44
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-45
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,452-46
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-1
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-2
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-3
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-4
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-5
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-6
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-7
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-8
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-9
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-10
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-11
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-12
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-13
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-14
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-15
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-16
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-17
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-18
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-19
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-20
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-21
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-22
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-23
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-24
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-25
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-26
01571-4302-1.zip,202602100957,虻田郡豊浦町字新富,筆界未定地-3,虻田郡豊浦町字新富,459-27
