ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01218-4315-1.zip,202602101030,赤平市共和町,234-37,,
01218-4315-1.zip,202602101030,赤平市共和町,234-40,,
01218-4315-1.zip,202602101030,赤平市共和町,199-2,,
01218-4315-1.zip,202602101030,赤平市共和町,159-2,,
01218-4315-1.zip,202602101030,赤平市共和町,220-33,,
01218-4315-1.zip,202602101030,赤平市,地区外-151967,,
01218-4315-1.zip,202602101030,赤平市,地区外-151968,,
01218-4315-1.zip,202602101030,赤平市共和町,道-1,,
01218-4315-1.zip,202602101030,赤平市共和町,278-3,,
01218-4315-1.zip,202602101030,赤平市共和町,278-5,,
01218-4315-1.zip,202602101030,赤平市共和町,道-2,,
01218-4315-1.zip,202602101030,赤平市共和町,278-4,,
01218-4315-1.zip,202602101030,赤平市共和町,279,,
01218-4315-1.zip,202602101030,赤平市共和町,278-2,,
01218-4315-1.zip,202602101030,赤平市,地区外-151976,,
01218-4315-1.zip,202602101030,赤平市共和町,水-1,,
01218-4315-1.zip,202602101030,赤平市共和町,283,,
01218-4315-1.zip,202602101030,赤平市共和町,280,,
01218-4315-1.zip,202602101030,赤平市共和町,278-1,,
01218-4315-1.zip,202602101030,赤平市共和町,281-2,,
01218-4315-1.zip,202602101030,赤平市共和町,281-1,,
01218-4315-1.zip,202602101030,赤平市共和町,285-1,,
01218-4315-1.zip,202602101030,赤平市共和町,288,,
01218-4315-1.zip,202602101030,赤平市共和町,282-1,,
01218-4315-1.zip,202602101030,赤平市共和町,282-2,,
01218-4315-1.zip,202602101030,赤平市共和町,285-3,,
01218-4315-1.zip,202602101030,赤平市共和町,290-3,,
01218-4315-1.zip,202602101030,赤平市共和町,290-1,,
01218-4315-1.zip,202602101030,赤平市共和町,289,,
01218-4315-1.zip,202602101030,赤平市共和町,287,,
01218-4315-1.zip,202602101030,赤平市共和町,292-3,,
01218-4315-1.zip,202602101030,赤平市共和町,291-1,,
01218-4315-1.zip,202602101030,赤平市共和町,291-2,,
01218-4315-1.zip,202602101030,赤平市共和町,292-2,,
01218-4315-1.zip,202602101030,赤平市共和町,292-4,,
01218-4315-1.zip,202602101030,赤平市共和町,292-1,,
01218-4315-1.zip,202602101030,赤平市共和町,293-1,,
01218-4315-1.zip,202602101030,赤平市共和町,294-1,,
01218-4315-1.zip,202602101030,赤平市共和町,296-2,,
01218-4315-1.zip,202602101030,赤平市共和町,296-1,,
01218-4315-1.zip,202602101030,赤平市共和町,295-1,,
01218-4315-1.zip,202602101030,赤平市共和町,295-3,,
01218-4315-1.zip,202602101030,赤平市,地区外-152006,,
01218-4315-1.zip,202602101030,赤平市共和町,303-1,,
01218-4315-1.zip,202602101030,赤平市共和町,道-4,,
01218-4315-1.zip,202602101030,赤平市共和町,305-2,,
01218-4315-1.zip,202602101030,赤平市共和町,303-2,,
01218-4315-1.zip,202602101030,赤平市共和町,305-1,,
01218-4315-1.zip,202602101030,赤平市共和町,302-4,,
01218-4315-1.zip,202602101030,赤平市共和町,301-2,,
01218-4315-1.zip,202602101030,赤平市共和町,301-3,,
01218-4315-1.zip,202602101030,赤平市共和町,302-1,,
01218-4315-1.zip,202602101030,赤平市共和町,302-3,,
01218-4315-1.zip,202602101030,赤平市共和町,302-2,,
01218-4315-1.zip,202602101030,赤平市共和町,297-1,,
01218-4315-1.zip,202602101030,赤平市共和町,298-1,,
01218-4315-1.zip,202602101030,赤平市共和町,297-2,,
01218-4315-1.zip,202602101030,赤平市共和町,295-2,,
01218-4315-1.zip,202602101030,赤平市共和町,312,,
01218-4315-1.zip,202602101030,赤平市,地区外-152023,,
01218-4315-1.zip,202602101030,赤平市共和町,237-4,,
01218-4315-1.zip,202602101030,赤平市共和町,238-8,,
01218-4315-1.zip,202602101030,赤平市共和町,318-2,,
01218-4315-1.zip,202602101030,赤平市共和町,318-1,,
01218-4315-1.zip,202602101030,赤平市共和町,238-1,,
01218-4315-1.zip,202602101030,赤平市共和町,313,,
01218-4315-1.zip,202602101030,赤平市共和町,237-5,,
01218-4315-1.zip,202602101030,赤平市共和町,236-1,,
01218-4315-1.zip,202602101030,赤平市共和町,236-2,,
01218-4315-1.zip,202602101030,赤平市共和町,道-5,,
01218-4315-1.zip,202602101030,赤平市共和町,230-31,,
01218-4315-1.zip,202602101030,赤平市,地区外-152035,,
01218-4315-1.zip,202602101030,赤平市共和町,229-2,,
01218-4315-1.zip,202602101030,赤平市共和町,230-24,,
01218-4315-1.zip,202602101030,赤平市共和町,230-26,,
01218-4315-1.zip,202602101030,赤平市共和町,229-1,,
01218-4315-1.zip,202602101030,赤平市共和町,230-7,,
01218-4315-1.zip,202602101030,赤平市共和町,228-1,,
01218-4315-1.zip,202602101030,赤平市共和町,227-1,,
01218-4315-1.zip,202602101030,赤平市共和町,230-8,,
01218-4315-1.zip,202602101030,赤平市共和町,228-2,,
01218-4315-1.zip,202602101030,赤平市,地区外-152045,,
01218-4315-1.zip,202602101030,赤平市共和町,道-6,,
01218-4315-1.zip,202602101030,赤平市共和町,道-7,,
01218-4315-1.zip,202602101030,赤平市,地区外-152048,,
01218-4315-1.zip,202602101030,赤平市共和町,681,,
01218-4315-1.zip,202602101030,赤平市共和町,道-8,,
01218-4315-1.zip,202602101030,赤平市,地区外-152051,,
01218-4315-1.zip,202602101030,赤平市共和町,97-1,,
01218-4315-1.zip,202602101030,赤平市共和町,99,,
01218-4315-1.zip,202602101030,赤平市共和町,111-2,,
01218-4315-1.zip,202602101030,赤平市,地区外-152055,,
01218-4315-1.zip,202602101030,赤平市共和町,101-3,,
01218-4315-1.zip,202602101030,赤平市,地区外-152057,,
01218-4315-1.zip,202602101030,赤平市共和町,24-7,,
01218-4315-1.zip,202602101030,赤平市共和町,100,,
01218-4315-1.zip,202602101030,赤平市共和町,108-1,,
01218-4315-1.zip,202602101030,赤平市共和町,102-2,,
01218-4315-1.zip,202602101030,赤平市共和町,105-1,,
01218-4315-1.zip,202602101030,赤平市共和町,111-1,,
01218-4315-1.zip,202602101030,赤平市共和町,102-1,,
01218-4315-1.zip,202602101030,赤平市共和町,117-1,,
01218-4315-1.zip,202602101030,赤平市,地区外-152066,,
01218-4315-1.zip,202602101030,赤平市共和町,24-3,,
01218-4315-1.zip,202602101030,赤平市共和町,115-2,,
01218-4315-1.zip,202602101030,赤平市共和町,115-6,,
01218-4315-1.zip,202602101030,赤平市共和町,116-1,,
01218-4315-1.zip,202602101030,赤平市共和町,141-12,,
01218-4315-1.zip,202602101030,赤平市共和町,水-2,,
01218-4315-1.zip,202602101030,赤平市共和町,115-11,,
01218-4315-1.zip,202602101030,赤平市共和町,115-10,,
01218-4315-1.zip,202602101030,赤平市共和町,141-13,,
01218-4315-1.zip,202602101030,赤平市共和町,141-11,,
01218-4315-1.zip,202602101030,赤平市共和町,道-9,,
01218-4315-1.zip,202602101030,赤平市共和町,141-6,,
01218-4315-1.zip,202602101030,赤平市共和町,113-6,,
01218-4315-1.zip,202602101030,赤平市共和町,115-16,,
01218-4315-1.zip,202602101030,赤平市共和町,115-1,,
01218-4315-1.zip,202602101030,赤平市共和町,115-7,,
01218-4315-1.zip,202602101030,赤平市共和町,113-3,,
01218-4315-1.zip,202602101030,赤平市共和町,113-7,,
01218-4315-1.zip,202602101030,赤平市共和町,113-1,,
01218-4315-1.zip,202602101030,赤平市共和町,113-8,,
01218-4315-1.zip,202602101030,赤平市共和町,115-12,,
01218-4315-1.zip,202602101030,赤平市共和町,道-10,,
01218-4315-1.zip,202602101030,赤平市共和町,113-5,,
01218-4315-1.zip,202602101030,赤平市共和町,108-5,,
01218-4315-1.zip,202602101030,赤平市共和町,111-5,,
01218-4315-1.zip,202602101030,赤平市共和町,111-6,,
01218-4315-1.zip,202602101030,赤平市共和町,111-8,,
01218-4315-1.zip,202602101030,赤平市共和町,111-3,,
01218-4315-1.zip,202602101030,赤平市共和町,111-7,,
01218-4315-1.zip,202602101030,赤平市共和町,115-13,,
01218-4315-1.zip,202602101030,赤平市共和町,114-1,,
01218-4315-1.zip,202602101030,赤平市共和町,114-2,,
01218-4315-1.zip,202602101030,赤平市共和町,113-4,,
01218-4315-1.zip,202602101030,赤平市共和町,113-9,,
01218-4315-1.zip,202602101030,赤平市共和町,114-3,,
01218-4315-1.zip,202602101030,赤平市共和町,24-6,,
01218-4315-1.zip,202602101030,赤平市共和町,115-18,,
01218-4315-1.zip,202602101030,赤平市共和町,115-19,,
01218-4315-1.zip,202602101030,赤平市共和町,115-9,,
01218-4315-1.zip,202602101030,赤平市共和町,115-20,,
01218-4315-1.zip,202602101030,赤平市共和町,115-14,,
01218-4315-1.zip,202602101030,赤平市共和町,115-5,,
01218-4315-1.zip,202602101030,赤平市共和町,115-15,,
01218-4315-1.zip,202602101030,赤平市共和町,115-8,,
01218-4315-1.zip,202602101030,赤平市共和町,117-10,,
01218-4315-1.zip,202602101030,赤平市共和町,117-11,,
01218-4315-1.zip,202602101030,赤平市共和町,道-11,,
01218-4315-1.zip,202602101030,赤平市共和町,117-8,,
01218-4315-1.zip,202602101030,赤平市共和町,117-9,,
01218-4315-1.zip,202602101030,赤平市共和町,117-3,,
01218-4315-1.zip,202602101030,赤平市共和町,136-5,,
01218-4315-1.zip,202602101030,赤平市共和町,136-3,,
01218-4315-1.zip,202602101030,赤平市共和町,141-10,,
01218-4315-1.zip,202602101030,赤平市共和町,141-1,,
01218-4315-1.zip,202602101030,赤平市共和町,141-5,,
01218-4315-1.zip,202602101030,赤平市共和町,115-17,,
01218-4315-1.zip,202602101030,赤平市共和町,117-12,,
01218-4315-1.zip,202602101030,赤平市,地区外-152125,,
01218-4315-1.zip,202602101030,赤平市共和町,119-1,,
01218-4315-1.zip,202602101030,赤平市共和町,120-1,,
01218-4315-1.zip,202602101030,赤平市共和町,135-7,,
01218-4315-1.zip,202602101030,赤平市共和町,124-4,,
01218-4315-1.zip,202602101030,赤平市共和町,124-6,,
01218-4315-1.zip,202602101030,赤平市共和町,119-5,,
01218-4315-1.zip,202602101030,赤平市共和町,道-12,,
01218-4315-1.zip,202602101030,赤平市共和町,120-2,,
01218-4315-1.zip,202602101030,赤平市共和町,120-3,,
01218-4315-1.zip,202602101030,赤平市共和町,120-4,,
01218-4315-1.zip,202602101030,赤平市共和町,119-2,,
01218-4315-1.zip,202602101030,赤平市共和町,119-6,,
01218-4315-1.zip,202602101030,赤平市共和町,119-4,,
01218-4315-1.zip,202602101030,赤平市共和町,119-3,,
01218-4315-1.zip,202602101030,赤平市共和町,122-1,,
01218-4315-1.zip,202602101030,赤平市共和町,135-5,,
01218-4315-1.zip,202602101030,赤平市共和町,135-9,,
01218-4315-1.zip,202602101030,赤平市共和町,135-10,,
01218-4315-1.zip,202602101030,赤平市共和町,124-3,,
01218-4315-1.zip,202602101030,赤平市共和町,122-8,,
01218-4315-1.zip,202602101030,赤平市共和町,122-7,,
01218-4315-1.zip,202602101030,赤平市共和町,122-2,,
01218-4315-1.zip,202602101030,赤平市共和町,122-6,,
01218-4315-1.zip,202602101030,赤平市共和町,135-8,,
01218-4315-1.zip,202602101030,赤平市共和町,135-6,,
01218-4315-1.zip,202602101030,赤平市共和町,135-1,,
01218-4315-1.zip,202602101030,赤平市共和町,136-7,,
01218-4315-1.zip,202602101030,赤平市共和町,125-2,,
01218-4315-1.zip,202602101030,赤平市共和町,124-2,,
01218-4315-1.zip,202602101030,赤平市共和町,122-4,,
01218-4315-1.zip,202602101030,赤平市共和町,124-1,,
01218-4315-1.zip,202602101030,赤平市共和町,124-5,,
01218-4315-1.zip,202602101030,赤平市共和町,124-7,,
01218-4315-1.zip,202602101030,赤平市共和町,122-9,,
01218-4315-1.zip,202602101030,赤平市共和町,697-1,,
01218-4315-1.zip,202602101030,赤平市,地区外-152164,,
01218-4315-1.zip,202602101030,赤平市共和町,191-7,,
01218-4315-1.zip,202602101030,赤平市共和町,201-18,,
01218-4315-1.zip,202602101030,赤平市共和町,199-15,,
01218-4315-1.zip,202602101030,赤平市共和町,199-11,,
01218-4315-1.zip,202602101030,赤平市共和町,697-11,,
01218-4315-1.zip,202602101030,赤平市共和町,669,,
01218-4315-1.zip,202602101030,赤平市共和町,190-1,,
01218-4315-1.zip,202602101030,赤平市共和町,191-2,,
01218-4315-1.zip,202602101030,赤平市共和町,水-3,,
01218-4315-1.zip,202602101030,赤平市共和町,192-3,,
01218-4315-1.zip,202602101030,赤平市共和町,192-9,,
01218-4315-1.zip,202602101030,赤平市共和町,196-3,,
01218-4315-1.zip,202602101030,赤平市共和町,196-9,,
01218-4315-1.zip,202602101030,赤平市共和町,193-3,,
01218-4315-1.zip,202602101030,赤平市共和町,193-10,,
