ファイル名,地番区域,緯度,経度
赤平市/01218-4315-13.topojson,赤平市百戸町北,43.596645,142.097397
赤平市/01218-4315-13.topojson,赤平市,43.558048,142.044174
赤平市/01218-4315-14.topojson,赤平市住吉町,43.547417,141.998611
赤平市/01218-4315-16.topojson,赤平市字赤平,43.540657,142.048218
赤平市/01218-4315-16.topojson,赤平市百戸町東３丁目,43.545406,142.096405
赤平市/01218-4315-16.topojson,赤平市共和町,43.594952,142.010071
赤平市/01218-4315-16.topojson,赤平市字茂尻,43.510735,142.093033
赤平市/01218-4315-16.topojson,赤平市百戸町東５丁目,43.542213,142.091827
赤平市/01218-4315-16.topojson,赤平市茂尻栄町５丁目,43.536015,142.077011
赤平市/01218-4315-17.topojson,赤平市幌岡町,43.599514,142.05603
赤平市/01218-4315-18.topojson,赤平市平岸東町６丁目,43.537457,142.141129
赤平市/01218-4315-20.topojson,赤平市茂尻中央町北２丁目,43.539902,142.084915
赤平市/01218-4315-20.topojson,赤平市茂尻中央町北１丁目,43.539703,142.084213
赤平市/01218-4315-20.topojson,赤平市茂尻中央町南６丁目,43.537083,142.085953
赤平市/01218-4315-20.topojson,赤平市茂尻中央町南５丁目,43.538246,142.086212
赤平市/01218-4315-20.topojson,赤平市茂尻中央町南４丁目,43.538185,142.085693
赤平市/01218-4315-20.topojson,赤平市茂尻中央町南３丁目,43.538193,142.085052
赤平市/01218-4315-20.topojson,赤平市茂尻中央町南２丁目,43.538155,142.084442
赤平市/01218-4315-20.topojson,赤平市茂尻中央町南１丁目,43.538155,142.084106
赤平市/01218-4315-20.topojson,赤平市茂尻元町北６丁目,43.54023,142.073242
赤平市/01218-4315-20.topojson,赤平市茂尻元町北５丁目,43.539673,142.077469
赤平市/01218-4315-20.topojson,赤平市茂尻元町北４丁目,43.539772,142.079102
赤平市/01218-4315-20.topojson,赤平市茂尻元町北３丁目,43.53997,142.080414
赤平市/01218-4315-20.topojson,赤平市茂尻元町北２丁目,43.540077,142.08165
赤平市/01218-4315-20.topojson,赤平市茂尻元町北１丁目,43.540211,142.08287
赤平市/01218-4315-20.topojson,赤平市茂尻元町南５丁目,43.538857,142.073151
赤平市/01218-4315-20.topojson,赤平市茂尻元町南４丁目,43.537956,142.0793
赤平市/01218-4315-20.topojson,赤平市茂尻元町南３丁目,43.537971,142.080811
赤平市/01218-4315-20.topojson,赤平市茂尻元町南２丁目,43.537804,142.082199
赤平市/01218-4315-20.topojson,赤平市茂尻元町南１丁目,43.538185,142.08342
赤平市/01218-4315-22.topojson,赤平市字豊里,43.560154,142.055038
