ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,9-1,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,9-2,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,38,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,39,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,41-1,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,41-2,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,43,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,45-1,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,45-2,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,46-1,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,46-2,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,47-1,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,48-1,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,48-2,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,49,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,40-1,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,40-2,,
01647-4601-1.zip,202602101156,足寄郡足寄町旭町１丁目,47-2,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,1,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,2,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,3,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,5,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,6,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,7,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,8,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,10,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,11,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,12-1,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,12-2,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,12-3,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,13,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,14,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,15,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,16,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,17,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,18,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,19,,
01647-4601-2.zip,202602101156,足寄郡足寄町旭町１丁目,20,,
