ファイル名,地番区域,緯度,経度
釧路市/01206-4600-1.topojson,釧路市貝塚１丁目,42.993378,144.408951
釧路市/01206-4600-1.topojson,釧路市,42.984932,144.381775
釧路市/01206-4600-2.topojson,釧路市北斗,43.065693,144.302887
釧路市/01206-4600-2.topojson,釧路市音羽,43.039089,144.281479
釧路市/01206-4600-2.topojson,釧路市新野,43.027138,144.237274
釧路市/01206-4600-2.topojson,釧路市美濃十一線,43.05827,144.242172
釧路市/01206-4600-2.topojson,釧路市美濃十二線,43.081936,144.276657
釧路市/01206-4600-2.topojson,釧路市美濃十三線,43.062164,144.244873
釧路市/01206-4600-3.topojson,釧路市中園町,43.006279,144.384369
釧路市/01206-4600-4.topojson,釧路市栄町１丁目,42.982273,144.388657
釧路市/01206-4600-4.topojson,釧路市栄町２丁目,42.982861,144.388275
釧路市/01206-4600-4.topojson,釧路市栄町３丁目,42.983578,144.388092
釧路市/01206-4600-4.topojson,釧路市栄町４丁目,42.9841,144.387924
釧路市/01206-4600-4.topojson,釧路市栄町５丁目,42.984703,144.387711
釧路市/01206-4600-4.topojson,釧路市川上町２丁目,42.983246,144.390137
釧路市/01206-4600-4.topojson,釧路市川上町３丁目,42.983761,144.389557
釧路市/01206-4600-4.topojson,釧路市川上町４丁目,42.984364,144.389526
釧路市/01206-4600-4.topojson,釧路市川上町５丁目,42.984913,144.389359
釧路市/01206-4600-4.topojson,釧路市川上町６丁目,42.985619,144.38913
釧路市/01206-4600-4.topojson,釧路市旭町,42.986008,144.392258
釧路市/01206-4600-5.topojson,釧路市貝塚２丁目,42.992741,144.416061
釧路市/01206-4600-6.topojson,釧路市宝町,42.995621,144.366211
釧路市/01206-4600-6.topojson,釧路市喜多町,42.997059,144.367538
釧路市/01206-4600-6.topojson,釧路市若草町,42.997894,144.371719
釧路市/01206-4600-6.topojson,釧路市川端町,43.002216,144.36499
釧路市/01206-4600-6.topojson,釧路市駒場町,43.000839,144.369019
釧路市/01206-4600-6.topojson,釧路市寿４丁目,42.992767,144.372696
釧路市/01206-4600-7.topojson,釧路市音別町音別,42.93763,143.886978
釧路市/01206-4600-7.topojson,釧路市音別町音別原野西三線,42.916641,143.910843
釧路市/01206-4600-7.topojson,釧路市音別町音別原野西四線,42.916039,143.913513
釧路市/01206-4600-7.topojson,釧路市音別町音別原野西五線,42.916641,143.910843
釧路市/01206-4600-7.topojson,釧路市音別町尺別,42.895214,143.85437
釧路市/01206-4600-7.topojson,釧路市音別町尺別原野基線,42.876575,143.889267
釧路市/01206-4600-7.topojson,釧路市音別町尺別原野西一線,42.87841,143.879288
釧路市/01206-4600-7.topojson,釧路市音別町尺別原野東一線,42.8773,143.896393
釧路市/01206-4600-7.topojson,釧路市音別町尺別原野東二線,42.874096,143.909836
釧路市/01206-4600-7.topojson,釧路市音別町チャンベツ,43.014294,143.823883
釧路市/01206-4600-7.topojson,釧路市音別町チャンベツ右岸,43.002628,143.87944
釧路市/01206-4600-7.topojson,釧路市音別町直別,42.865005,143.851059
釧路市/01206-4600-7.topojson,釧路市音別町直別原野東一線,42.857868,143.853897
釧路市/01206-4600-7.topojson,釧路市音別町直別原野東二線,42.860867,143.866638
釧路市/01206-4600-7.topojson,釧路市音別町直別原野東三線,42.863266,143.869278
釧路市/01206-4600-7.topojson,釧路市音別町ムリ,42.951694,143.81572
釧路市/01206-4600-7.topojson,釧路市音別町直別原野西一線,42.8531,143.850082
釧路市/01206-4600-7.topojson,釧路市音別町,42.897114,143.939743
釧路市/01206-4600-8.topojson,釧路市大楽毛,43.016293,144.252762
釧路市/01206-4600-8.topojson,釧路市大楽毛西１丁目,43.014809,144.267029
釧路市/01206-4600-8.topojson,釧路市駒牧九線,43.066185,144.176514
釧路市/01206-4600-8.topojson,釧路市駒牧十線,43.066185,144.176514
釧路市/01206-4600-8.topojson,釧路市鶴丘七線,43.047344,144.210175
釧路市/01206-4600-8.topojson,釧路市鶴丘八線,43.051525,144.201553
釧路市/01206-4600-8.topojson,釧路市鶴丘九線,43.043812,144.192734
釧路市/01206-4600-8.topojson,釧路市鶴丘十線,43.062267,144.202805
釧路市/01206-4600-8.topojson,釧路市新野七線,43.034325,144.233215
釧路市/01206-4600-8.topojson,釧路市駒牧八線,43.056309,144.175385
釧路市/01206-4600-8.topojson,釧路市駒牧,43.056309,144.175385
釧路市/01206-4600-8.topojson,釧路市駒牧十一線,43.056309,144.175385
釧路市/01206-4600-8.topojson,釧路市新野八線,43.043358,144.233597
釧路市/01206-4600-8.topojson,釧路市桜田十線,43.076916,144.14711
釧路市/01206-4600-8.topojson,釧路市鶴丘,43.047344,144.210175
釧路市/01206-4600-8.topojson,釧路市大楽毛二線,43.0112,144.290588
釧路市/01206-4600-8.topojson,釧路市大楽毛一線,43.011391,144.297791
