ファイル名,地番区域,緯度,経度
釧路郡釧路町/01661-4600-1.topojson,釧路郡釧路町字鳥通,43.0723,144.417755
釧路郡釧路町/01661-4600-1.topojson,釧路郡釧路町鳥通西１丁目,43.052471,144.45752
釧路郡釧路町/01661-4600-1.topojson,釧路郡釧路町字トリトウシ,43.073139,144.442474
釧路郡釧路町/01661-4600-2.topojson,釧路郡釧路町字別保,42.989441,144.504425
釧路郡釧路町/01661-4600-3.topojson,釧路郡釧路町大字仙鳳趾村字ヲクトスベ,42.966904,144.713287
釧路郡釧路町/01661-4600-3.topojson,釧路郡釧路町大字仙鳳趾村字オタクパウシ,42.966904,144.713287
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字達古武,43.089722,144.500565
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字遠野,43.054165,144.494843
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字遠野原野西一線,43.037888,144.487442
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字トリトウシ原野南四線,43.055466,144.468002
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字トリトウシ原野南五線,43.055466,144.468002
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字トリトウシ原野南六線,43.055466,144.468002
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字トリトウシ原野南七線,43.055466,144.468002
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字トリトウシ原野南十線,43.055466,144.468002
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字トリトウシ原野南十一線,43.055466,144.468002
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字トリトウシ原野南十四線,43.055466,144.468002
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字トリトウシ原野南十五線,43.055466,144.468002
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字別保原野南二十一線,43.017635,144.433975
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字別保原野南二十二線,43.014576,144.428757
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字別保原野南二十四線,42.998245,144.44252
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字別保原野南二十五線,42.994484,144.444519
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町字別保原野南二十四線東,43.002464,144.428696
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町河畔２丁目,43.034042,144.452469
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町河畔４丁目,43.03511,144.452286
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町河畔５丁目,43.036087,144.453217
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町河畔６丁目,43.03688,144.453568
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町河畔７丁目,43.037781,144.455948
釧路郡釧路町/01661-4600-4.topojson,釧路郡釧路町河畔８丁目,43.037926,144.454773
