Rosen_Code,Rosen_Name
"00000100001000","東名高速道路"
"00000100001001","東名高速道路（複線０１）"
"00000100001002","東名高速道路（複線０２）"
"00000100001003","東名高速道路（複線０３）"
"00000100001004","東名高速道路"
"00000100001005","東名高速道路"
"00000100001006","東名高速道路"
"00000100001007","東名高速道路"
"00000100001008","東名高速道路"
"00000100001009","東名高速道路"
"00000100001010","東名高速道路"
"00000100001011","高速自動車国道１号複線１１"
"00000100001012","東名高速道路"
"00000100001013","東名高速道路"
"00000100001014","東名高速道路"
"00000100001015","東名高速道路"
"00000100001016","東名高速道路"
"00000100001017","東名高速道路"
"00000100001018","東名高速道路"
"00000100001019","東名高速道路"
"00000100001020","東名高速道路"
"00000100002000","中国自動車道"
"00000100002001","中国自動車道（複線０１）"
"00000100002002","中国自動車道"
"00000100002003","中国自動車道（複線０３）"
"00000100002004","中国自動車道（複線４号）"
"00000100002005","中国自動車（複線５号）"
"00000100002006","中国自動車道（複線６号）"
"00000100002007","中国自動車道＜小郡ＩＣランプ部＞"
"00000100002009","中国自動車道　複線（０９）"
"00000100002010","中国自動車道（複線１０号）"
"00000100003000","九州自動車道"
"00000100003001","九州自動車道（複線０１）"
"00000100003002","九州自動車道（複線０２）門司ＩＣ取付部"
"00000100003003","九州自動車道（複線０３）"
"00000100003005","九州自動車道"
"00000100003006","九州自動車道"
"00000100003007","九州横断道延岡線"
"00000100003008","九州横断道延岡線"
"00000100003009","九州自動車道＜八代ＩＣランプ部＞"
"00000100003011","九州自動車道　植木ＩＣランプ部"
"00000100003012","九州自動車道　熊本ＩＣランプ部"
"00000100003013","九州自動車道　小郡鳥栖南ＳＩＣランプ部"
"00000100003014","九州自動車道　小郡鳥栖南ＳＩＣランプ部"
"00000100003024","九州横断道延岡線"
"00000100003025","九州横断道延岡線"
"00000100004000","東北自動車道"
"00000100004001","東北自動車道（取付道路１号線）（複線０１）"
"00000100004002","東北自動車道（複線０２）"
"00000100004003","東北自動車道（複線０３）"
"00000100004004","東北自動車道（複線０４）"
"00000100004005","東北自動車道（複線０５）"
"00000100004006","高速自動車国道４号複線６"
"00000100004007","東北自動車道"
"00000100004008","東北自動車道"
"00000100004031","東北自動車道（複線３１）"
"00000100004032","東北自動車道（複線３２）"
"00000100004033","東北自動車道"
"00000100004034","東北自動車道（複線３４）"
"00000100004035","東北自動車道（複線３５）"
"00000100004036","東北自動車道（複線３６）"
"00000100004037","東北自動車道（複線３７）"
"00000100004038","東北自動車道（複線３８）"
"00000100004039","東北自動車道（複線３９）"
"00000100004040","東北自動車道（複線４０）"
"00000100004041","東北自動車道（複線４１）"
"00000100004042","東北自動車道（複線４２）"
"00000100004043","東北自動車道（複線４３）"
"00000100004999","東北自動車道"
"00000100005000","道央自動車道"
"00000100005001","道央自動車道（登別室蘭インター取付道路（複線０１）"
"00000100005002","道央自動車道"
"00000100005003","江別東ＩＣ"
"00000100005004","道央自動車道"
"00000100005100","道央自動車道"
"00000100005101","道央自動車道"
"00000100005102","道央自動車道"
"00000100005107","道央自動車道"
"00000100005109","道央自動車道"
"00000100005111","道央自動車道"
"00000100006000","常磐自動車道"
"00000100006001","常磐自動車道路複線（０１）"
"00000100006002","常磐自動車道（複線０２）"
"00000100006004","常磐自動車道（複線０４）"
"00000100006005","常磐自動車道（複線０５）"
"00000100006006","常磐自動車道（複線０６）"
"00000100006007","常磐自動車道（複線０７）"
"00000100006008","常磐自動車道（複線０８）"
"00000100007000","西名阪自動車道"
"00000100008000","北陸自動車道"
"00000100008001","北陸自動車道（複線０１）"
"00000100008002","北陸自動車道（複線２）"
"00000100008003","北陸自動車道"
"00000100008004","北陸自動車道"
"00000100009000","山陽自動車道"
"00000100009001","山陽自動車道（複線０１）"
"00000100009002","山陽自動車道（取付道路０２）"
"00000100009003","山陽自動車道（取付道路０３）"
"00000100009004","山陽自動車道（複線０４）"
"00000100009005","山陽自動車道（複線０５）"
"00000100009006","山陽自動車道（複線０６）"
"00000100009007","山陽自動車道＜徳山西ＩＣランプ部＞"
"00000100009008","山陽自動車道＜徳山東ＩＣランプ部＞"
"00000100009009","山陽自動車道＜備前ＩＣランプ部＞"
