Rosen,Kyori,S_Kosaten,E_Kosaten,Kiten_Kyori,Bunri,Encho,L_Fukuin,L_T,L_T350,L_T300,L_T175,L_T150,C_T,R_T150,R_T175,R_T300,R_T350,R_T,R_Fukuin,Seigen,Chisaki_Knj,Kouzou_Knj
"00000100020002",1410,"5438230363","5438130126",1.41,3,0.80000001,0.75,4.0999999,5.5999999,5.8000002,0,6.4000001,7.1199999,6.5,0,5.9000001,5.6999998,4.1999998,0.75,0,"佐久市臼田トンネル","臼田トンネル"
"00000100028004",231,"5234520111","523462F004",0.23100001,3,0.62199998,4.5,4.0999999,5,5.3099999,5.8499999,5.9299998,6.1599998,6.4000001,5.98,5.5300002,5.2600002,4.4400001,4.5,4.5,"美作市今岡","今岡トンネル"
"00000100028004",1100,"5234520111","523462F004",1.1,3,0.384,4.5,4.3600001,5.1999998,5.48,5.96,6.02,6.1599998,5.9499998,5.8800001,5.3600001,5.0500002,4.1700001,4.5,4.5,"美作市中町","中町トンネル"
"00000100028004",1949,"5234520111","523462F004",1.949,3,0.417,4.5,4.3800001,5.23,5.5100002,5.98,6.04,6.1900001,5.98,5.9099998,5.3800001,5.0700002,4.1799998,4.5,4.5,"美作市大原","大原トンネル"
"00000100028004",3460,"5234520111","523462F004",3.46,3,0.183,4.5,4.21,5.0900002,5.3899999,5.9099998,5.98,6.1900001,6.04,5.98,5.5,5.21,4.5599999,4.5,4.5,"美作市江ノ原","江ノ原第一トンネル"
"00000100028004",3776,"5234520111","523462F004",3.776,3,0.47400001,4.5,4.21,5.0900002,5.3899999,5.9099998,5.98,6.1900001,6.04,5.98,5.5,5.21,4.3600001,4.5,4.5,"美作市江ノ原","江ノ原第二トンネル"
"00000100028004",5298,"5234520111","523462F004",5.2979999,3,0.97000003,4.5,4.25,5.3299999,5.6999998,6.3299999,6.4099998,6.6500001,6.48,6.4099998,5.8499999,5.5,4.4699998,4.5,4.5,"西粟倉村西粟倉","西粟倉トンネル"
"00000100028004",5298,"5234520111","523462F004",5.2979999,3,0.76200002,4.5,4.2399998,5.3299999,5.6999998,6.3299999,6.4099998,6.6500001,6.48,6.4099998,5.8499999,5.5,4.4699998,4.5,4.5,"西粟倉村筏津","筏津トンネル"
"00000100028004",7314,"5234520111","523462F004",7.3140001,1,0.20100001,3.8399999,4.4899998,4.7600002,5.1199999,5.6700001,5.7399998,5.9299998,5.7399998,5.6700001,5.1199999,4.7800002,4.5599999,3.98,4.5,"西粟倉村長尾","佐渕トンネル（下り線）"
"00000100028004",7337,"5234520111","523462F004",7.3369999,1,0.178,4.5,4.4899998,5.3000002,5.5599999,6,6.0500002,6.1599998,5.9099998,5.8299999,5.27,4.96,4.0999999,4.5,4.5,"西粟倉村長尾","佐渕トンネル（上り線）"
