交差点番号,管理者名,交差点名,地先名,緯度,経度,路線名
6243710011,えりも町,,えりも町字東洋,41.964427539 ,143.222049072 ,"[{'RosenName': '市町村道 えりも町12号線 焼別折別線', 'KitenNodeNo': '6243710004', 'SyutenNodeNo': '6243710010'}]"
6543220002,オホーツク総合振興局 網走建設管理部,,足寄町国有林７６林班,43.551057311 ,143.347072028 ,"[{'RosenName': '主要地方道 北海道88号線 本別留辺蘂線', 'KitenNodeNo': '6443730010', 'SyutenNodeNo': '6543330007'}]"
6543260003,オホーツク総合振興局 網走建設管理部,,陸別町国有林野,43.548858003 ,143.840160772 ,"[{'RosenName': '主要地方道 北海道51号線 津別陸別線', 'KitenNodeNo': '6543370011', 'SyutenNodeNo': '6543150034'}]"
6543330007,オホーツク総合振興局 網走建設管理部,常元,置戸町常元,43.617731585 ,143.439900890 ,"[{'RosenName': '主要地方道 北海道88号線 本別留辺蘂線', 'KitenNodeNo': '6543220002', 'SyutenNodeNo': '6543430003'}, {'RosenName': '一般都道府県道 北海道1050号線 常元中里線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543330008'}]"
6543330008,オホーツク総合振興局 網走建設管理部,常元東,置戸町常元東,43.633106595 ,143.494119948 ,"[{'RosenName': '一般都道府県道 北海道1050号線 常元中里線', 'KitenNodeNo': '6543330007', 'SyutenNodeNo': '6543340004'}]"
6543340004,オホーツク総合振興局 網走建設管理部,勝山,置戸町勝山,43.640051999 ,143.506101736 ,"[{'RosenName': '一般都道府県道 北海道1050号線 常元中里線', 'KitenNodeNo': '6543330008', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道211号線 春日置戸線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543340006'}]"
6543340006,オホーツク総合振興局 網走建設管理部,勝山２,置戸町勝山,43.641985249 ,143.510459546 ,"[{'RosenName': '一般都道府県道 北海道211号線 春日置戸線', 'KitenNodeNo': '6543340004', 'SyutenNodeNo': '6543340027'}]"
6543340011,オホーツク総合振興局 網走建設管理部,,置戸町字中里,43.666100518 ,143.554603944 ,"[{'RosenName': '一般都道府県道 北海道97143号線 ９７１４３号', 'KitenNodeNo': '6543340012', 'SyutenNodeNo': ''}, {'RosenName': '市町村道 置戸町97104号線 複線（2） ９７１０４号複線７', 'KitenNodeNo': '', 'SyutenNodeNo': '6543440073'}]"
6543340012,オホーツク総合振興局 網走建設管理部,中里,置戸町字中里,43.663813370 ,143.556733068 ,"[{'RosenName': '一般都道府県道 北海道97143号線 ９７１４３号', 'KitenNodeNo': '', 'SyutenNodeNo': '6543340011'}, {'RosenName': '一般都道府県道 北海道211号線 春日置戸線', 'KitenNodeNo': '6543340035', 'SyutenNodeNo': '6543440073'}]"
6543340027,オホーツク総合振興局 網走建設管理部,安住,置戸町安住,43.646355991 ,143.523145605 ,"[{'RosenName': '一般都道府県道 北海道211号線 春日置戸線', 'KitenNodeNo': '6543340006', 'SyutenNodeNo': '6543340035'}]"
6543340035,オホーツク総合振興局 網走建設管理部,安住２,置戸町安住,43.649051695 ,143.528861574 ,"[{'RosenName': '一般都道府県道 北海道211号線 春日置戸線', 'KitenNodeNo': '6543340027', 'SyutenNodeNo': '6543340012'}]"
6543350011,オホーツク総合振興局 網走建設管理部,,訓子府町林内,43.626876383 ,143.682324094 ,"[{'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543450122', 'SyutenNodeNo': '6543350020'}]"
6543440019,オホーツク総合振興局 網走建設管理部,,置戸町字置戸,43.679266919 ,143.592987086 ,"[{'RosenName': '一般都道府県道 北海道4001号線 北光置戸線', 'KitenNodeNo': '6543440021', 'SyutenNodeNo': '6543440058'}, {'RosenName': '一般都道府県道 北海道97144号線 複線（20） ９７１４４号', 'KitenNodeNo': '6543440105', 'SyutenNodeNo': ''}]"
6543440020,オホーツク総合振興局 網走建設管理部,,置戸町字置戸,43.677146460 ,143.596366086 ,"[{'RosenName': '一般都道府県道 北海道97144号線 複線（23） ９７１４４号複線２', 'KitenNodeNo': '', 'SyutenNodeNo': '6543440067'}, {'RosenName': '一般都道府県道 北海道986号線 置戸−訓子府−北見線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543440069'}]"
6543440021,オホーツク総合振興局 網走建設管理部,,置戸町字置戸,43.681983425 ,143.597861464 ,"[{'RosenName': '一般都道府県道 北海道4001号線 北光置戸線', 'KitenNodeNo': '6543440022', 'SyutenNodeNo': '6543440019'}, {'RosenName': '市町村道 置戸町97106号線 ９７１０６号', 'KitenNodeNo': '6543440023', 'SyutenNodeNo': ''}]"
