市区町村名,地番,大字名,center_lng,center_lat
上川郡和寒町,71,字塩狩,142.468032,43.968753
上川郡和寒町,70,字塩狩,142.46699,43.968229
上川郡和寒町,69,字塩狩,142.466386,43.968465
上川郡和寒町,68-1,字塩狩,142.467173,43.969698
上川郡和寒町,67-1,字塩狩,142.465654,43.970203
上川郡和寒町,72,字塩狩,142.468874,43.969148
上川郡和寒町,79-1,字塩狩,142.470036,43.970161
上川郡和寒町,74-1,字塩狩,142.468009,43.971601
上川郡和寒町,74-2,字塩狩,142.467134,43.970991
上川郡和寒町,73,字塩狩,142.466683,43.970973
上川郡和寒町,67-2,字塩狩,142.466009,43.971262
上川郡和寒町,62-2,字塩狩,142.465428,43.971417
上川郡和寒町,道-58,字塩狩,142.463536,43.972932
上川郡和寒町,76-1,字塩狩,142.467971,43.972445
上川郡和寒町,77-1,字塩狩,142.469982,43.973397
上川郡和寒町,39-3,字塩狩,142.469844,43.975526
上川郡和寒町,77-2,字塩狩,142.470061,43.97448
上川郡和寒町,50-1,字塩狩,142.466863,43.97508
上川郡和寒町,58-2,字塩狩,142.468604,43.975446
上川郡和寒町,241,字朝日,142.467974,43.981368
上川郡和寒町,242,字朝日,142.466396,43.981904
上川郡和寒町,45,字塩狩,142.466492,43.979347
上川郡和寒町,56-1,字塩狩,142.468951,43.978818
上川郡和寒町,57,字塩狩,142.469405,43.976846
上川郡和寒町,52-2,字塩狩,142.465832,43.976694
上川郡和寒町,52-1,字塩狩,142.466967,43.976744
上川郡和寒町,47-1,字塩狩,142.465241,43.976689
上川郡和寒町,41-2,字塩狩,142.462033,43.977901
上川郡和寒町,40-1,字塩狩,142.462947,43.976669
上川郡和寒町,23-16,字塩狩,142.461167,43.975929
上川郡和寒町,23-17,字塩狩,142.461052,43.976107
上川郡和寒町,39-2,字塩狩,142.46125,43.976198
上川郡和寒町,23-12,字塩狩,142.461037,43.976604
上川郡和寒町,22-6,字塩狩,142.460009,43.976887
上川郡和寒町,23-13,字塩狩,142.460586,43.976393
上川郡和寒町,23-4,字塩狩,142.459961,43.976353
上川郡和寒町,23-1,字塩狩,142.45901,43.976373
上川郡和寒町,21-5,字塩狩,142.458491,43.976771
上川郡和寒町,21-2,字塩狩,142.458614,43.976955
上川郡和寒町,22-4,字塩狩,142.459852,43.977093
上川郡和寒町,22-10,字塩狩,142.460018,43.977316
上川郡和寒町,22-16,字塩狩,142.459939,43.977297
上川郡和寒町,22-7,字塩狩,142.459582,43.977727
上川郡和寒町,22-1,字塩狩,142.45923,43.977702
上川郡和寒町,21-1,字塩狩,142.459285,43.977276
上川郡和寒町,21-3,字塩狩,142.458513,43.977226
上川郡和寒町,水-51,字塩狩,142.458436,43.978154
上川郡和寒町,22-11,字塩狩,142.459526,43.977791
上川郡和寒町,18-4,字塩狩,142.459487,43.977929
上川郡和寒町,18-1,字塩狩,142.459356,43.977898
上川郡和寒町,18-3,字塩狩,142.459275,43.978083
上川郡和寒町,22-9,字塩狩,142.460057,43.97778
上川郡和寒町,22-12,字塩狩,142.460125,43.977703
上川郡和寒町,22-3,字塩狩,142.461123,43.977911
上川郡和寒町,22-2,字塩狩,142.460371,43.977831
上川郡和寒町,22-14,字塩狩,142.460298,43.977744
上川郡和寒町,22-15,字塩狩,142.460264,43.977816
上川郡和寒町,22-8,字塩狩,142.460294,43.977062
上川郡和寒町,22-13,字塩狩,142.46043,43.977426
上川郡和寒町,22-5,字塩狩,142.460864,43.977375
上川郡和寒町,15-5,字塩狩,142.460074,43.97915
上川郡和寒町,17-1,字塩狩,142.46069,43.978466
上川郡和寒町,17-6,字塩狩,142.460184,43.978018
上川郡和寒町,17-5,字塩狩,142.459665,43.978379
上川郡和寒町,17-4,字塩狩,142.459218,43.97867
上川郡和寒町,15-6,字塩狩,142.459991,43.979232
上川郡和寒町,15-4,字塩狩,142.459347,43.979565
上川郡和寒町,15-3,字塩狩,142.460371,43.980303
上川郡和寒町,44-1,字塩狩,142.46229,43.980693
上川郡和寒町,42,字塩狩,142.462653,43.978812
上川郡和寒町,243,字朝日,142.465859,43.982302
上川郡和寒町,水-54,字塩狩,142.457144,43.981274
上川郡和寒町,244,字朝日,142.464121,43.982515
上川郡和寒町,245,字朝日,142.465107,43.983046
上川郡和寒町,246,字朝日,142.464925,43.983453
上川郡和寒町,247,字朝日,142.466446,43.984093
上川郡和寒町,251,字朝日,142.462806,43.985105
上川郡和寒町,252,字朝日,142.46269,43.985446
上川郡和寒町,253,字朝日,142.462543,43.985788
上川郡和寒町,254,字朝日,142.462306,43.986125
上川郡和寒町,250,字朝日,142.462932,43.984763
上川郡和寒町,249,字朝日,142.463061,43.984425
上川郡和寒町,248,字朝日,142.463208,43.984103
上川郡和寒町,275-23,字朝日,142.458564,43.98599
上川郡和寒町,275-22,字朝日,142.458358,43.986081
上川郡和寒町,275-41,字朝日,142.45831,43.985565
上川郡和寒町,275-42,字朝日,142.458469,43.985585
上川郡和寒町,275-43,字朝日,142.458629,43.985605
上川郡和寒町,275-44,字朝日,142.458859,43.985545
上川郡和寒町,274-12,字朝日,142.45896,43.985257
上川郡和寒町,274-11,字朝日,142.458636,43.985219
上川郡和寒町,274-10,字朝日,142.458309,43.985182
上川郡和寒町,272-5,字朝日,142.458361,43.98491
上川郡和寒町,272-4,字朝日,142.458598,43.984938
上川郡和寒町,272-34,字朝日,142.457587,43.984635
上川郡和寒町,272-21,字朝日,142.458444,43.98455
上川郡和寒町,272-20,字朝日,142.45868,43.984578
上川郡和寒町,272-19,字朝日,142.458916,43.984606
上川郡和寒町,272-3,字朝日,142.458834,43.984966
上川郡和寒町,272-2,字朝日,142.459069,43.984993
上川郡和寒町,272-18,字朝日,142.459152,43.984635
上川郡和寒町,273-2,字朝日,142.458808,43.984086
上川郡和寒町,240-8,字朝日,142.458349,43.982564
上川郡和寒町,240-4,字朝日,142.459149,43.982071
上川郡和寒町,240-3,字朝日,142.460861,43.982644
上川郡和寒町,240-6,字朝日,142.459025,43.981263
上川郡和寒町,15-7,字塩狩,142.459028,43.981079
上川郡和寒町,15-8,字塩狩,142.458823,43.981108
上川郡和寒町,240-7,字朝日,142.458302,43.981065
上川郡和寒町,240-9,字朝日,142.457771,43.982162
上川郡和寒町,240-5,字朝日,142.457669,43.983064
上川郡和寒町,240-1,字朝日,142.456843,43.982341
上川郡和寒町,500-32,字塩狩,142.455895,43.981318
上川郡和寒町,500-31,字塩狩,142.455534,43.981286
上川郡和寒町,500-30,字塩狩,142.455028,43.981238
上川郡和寒町,500-3,字朝日,142.455677,43.982849
上川郡和寒町,500-2,字朝日,142.455174,43.982786
上川郡和寒町,240-10,字朝日,142.457607,43.982475
上川郡和寒町,276-3,字朝日,142.457451,43.983551
