小字名,市区町村名,地番,大字名,丁目名,center_lng,center_lat
,上川郡当麻町,4880,,,142.629657,43.798324
,上川郡当麻町,6400,,,142.627646,43.798752
,上川郡当麻町,4879,,,142.628355,43.7986
,上川郡当麻町,4878,,,142.626428,43.79881
,上川郡当麻町,6777,,,142.625602,43.795552
,上川郡当麻町,6398,,,142.624172,43.798956
,上川郡当麻町,4874,,,142.623749,43.799399
,上川郡当麻町,4875-1,,,142.621906,43.799673
,上川郡当麻町,6776,,,142.613322,43.79665
,上川郡当麻町,1724-95,,,142.598685,43.795532
,上川郡当麻町,1724-72,,,142.599204,43.795742
,上川郡当麻町,1724-96,,,142.599657,43.795568
,上川郡当麻町,長狭物不明-278,,,142.599821,43.795478
,上川郡当麻町,1724-83,,,142.600797,43.79572
,上川郡当麻町,1724-160,,,142.600381,43.795314
,上川郡当麻町,1724-37,,,142.601266,43.795987
,上川郡当麻町,水-121,,,142.601011,43.795887
,上川郡当麻町,1724-140,,,142.600472,43.796056
,上川郡当麻町,長狭物不明-132,,,142.600568,43.795919
,上川郡当麻町,1724-168,,,142.600122,43.795834
,上川郡当麻町,1724-97,,,142.59974,43.796016
,上川郡当麻町,1724-73,,,142.600686,43.796401
,上川郡当麻町,1724-33,,,142.59877,43.797814
,上川郡当麻町,水-118,,,142.59705,43.799654
,上川郡当麻町,1724-67,,,142.597053,43.798997
,上川郡当麻町,1724-92,,,142.597271,43.798716
,上川郡当麻町,1724-93,,,142.59785,43.798657
,上川郡当麻町,1724-70,,,142.598105,43.798383
,上川郡当麻町,1724-69,,,142.598043,43.797864
,上川郡当麻町,1724-34,,,142.597769,43.797151
,上川郡当麻町,1724-71,,,142.597329,43.797034
,上川郡当麻町,1724-36,,,142.599449,43.796742
,上川郡当麻町,1724-35,,,142.598273,43.796247
,上川郡当麻町,1724-68,,,142.596788,43.799254
,上川郡当麻町,1724-91,,,142.596232,43.799349
,上川郡当麻町,1724-66,,,142.59556,43.799419
,上川郡当麻町,1724-31,,,142.595789,43.798844
,上川郡当麻町,長狭物不明-129,,,142.595154,43.79944
,上川郡当麻町,1963-58,,,142.573728,43.779941
,上川郡当麻町,1963-56,,,142.571833,43.780579
,上川郡当麻町,道-76,,,142.572989,43.780763
,上川郡当麻町,1963-55,,,142.57262,43.781335
,上川郡当麻町,1963-51,,,142.57189,43.783541
,上川郡当麻町,1963-350,,,142.572092,43.781939
,上川郡当麻町,1963-119,,,142.571067,43.782194
,上川郡当麻町,1963-161,,,142.569844,43.782801
,上川郡当麻町,1963-54,,,142.57004,43.780998
,上川郡当麻町,1963-52,,,142.571046,43.780927
,上川郡当麻町,1963-115,,,142.570904,43.780349
,上川郡当麻町,1963-53,,,142.570716,43.780069
,上川郡当麻町,1963-190,,,142.570043,43.779008
,上川郡当麻町,1963-63,,,142.569482,43.779589
,上川郡当麻町,1963-191,,,142.569711,43.778622
,上川郡当麻町,水-185,,,142.570614,43.778784
,上川郡当麻町,1963-61,,,142.569963,43.777868
,上川郡当麻町,1963-193,,,142.570302,43.777723
,上川郡当麻町,1963-225,,,142.571299,43.77922
,上川郡当麻町,1963-62,,,142.570586,43.77977
,上川郡当麻町,1963-208,,,142.571119,43.779863
,上川郡当麻町,1963-194,,,142.572218,43.779804
