小字名,市区町村名,地番,大字名,丁目名,center_lng,center_lat
字下佐幌西四線,上川郡新得町,道-227,,,142.857845,43.046007
字下佐幌西四線,上川郡新得町,116-3,,,142.858919,43.047145
字下佐幌西四線,上川郡新得町,116-1,,,142.857908,43.047007
字下佐幌西四線,上川郡新得町,116-2,,,142.856043,43.046658
字上佐幌,上川郡新得町,779-1,,,142.856437,43.048264
字下佐幌西四線,上川郡新得町,134,,,142.857792,43.048551
字上佐幌,上川郡新得町,779-4,,,142.857702,43.048589
字下佐幌西四線,上川郡新得町,133,,,142.859326,43.046686
字下佐幌西四線,上川郡新得町,120-1,,,142.855813,43.049744
字下佐幌西四線,上川郡新得町,121-1,,,142.855964,43.051944
字下佐幌西四線,上川郡新得町,121-3,,,142.857292,43.052706
字下佐幌西四線,上川郡新得町,121-4,,,142.858471,43.052201
字下佐幌西四線,上川郡新得町,135,,,142.858568,43.052215
字下佐幌西三線,上川郡新得町,122-2,,,142.858034,43.0535
字下佐幌西四線,上川郡新得町,長狭物不明-74,,,142.856513,43.054156
字下佐幌西四線,上川郡新得町,123-1,,,142.856833,43.053766
字下佐幌西三線,上川郡新得町,長狭物不明-428,,,142.856945,43.054829
字下佐幌西三線,上川郡新得町,124-2,,,142.856545,43.054872
字下佐幌西三線,上川郡新得町,126-3,,,142.856292,43.0551
字下佐幌西三線,上川郡新得町,126-4,,,142.856379,43.055296
字下佐幌西三線,上川郡新得町,124-6,,,142.856821,43.055163
字下佐幌西三線,上川郡新得町,124-1,,,142.857602,43.054408
字下佐幌西三線,上川郡新得町,124-4,,,142.857383,43.055235
字下佐幌西三線,上川郡新得町,122-3,,,142.859251,43.053483
字下佐幌西三線,上川郡新得町,122-7,,,142.859883,43.052868
字下佐幌西三線,上川郡新得町,133,,,142.86011,43.052923
字下佐幌西三線,上川郡新得町,122-4,,,142.86001,43.053885
字下佐幌西三線,上川郡新得町,122-5,,,142.860205,43.053964
字下佐幌西三線,上川郡新得町,122-1,,,142.860589,43.054144
字下佐幌西三線,上川郡新得町,122-6,,,142.861174,43.053456
字下佐幌西三線,上川郡新得町,122-9,,,142.860784,43.053278
字下佐幌西三線,上川郡新得町,122-8,,,142.860592,43.053192
字下佐幌西三線,上川郡新得町,長狭物不明-1,,,142.861507,43.053575
字下佐幌西三線,上川郡新得町,134,,,142.861472,43.053603
字下佐幌西三線,上川郡新得町,124-3,,,142.858951,43.055938
字下佐幌西三線,上川郡新得町,126-1,,,142.858157,43.056553
字下佐幌西三線,上川郡新得町,長狭物不明-72,,,142.857768,43.057115
字下佐幌西三線,上川郡新得町,126-2,,,142.856615,43.056328
字下佐幌西三線,上川郡新得町,道-222,,,142.85649,43.057129
字下佐幌西三線,上川郡新得町,128-3,,,142.857317,43.057827
字下佐幌西三線,上川郡新得町,128-1,,,142.856304,43.057584
字下佐幌西三線,上川郡新得町,道-1312,,,142.858003,43.057721
字上佐幌西一線,上川郡新得町,2-3,,,142.867214,43.064561
字上佐幌西一線,上川郡新得町,長狭物不明-25,,,142.867006,43.064024
字上佐幌西一線,上川郡新得町,2-2,,,142.867897,43.0649
字上佐幌西一線,上川郡新得町,4-7,,,142.866743,43.066087
字上佐幌西一線,上川郡新得町,4-8,,,142.867301,43.066208
字上佐幌西一線,上川郡新得町,2-5,,,142.867573,43.065684
字上佐幌西一線,上川郡新得町,1-8,,,142.868192,43.065729
字上佐幌西一線,上川郡新得町,3-3,,,142.867717,43.066856
字上佐幌西一線,上川郡新得町,4-3,,,142.867595,43.066741
字上佐幌西一線,上川郡新得町,4-6,,,142.866773,43.067423
字上佐幌西一線,上川郡新得町,4-4,,,142.866977,43.066981
字上佐幌西一線,上川郡新得町,4-2,,,142.866166,43.067113
字上佐幌西一線,上川郡新得町,4-5,,,142.86582,43.067038
字上佐幌西一線,上川郡新得町,4-1,,,142.865161,43.066174
字上佐幌西一線,上川郡新得町,2-1,,,142.86583,43.065056
字上佐幌西一線,上川郡新得町,6-3,,,142.863913,43.067655
字上佐幌西二線,上川郡新得町,5-2,,,142.863406,43.066956
字上佐幌西二線,上川郡新得町,5-3,,,142.862588,43.067269
