市区町村名,地番,大字名,丁目名,center_lng,center_lat
上川郡鷹栖町,443-9,,,142.344107,43.821671
上川郡鷹栖町,854-161,北野東一条,１丁目,142.344425,43.821091
上川郡鷹栖町,4390-3,,,142.344159,43.82122
上川郡鷹栖町,4390-5,,,142.344051,43.821487
上川郡鷹栖町,4390-4,,,142.343924,43.821604
上川郡鷹栖町,4390-6,,,142.344069,43.821398
上川郡鷹栖町,4390-1,,,142.343485,43.821288
上川郡鷹栖町,444-3,,,142.343184,43.821361
上川郡鷹栖町,854-2,北野東一条,１丁目,142.343302,43.820859
上川郡鷹栖町,2026-650,,,142.343247,43.820792
上川郡鷹栖町,2026-649,,,142.343176,43.820015
上川郡鷹栖町,10182,,,142.334561,43.814497
上川郡鷹栖町,1064-39,,,142.335967,43.81548
上川郡鷹栖町,1064-27,,,142.336074,43.815334
上川郡鷹栖町,43-7,,,142.335271,43.81636
上川郡鷹栖町,43-75,,,142.335337,43.816309
上川郡鷹栖町,1338-13,,,142.335475,43.816214
上川郡鷹栖町,1338-3,,,142.335666,43.816173
上川郡鷹栖町,10184,,,142.335359,43.815987
上川郡鷹栖町,10185,,,142.335954,43.815594
上川郡鷹栖町,1338-2,,,142.336235,43.81614
上川郡鷹栖町,1338-8,,,142.336725,43.816229
上川郡鷹栖町,1338-22,,,142.337578,43.816669
上川郡鷹栖町,1338-18,,,142.337575,43.816291
上川郡鷹栖町,853-135,北野西一条,１丁目,142.339118,43.817176
上川郡鷹栖町,853-98,北野西一条,１丁目,142.338708,43.816975
上川郡鷹栖町,853-138,北野西一条,１丁目,142.338076,43.816433
上川郡鷹栖町,853-140,北野西一条,１丁目,142.338113,43.817002
上川郡鷹栖町,853-30,北野西一条,１丁目,142.338151,43.816977
上川郡鷹栖町,853-31,北野西一条,１丁目,142.338144,43.816701
上川郡鷹栖町,853-51,北野西一条,１丁目,142.338185,43.81711
上川郡鷹栖町,853-131,北野西一条,１丁目,142.337688,43.81688
上川郡鷹栖町,853-92,北野西一条,１丁目,142.338102,43.817298
上川郡鷹栖町,853-116,北野西一条,１丁目,142.338008,43.817427
上川郡鷹栖町,853-88,北野西一条,１丁目,142.338228,43.817487
上川郡鷹栖町,853-90,北野西一条,１丁目,142.338189,43.817375
上川郡鷹栖町,853-35,北野西一条,１丁目,142.338356,43.817578
上川郡鷹栖町,853-17,北野西一条,１丁目,142.338655,43.817558
上川郡鷹栖町,853-134,北野西一条,１丁目,142.338723,43.817478
上川郡鷹栖町,853-133,北野西一条,１丁目,142.338977,43.817681
上川郡鷹栖町,853-141,北野西一条,１丁目,142.338798,43.817981
上川郡鷹栖町,853-132,北野西一条,１丁目,142.339064,43.81787
上川郡鷹栖町,853-1,北野西一条,１丁目,142.338649,43.817751
上川郡鷹栖町,853-119,北野西一条,１丁目,142.338613,43.818301
上川郡鷹栖町,854-142,北野東一条,１丁目,142.338871,43.81835
上川郡鷹栖町,853-118,北野西一条,１丁目,142.338961,43.818047
上川郡鷹栖町,854-9,北野東一条,１丁目,142.339081,43.818177
上川郡鷹栖町,854-144,北野東一条,１丁目,142.338879,43.818345
上川郡鷹栖町,854-96,北野東一条,１丁目,142.338883,43.818427
上川郡鷹栖町,854-95,北野東一条,１丁目,142.338775,43.818522
上川郡鷹栖町,854-94,北野東一条,１丁目,142.338872,43.818596
上川郡鷹栖町,854-137,北野東一条,１丁目,142.338792,43.818654
上川郡鷹栖町,854-115,北野東一条,１丁目,142.338858,43.818702
上川郡鷹栖町,854-114,北野東一条,１丁目,142.338841,43.818689
上川郡鷹栖町,854-136,北野東一条,１丁目,142.338875,43.818713
上川郡鷹栖町,854-101,北野東一条,１丁目,142.338903,43.818693
上川郡鷹栖町,854-100,北野東一条,１丁目,142.3391,43.818526
上川郡鷹栖町,854-97,北野東一条,１丁目,142.338997,43.818501
