小字名,市区町村名,地番,center_lng,center_lat
字小谷石,上磯郡知内町,213,140.418974,41.528264
字小谷石,上磯郡知内町,212,140.419274,41.528459
字小谷石,上磯郡知内町,291-27,140.419006,41.528779
字小谷石,上磯郡知内町,291-28,140.419642,41.528965
字小谷石,上磯郡知内町,291-29,140.419272,41.529189
字小谷石,上磯郡知内町,291-30,140.419738,41.529409
字小谷石,上磯郡知内町,291-113,140.419751,41.52927
字小谷石,上磯郡知内町,211,140.419645,41.529764
字小谷石,上磯郡知内町,291-31,140.419439,41.529598
字小谷石,上磯郡知内町,291-32,140.419202,41.529726
字小谷石,上磯郡知内町,210,140.419586,41.529898
字小谷石,上磯郡知内町,209,140.419497,41.529979
字小谷石,上磯郡知内町,175-3,140.419495,41.530217
字小谷石,上磯郡知内町,180,140.41932,41.530202
字小谷石,上磯郡知内町,208-2,140.419409,41.530146
字小谷石,上磯郡知内町,208-1,140.419325,41.530078
字小谷石,上磯郡知内町,207,140.419151,41.53005
字小谷石,上磯郡知内町,181-1,140.419167,41.530207
字小谷石,上磯郡知内町,181-2,140.419202,41.530143
字小谷石,上磯郡知内町,180-2,140.419151,41.530292
字小谷石,上磯郡知内町,175,140.419282,41.530349
字小谷石,上磯郡知内町,175-2,140.419148,41.530327
字小谷石,上磯郡知内町,180-4,140.419268,41.530264
字小谷石,上磯郡知内町,180-5,140.419116,41.530301
字小谷石,上磯郡知内町,182-3,140.419083,41.53026
字小谷石,上磯郡知内町,182-1,140.419036,41.5303
字小谷石,上磯郡知内町,175-1,140.419104,41.530348
字小谷石,上磯郡知内町,182-2,140.418993,41.530343
字小谷石,上磯郡知内町,175-5,140.418997,41.530393
字小谷石,上磯郡知内町,176,140.41905,41.530446
字小谷石,上磯郡知内町,174-2,140.419163,41.530455
字小谷石,上磯郡知内町,174-1,140.419255,41.53042
字小谷石,上磯郡知内町,180-3,140.419368,41.530258
字小谷石,上磯郡知内町,無地番-19,140.41943,41.530298
字小谷石,上磯郡知内町,175-7,140.419547,41.530402
字小谷石,上磯郡知内町,175-4,140.419643,41.530091
字小谷石,上磯郡知内町,111-10,140.419402,41.53074
字小谷石,上磯郡知内町,111-9,140.419374,41.530802
字小谷石,上磯郡知内町,173,140.419262,41.530539
字小谷石,上磯郡知内町,172,140.419255,41.530629
字小谷石,上磯郡知内町,152-6,140.41906,41.530547
字小谷石,上磯郡知内町,152-1,140.419068,41.530649
字小谷石,上磯郡知内町,152-13,140.419058,41.530755
字小谷石,上磯郡知内町,171,140.419217,41.530729
字小谷石,上磯郡知内町,119-2,140.419255,41.530934
字小谷石,上磯郡知内町,170,140.419167,41.530852
字小谷石,上磯郡知内町,169-1,140.419029,41.530907
字小谷石,上磯郡知内町,169-2,140.419088,41.53096
字小谷石,上磯郡知内町,121,140.419019,41.531092
字小谷石,上磯郡知内町,120,140.419116,41.531041
字小谷石,上磯郡知内町,119-1,140.419224,41.530995
字小谷石,上磯郡知内町,118-1,140.419293,41.531031
字小谷石,上磯郡知内町,111-3,140.419399,41.531209
字小谷石,上磯郡知内町,111-8,140.419378,41.53087
字小谷石,上磯郡知内町,111-7,140.419509,41.530946
字小谷石,上磯郡知内町,111-2,140.419506,41.530828
