市区町村名,地番,大字名,center_lng,center_lat
中川郡豊頃町,67,大津幸町,143.651784,42.687214
中川郡豊頃町,66,大津幸町,143.651647,42.687113
中川郡豊頃町,65-1,大津幸町,143.651542,42.687022
中川郡豊頃町,道-5,大津幸町,143.651501,42.687185
中川郡豊頃町,65-2,大津幸町,143.651421,42.687039
中川郡豊頃町,63-2,大津幸町,143.651412,42.687029
中川郡豊頃町,60-2,大津幸町,143.651368,42.686989
中川郡豊頃町,61-2,大津幸町,143.651379,42.687
中川郡豊頃町,58-1,大津幸町,143.651391,42.686906
中川郡豊頃町,60-1,大津幸町,143.65143,42.686938
中川郡豊頃町,63-1,大津幸町,143.651474,42.686978
中川郡豊頃町,61-1,大津幸町,143.651452,42.686959
中川郡豊頃町,56-1,大津幸町,143.651306,42.686859
中川郡豊頃町,54-2,大津幸町,143.651213,42.686857
中川郡豊頃町,54-1,大津幸町,143.651215,42.686792
中川郡豊頃町,57,大津幸町,143.651049,42.686937
中川郡豊頃町,59,大津幸町,143.651133,42.687012
中川郡豊頃町,56-2,大津幸町,143.651295,42.686924
中川郡豊頃町,58-2,大津幸町,143.651311,42.686935
中川郡豊頃町,62,大津幸町,143.651218,42.687089
中川郡豊頃町,64,大津幸町,143.651309,42.687166
中川郡豊頃町,36,大津幸町,143.650845,42.687219
中川郡豊頃町,37,大津幸町,143.650787,42.687161
中川郡豊頃町,道-9,大津幸町,143.650526,42.686659
中川郡豊頃町,55,大津幸町,143.650956,42.686868
中川郡豊頃町,53,大津幸町,143.650829,42.686821
中川郡豊頃町,50,大津幸町,143.65092,42.686624
中川郡豊頃町,211,大津幸町,143.650753,42.686583
中川郡豊頃町,52,大津幸町,143.65105,42.686707
中川郡豊頃町,49,大津幸町,143.65058,42.686485
中川郡豊頃町,48,大津幸町,143.650374,42.686357
中川郡豊頃町,41,大津幸町,143.650211,42.686705
中川郡豊頃町,51,大津幸町,143.650744,42.686773
中川郡豊頃町,39,大津幸町,143.650512,42.686898
中川郡豊頃町,38,大津幸町,143.650671,42.68705
中川郡豊頃町,18,大津幸町,143.650383,42.687253
中川郡豊頃町,16,大津幸町,143.650276,42.687137
中川郡豊頃町,長狭物不明-6,大津幸町,143.650135,42.686942
中川郡豊頃町,40,大津幸町,143.650365,42.686725
中川郡豊頃町,15,大津幸町,143.650071,42.687104
