小字名,市区町村名,地番,大字名,丁目名,center_lng,center_lat
字大川,亀田郡七飯町,784,,,140.770859,41.893509
字大中山,亀田郡七飯町,長狭物不明-4,,,140.765815,41.892706
字大川,亀田郡七飯町,長狭物不明-3,,,140.76594,41.89285
字大川,亀田郡七飯町,無地番-4,,,140.766185,41.893417
字大川,亀田郡七飯町,780-1,,,140.771533,41.899855
字大中山,亀田郡七飯町,無地番-5,,,140.766218,41.893778
字大川,亀田郡七飯町,781,,,140.766394,41.884097
字大川,亀田郡七飯町,長狭物不明-16,,,140.764366,41.875755
字大川,亀田郡七飯町,780-3,,,140.762112,41.886014
字大川,亀田郡七飯町,筆界未定地-74,,,140.763076,41.881376
字大川,亀田郡七飯町,767-2,,,140.763234,41.879242
字大川,亀田郡七飯町,719-1,,,140.762337,41.878129
字大川,亀田郡七飯町,763-1,,,140.762118,41.876802
字大川,亀田郡七飯町,767-3,,,140.764456,41.880074
字大川,亀田郡七飯町,764-2,,,140.765093,41.876807
字大川,亀田郡七飯町,764-1,,,140.765455,41.877514
字大川,亀田郡七飯町,765,,,140.766706,41.878172
字大川,亀田郡七飯町,766,,,140.76538,41.879514
字大川,亀田郡七飯町,782-2,,,140.767611,41.881207
字大川,亀田郡七飯町,763-4,,,140.762587,41.874944
字大川,亀田郡七飯町,763-3,,,140.763461,41.875936
字大川,亀田郡七飯町,763-2,,,140.764096,41.876557
字大川,亀田郡七飯町,762-2,,,140.761365,41.874675
字大川,亀田郡七飯町,761-1,,,140.759156,41.875544
字大川,亀田郡七飯町,761-2,,,140.76048,41.874318
字大川,亀田郡七飯町,762-1,,,140.76058,41.876004
字大川,亀田郡七飯町,724,,,140.757857,41.876824
字大川,亀田郡七飯町,725,,,140.757638,41.876766
字大川,亀田郡七飯町,760-2,,,140.757814,41.874625
字大川,亀田郡七飯町,760-3,,,140.758314,41.875111
字大川,亀田郡七飯町,760-1,,,140.758973,41.87424
字大川,亀田郡七飯町,759,,,140.756685,41.874417
字大川,亀田郡七飯町,758,,,140.754552,41.874221
字大川,亀田郡七飯町,726,,,140.757421,41.876707
字大川,亀田郡七飯町,727,,,140.757201,41.876643
字大川,亀田郡七飯町,728,,,140.756975,41.876574
字大川,亀田郡七飯町,729,,,140.756744,41.876504
字大川,亀田郡七飯町,731,,,140.756287,41.876337
字大川,亀田郡七飯町,730,,,140.756526,41.876403
字大川,亀田郡七飯町,732,,,140.756079,41.876192
字大川,亀田郡七飯町,735,,,140.755354,41.87567
字大川,亀田郡七飯町,733,,,140.755601,41.87668
字大川,亀田郡七飯町,737,,,140.75421,41.87604
