小字名,市区町村名,地番,大字名,center_lng,center_lat
字港町,利尻郡利尻富士町,246,鴛泊,141.228314,45.239131
字港町,利尻郡利尻富士町,299,鴛泊,141.228815,45.242093
字港町,利尻郡利尻富士町,234,鴛泊,141.228496,45.241538
字港町,利尻郡利尻富士町,236,鴛泊,141.228436,45.240795
字港町,利尻郡利尻富士町,242,鴛泊,141.228548,45.24002
字港町,利尻郡利尻富士町,241,鴛泊,141.22828,45.240186
字港町,利尻郡利尻富士町,240-1,鴛泊,141.228111,45.239939
字港町,利尻郡利尻富士町,194-12,鴛泊,141.227227,45.239887
字港町,利尻郡利尻富士町,272-5,鴛泊,141.227442,45.239837
字港町,利尻郡利尻富士町,212-3,鴛泊,141.227313,45.240208
字港町,利尻郡利尻富士町,194-48,鴛泊,141.227693,45.239415
字港町,利尻郡利尻富士町,212-1,鴛泊,141.227603,45.240424
字港町,利尻郡利尻富士町,237-1,鴛泊,141.227159,45.240642
字港町,利尻郡利尻富士町,235,鴛泊,141.228139,45.241483
字港町,利尻郡利尻富士町,200-1,鴛泊,141.227317,45.241273
字港町,利尻郡利尻富士町,199-1,鴛泊,141.227484,45.240739
字港町,利尻郡利尻富士町,194-39,鴛泊,141.226828,45.240691
字港町,利尻郡利尻富士町,194-8,鴛泊,141.226648,45.240794
字港町,利尻郡利尻富士町,194-27,鴛泊,141.226515,45.240815
字港町,利尻郡利尻富士町,194-7,鴛泊,141.226525,45.240982
字港町,利尻郡利尻富士町,194-6,鴛泊,141.226487,45.241107
字港町,利尻郡利尻富士町,200-2,鴛泊,141.22699,45.24081
字港町,利尻郡利尻富士町,249-3,鴛泊,141.226697,45.241626
字港町,利尻郡利尻富士町,194-5,鴛泊,141.226428,45.241242
字港町,利尻郡利尻富士町,194-28,鴛泊,141.226329,45.241207
字港町,利尻郡利尻富士町,44-2,鴛泊,141.226205,45.241306
字港町,利尻郡利尻富士町,194-21,鴛泊,141.226292,45.241302
字港町,利尻郡利尻富士町,194-4,鴛泊,141.226394,45.241343
字港町,利尻郡利尻富士町,194-16,鴛泊,141.226331,45.241402
字港町,利尻郡利尻富士町,194-47,鴛泊,141.226519,45.241647
字港町,利尻郡利尻富士町,194-3,鴛泊,141.226299,45.241503
字港町,利尻郡利尻富士町,194-32,鴛泊,141.22627,45.241357
字港町,利尻郡利尻富士町,45-2,鴛泊,141.226172,45.241399
字港町,利尻郡利尻富士町,46-2,鴛泊,141.226121,45.241541
字港町,利尻郡利尻富士町,46-1,鴛泊,141.226037,45.24148
字港町,利尻郡利尻富士町,45-1,鴛泊,141.226086,45.241344
字港町,利尻郡利尻富士町,44-1,鴛泊,141.22613,45.241232
字港町,利尻郡利尻富士町,286,鴛泊,141.226055,45.241147
字港町,利尻郡利尻富士町,194-29,鴛泊,141.226361,45.241137
字港町,利尻郡利尻富士町,43-2,鴛泊,141.226367,45.24093
字港町,利尻郡利尻富士町,194-24,鴛泊,141.226427,45.241011
字港町,利尻郡利尻富士町,194-33,鴛泊,141.226434,45.240978
字港町,利尻郡利尻富士町,43-1,鴛泊,141.226201,45.241083
字港町,利尻郡利尻富士町,283,鴛泊,141.226244,45.24088
字港町,利尻郡利尻富士町,42-3,鴛泊,141.226394,45.240877
字港町,利尻郡利尻富士町,42-1,鴛泊,141.22634,45.240862
字港町,利尻郡利尻富士町,42-2,鴛泊,141.226353,45.240809
字港町,利尻郡利尻富士町,42-4,鴛泊,141.226419,45.240827
字港町,利尻郡利尻富士町,41-4,鴛泊,141.226444,45.240776
字港町,利尻郡利尻富士町,41-2,鴛泊,141.22639,45.240762
字港町,利尻郡利尻富士町,290-1,鴛泊,141.226457,45.240493
字港町,利尻郡利尻富士町,284,鴛泊,141.226403,45.240616
字港町,利尻郡利尻富士町,41-1,鴛泊,141.226442,45.240666
字港町,利尻郡利尻富士町,41-3,鴛泊,141.226507,45.240653
字港町,利尻郡利尻富士町,40-1,鴛泊,141.22651,45.240543
字港町,利尻郡利尻富士町,40-2,鴛泊,141.226536,45.240596
字港町,利尻郡利尻富士町,194-9,鴛泊,141.226685,45.240584
字港町,利尻郡利尻富士町,194-35,鴛泊,141.226624,45.240623
字港町,利尻郡利尻富士町,194-42,鴛泊,141.226852,45.240655
字港町,利尻郡利尻富士町,272-6,鴛泊,141.22693,45.240673
字港町,利尻郡利尻富士町,199-2,鴛泊,141.226997,45.240687
字港町,利尻郡利尻富士町,237-2,鴛泊,141.227011,45.240607
字港町,利尻郡利尻富士町,194-46,鴛泊,141.226796,45.240524
字港町,利尻郡利尻富士町,194-15,鴛泊,141.22685,45.240455
字港町,利尻郡利尻富士町,194-10,鴛泊,141.226914,45.240351
字港町,利尻郡利尻富士町,194-26,鴛泊,141.226794,45.240296
字港町,利尻郡利尻富士町,194-31,鴛泊,141.226738,45.240394
字港町,利尻郡利尻富士町,194-23,鴛泊,141.22669,45.240478
字港町,利尻郡利尻富士町,39-2,鴛泊,141.226613,45.240452
字港町,利尻郡利尻富士町,290-2,鴛泊,141.22648,45.24046
字港町,利尻郡利尻富士町,291,鴛泊,141.226529,45.240388
字港町,利尻郡利尻富士町,39-1,鴛泊,141.226636,45.240317
字港町,利尻郡利尻富士町,251,鴛泊,141.226646,45.240233
字港町,利尻郡利尻富士町,194-34,鴛泊,141.226845,45.240225
字港町,利尻郡利尻富士町,194-13,鴛泊,141.22692,45.240226
字港町,利尻郡利尻富士町,194-14,鴛泊,141.227022,45.240262
字港町,利尻郡利尻富士町,194-50,鴛泊,141.227127,45.240249
字港町,利尻郡利尻富士町,194-45,鴛泊,141.227023,45.240182
字港町,利尻郡利尻富士町,194-22,鴛泊,141.226894,45.240155
字港町,利尻郡利尻富士町,289,鴛泊,141.227176,45.239707
字港町,利尻郡利尻富士町,194-11,鴛泊,141.2271,45.240069
字港町,利尻郡利尻富士町,194-20,鴛泊,141.226933,45.240105
字港町,利尻郡利尻富士町,38-1,鴛泊,141.2269,45.239958
字港町,利尻郡利尻富士町,252,鴛泊,141.22679,45.24003
字港町,利尻郡利尻富士町,292-2,鴛泊,141.226726,45.240071
字港町,利尻郡利尻富士町,292-1,鴛泊,141.226908,45.239826
字港町,利尻郡利尻富士町,38-2,鴛泊,141.227062,45.239793
字港町,利尻郡利尻富士町,194-30,鴛泊,141.22719,45.23976
字港町,利尻郡利尻富士町,37,鴛泊,141.227134,45.239652
字港町,利尻郡利尻富士町,36-2,鴛泊,141.227252,45.239506
字港町,利尻郡利尻富士町,36-4,鴛泊,141.227302,45.239526
字港町,利尻郡利尻富士町,194-44,鴛泊,141.227372,45.239704
字港町,利尻郡利尻富士町,212-2,鴛泊,141.227859,45.239857
字港町,利尻郡利尻富士町,243,鴛泊,141.228351,45.239605
字港町,利尻郡利尻富士町,240-2,鴛泊,141.227777,45.239572
字港町,利尻郡利尻富士町,272-4,鴛泊,141.22778,45.23948
字港町,利尻郡利尻富士町,272-2,鴛泊,141.227873,45.239519
字港町,利尻郡利尻富士町,272-3,鴛泊,141.227848,45.239421
字港町,利尻郡利尻富士町,194-43,鴛泊,141.227766,45.239319
字港町,利尻郡利尻富士町,272-1,鴛泊,141.228026,45.23944
字港町,利尻郡利尻富士町,244,鴛泊,141.228334,45.239352
字港町,利尻郡利尻富士町,245-1,鴛泊,141.228054,45.239103
字港町,利尻郡利尻富士町,245-2,鴛泊,141.227953,45.239092
字港町,利尻郡利尻富士町,273-1,鴛泊,141.228036,45.239173
字港町,利尻郡利尻富士町,194-1,鴛泊,141.227977,45.239243
