小字名,市区町村名,地番,center_lng,center_lat
字ポンソーウシユナイ,勇払郡占冠村,1470-3,142.49849,42.933647
字ポンソーウシユナイ,勇払郡占冠村,1470-1,142.499671,42.932896
字ポンソーウシユナイ,勇払郡占冠村,1470-2,142.499107,42.932285
字ポンソーウシユナイ,勇払郡占冠村,1472-1,142.49863,42.93117
字ポンソーウシユナイ,勇払郡占冠村,1472-2,142.499783,42.93041
字ポンソーウシユナイ,勇払郡占冠村,道-80,142.498173,42.934446
字ポンソーウシユナイ,勇払郡占冠村,道-82,142.496833,42.933252
字ポンソーウシユナイ,勇払郡占冠村,1473,142.497714,42.934377
字ポンソーウシユナイ,勇払郡占冠村,道-81,142.496912,42.935067
字ポンソーウシユナイ,勇払郡占冠村,水-32,142.486607,42.942437
字ポンソーウシユナイ,勇払郡占冠村,道-149,142.494674,42.936427
字ポンソーウシユナイ,勇払郡占冠村,1469,142.494973,42.936524
字ポンソーウシユナイ,勇払郡占冠村,1471,142.494541,42.935766
字ポンソーウシユナイ,勇払郡占冠村,1468-1,142.496523,42.935893
字ポンソーウシユナイ,勇払郡占冠村,1468-5,142.497967,42.93456
字ポンソーウシユナイ,勇払郡占冠村,1468-6,142.495677,42.93662
字ポンソーウシユナイ,勇払郡占冠村,1468-4,142.495591,42.936909
字ポンソーウシユナイ,勇払郡占冠村,1468-3,142.493656,42.937452
字ポンソーウシユナイ,勇払郡占冠村,長狭物不明-23,142.492651,42.937368
字ポンソーウシユナイ,勇払郡占冠村,1462,142.491816,42.938532
字ポンソーウシユナイ,勇払郡占冠村,1463-3,142.492857,42.938576
字ポンソーウシユナイ,勇払郡占冠村,1463-2,142.492637,42.938496
字ポンソーウシユナイ,勇払郡占冠村,1463-1,142.493476,42.938469
字ポンソーウシユナイ,勇払郡占冠村,道-150,142.493641,42.938239
字ポンソーウシユナイ,勇払郡占冠村,1468-2,142.494305,42.937896
字双珠別,勇払郡占冠村,3018,142.552752,42.962009
字双珠別,勇払郡占冠村,2371-1,142.492432,42.967569
字双珠別,勇払郡占冠村,3023,142.497796,42.965274
字双珠別,勇払郡占冠村,2371-4,142.491405,42.967549
字双珠別,勇払郡占冠村,2370-8,142.492104,42.968033
字双珠別,勇払郡占冠村,2371-6,142.492857,42.968044
字トマム,勇払郡占冠村,969-1,142.663964,43.011103
字トマム,勇払郡占冠村,道-4,142.664192,43.011026
字トマム,勇払郡占冠村,969-2,142.66442,43.010995
字上トマム,勇払郡占冠村,道-118,142.664156,43.011696
字上トマム,勇払郡占冠村,2662,142.664314,43.012983
字上トマム,勇払郡占冠村,水-36,142.664397,43.018332
字トマム原野,勇払郡占冠村,水-35,142.668729,43.016792
字トマム原野,勇払郡占冠村,1298-4,142.668478,43.017142
字トマム原野,勇払郡占冠村,道-137,142.667791,43.018131
字トマム,勇払郡占冠村,1198,142.669551,43.017938
字上トマム,勇払郡占冠村,2470-2,142.669223,43.020119
字トマム原野,勇払郡占冠村,1298-2,142.66619,43.018633
字トマム,勇払郡占冠村,972-1,142.665256,43.019692
字トマム,勇払郡占冠村,道-55,142.665683,43.020011
字トマム,勇払郡占冠村,975,142.666199,43.019768
字上トマム,勇払郡占冠村,2661,142.667248,43.01982
字トマム,勇払郡占冠村,1199,142.667881,43.020245
字上トマム,勇払郡占冠村,2470-3,142.668185,43.020461
