小字名,市区町村名,地番,center_lng,center_lat
字厚内,十勝郡浦幌町,481,143.825439,42.810693
字厚内,十勝郡浦幌町,226,143.821352,42.806386
字厚内,十勝郡浦幌町,18-9,143.822408,42.809345
字厚内,十勝郡浦幌町,1-9,143.818405,42.811003
字厚内,十勝郡浦幌町,18-1,143.818832,42.809113
字厚内,十勝郡浦幌町,215-20,143.819455,42.808071
字厚内,十勝郡浦幌町,196-15,143.819684,42.808015
字厚内,十勝郡浦幌町,223-2,143.819565,42.807731
字厚内,十勝郡浦幌町,223-1,143.819445,42.807686
字厚内,十勝郡浦幌町,196-8,143.819452,42.807969
字厚内,十勝郡浦幌町,227-2,143.820112,42.808078
字厚内,十勝郡浦幌町,223-3,143.81932,42.807746
字厚内,十勝郡浦幌町,221-3,143.819281,42.807735
字厚内,十勝郡浦幌町,196-3,143.818884,42.807891
字厚内,十勝郡浦幌町,196-17,143.81927,42.807886
字厚内,十勝郡浦幌町,215-19,143.81919,42.808107
字厚内,十勝郡浦幌町,215-18,143.818911,42.808116
字厚内,十勝郡浦幌町,215-17,143.818657,42.808139
字厚内,十勝郡浦幌町,215-5,143.81933,42.807989
字厚内,十勝郡浦幌町,252-1,143.818708,42.807538
字厚内,十勝郡浦幌町,252-2,143.818625,42.807574
字厚内,十勝郡浦幌町,221-1,143.81861,42.807395
字厚内,十勝郡浦幌町,221-2,143.818962,42.807482
字厚内,十勝郡浦幌町,225,143.819949,42.807372
字厚内,十勝郡浦幌町,483,143.820126,42.806965
字厚内,十勝郡浦幌町,258,143.816234,42.805567
字厚内,十勝郡浦幌町,20-12,143.816118,42.805849
字厚内,十勝郡浦幌町,20-10,143.816245,42.805806
字厚内,十勝郡浦幌町,257,143.816415,42.805688
字厚内,十勝郡浦幌町,256,143.817047,42.80607
字厚内,十勝郡浦幌町,20-1,143.816977,42.806158
字厚内,十勝郡浦幌町,253,143.816913,42.806313
字厚内,十勝郡浦幌町,219-3,143.816999,42.806455
字厚内,十勝郡浦幌町,20-2,143.816578,42.805984
字厚内,十勝郡浦幌町,219-4,143.816528,42.806254
字厚内,十勝郡浦幌町,20-11,143.816333,42.805817
字厚内,十勝郡浦幌町,219-1,143.816716,42.806528
字厚内大通,十勝郡浦幌町,26,143.816402,42.807077
字厚内大通,十勝郡浦幌町,49-6,143.817301,42.807141
字厚内二条通二丁目,十勝郡浦幌町,6,143.816422,42.807397
字厚内二条通二丁目,十勝郡浦幌町,8,143.816214,42.807316
字厚内大通,十勝郡浦幌町,28,143.816605,42.807128
字厚内大通,十勝郡浦幌町,30,143.816672,42.807213
字厚内,十勝郡浦幌町,189,143.817035,42.807555
字厚内大通,十勝郡浦幌町,52,143.816956,42.807356
字厚内大通,十勝郡浦幌町,32,143.816729,42.807302
字厚内大通,十勝郡浦幌町,49-2,143.817112,42.807169
字厚内大通,十勝郡浦幌町,49-1,143.817792,42.807349
字厚内大通,十勝郡浦幌町,38-2,143.817249,42.807438
字厚内大通,十勝郡浦幌町,38-1,143.817773,42.80753
字厚内大通,十勝郡浦幌町,56-1,143.817831,42.8072
字厚内,十勝郡浦幌町,220-1,143.817981,42.807015
字厚内大通,十勝郡浦幌町,56-3,143.81816,42.807437
字厚内大通,十勝郡浦幌町,56-2,143.818016,42.807482
字厚内,十勝郡浦幌町,220-3,143.818395,42.807404
字厚内,十勝郡浦幌町,470,143.818387,42.807531
字厚内,十勝郡浦幌町,227-3,143.81853,42.807719
字厚内大通,十勝郡浦幌町,46-7,143.818347,42.807722
字厚内大通,十勝郡浦幌町,46-5,143.818274,42.807783
字厚内,十勝郡浦幌町,196-4,143.818473,42.80789
字厚内,十勝郡浦幌町,215-16,143.818405,42.808178
字厚内,十勝郡浦幌町,215-15,143.81816,42.808222
字厚内大通,十勝郡浦幌町,46-4,143.818001,42.807844
字厚内,十勝郡浦幌町,196-2,143.818171,42.807958
字厚内大通,十勝郡浦幌町,46-2,143.818171,42.80762
字厚内大通,十勝郡浦幌町,55,143.81811,42.807582
字厚内大通,十勝郡浦幌町,54,143.817993,42.807596
字厚内大通,十勝郡浦幌町,46-3,143.817613,42.807787
字厚内大通,十勝郡浦幌町,46-6,143.817694,42.807929
字厚内大通,十勝郡浦幌町,53-2,143.817771,42.807684
字厚内大通,十勝郡浦幌町,53-1,143.81772,42.807668
字厚内大通,十勝郡浦幌町,38-3,143.817397,42.80762
字厚内大通,十勝郡浦幌町,46-1,143.817534,42.807979
字厚内,十勝郡浦幌町,196-9,143.817655,42.808148
字厚内,十勝郡浦幌町,187,143.817421,42.808096
字厚内,十勝郡浦幌町,215-29,143.817902,42.808293
字厚内,十勝郡浦幌町,196-10,143.817882,42.808035
字厚内,十勝郡浦幌町,19-15,143.817401,42.809568
字厚内,十勝郡浦幌町,1-10,143.816978,42.810317
字厚内,十勝郡浦幌町,1-11,143.816894,42.81106
字厚内,十勝郡浦幌町,19-14,143.815889,42.810928
字厚内,十勝郡浦幌町,215-28,143.816956,42.808561
字厚内,十勝郡浦幌町,215-34,143.816296,42.808591
字厚内,十勝郡浦幌町,215-43,143.816203,42.809234
字厚内,十勝郡浦幌町,196-14,143.816815,42.808334
字厚内,十勝郡浦幌町,196-12,143.817268,42.808245
字厚内,十勝郡浦幌町,215-27,143.817003,42.808436
字厚内三条通二丁目,十勝郡浦幌町,2-1,143.817189,42.808096
字厚内,十勝郡浦幌町,464,143.817328,42.807801
字厚内,十勝郡浦幌町,195,143.817171,42.807744
字厚内二条通二丁目,十勝郡浦幌町,1-1,143.817013,42.807805
字厚内二条通二丁目,十勝郡浦幌町,5,143.816807,42.807834
字厚内二条通二丁目,十勝郡浦幌町,1-2,143.816878,42.807615
字厚内二条通二丁目,十勝郡浦幌町,3,143.816672,42.807645
字厚内二条通二丁目,十勝郡浦幌町,7,143.816525,42.807863
字厚内三条通二丁目,十勝郡浦幌町,2-5,143.816744,42.808227
字厚内三条通二丁目,十勝郡浦幌町,2-3,143.81654,42.808288
字厚内,十勝郡浦幌町,196-11,143.816601,42.808377
字厚内二条通二丁目,十勝郡浦幌町,21,143.816514,42.808144
字厚内,十勝郡浦幌町,196-1,143.816385,42.808421
字厚内三条通二丁目,十勝郡浦幌町,2-4,143.816378,42.808339
