市区町村名,地番,大字名,丁目名,center_lng,center_lat
増毛郡増毛町,1757,御料,,141.690768,43.746225
増毛郡増毛町,2199,御料,,141.688342,43.744737
増毛郡増毛町,1759,御料,,141.689069,43.7452
増毛郡増毛町,1758,御料,,141.688354,43.746623
増毛郡増毛町,1760-1,御料,,141.686087,43.745286
増毛郡増毛町,1760-5,御料,,141.688061,43.744996
増毛郡増毛町,1760-4,御料,,141.686107,43.744011
増毛郡増毛町,1760-2,御料,,141.687155,43.744122
増毛郡増毛町,1702,御料,,141.688859,43.751636
増毛郡増毛町,2141,御料,,141.690902,43.750807
増毛郡増毛町,道-1,御料,,141.691543,43.754949
増毛郡増毛町,1705,御料,,141.68836,43.75043
増毛郡増毛町,1704,御料,,141.690763,43.749516
増毛郡増毛町,2142,御料,,141.690053,43.750428
増毛郡増毛町,1756,御料,,141.687622,43.749189
増毛郡増毛町,1707,御料,,141.68953,43.748162
増毛郡増毛町,1703,御料,,141.692955,43.748976
増毛郡増毛町,1706,御料,,141.692794,43.747433
増毛郡増毛町,1700,御料,,141.693894,43.750174
増毛郡増毛町,1701,御料,,141.691684,43.75082
増毛郡増毛町,1699-1,御料,,141.691892,43.752029
増毛郡増毛町,1698-1,御料,,141.693259,43.751523
増毛郡増毛町,1696-1,御料,,141.692689,43.753591
増毛郡増毛町,2140,御料,,141.692514,43.753297
増毛郡増毛町,1697-1,御料,,141.689844,43.753212
増毛郡増毛町,1695-1,御料,,141.689887,43.755139
増毛郡増毛町,1695-7,御料,,141.6905,43.75544
増毛郡増毛町,1693-6,御料,,141.689458,43.755887
増毛郡増毛町,1693-5,御料,,141.689819,43.756256
増毛郡増毛町,1692-2,御料,,141.69078,43.756148
増毛郡増毛町,1692-3,御料,,141.690791,43.756484
増毛郡増毛町,1692-4,御料,,141.690912,43.756713
増毛郡増毛町,1692-5,御料,,141.691093,43.756914
増毛郡増毛町,1693-4,御料,,141.69007,43.756777
増毛郡増毛町,1692-1,御料,,141.69138,43.756868
増毛郡増毛町,1692-6,御料,,141.691279,43.757119
増毛郡増毛町,1692-14,御料,,141.691595,43.756815
増毛郡増毛町,1692-15,御料,,141.691887,43.756677
増毛郡増毛町,1692-16,御料,,141.691882,43.757125
増毛郡増毛町,1691-2,御料,,141.692527,43.757193
増毛郡増毛町,水-14,御料,,141.692417,43.756757
増毛郡増毛町,1692-13,御料,,141.691554,43.756525
増毛郡増毛町,1692-12,御料,,141.69127,43.75638
増毛郡増毛町,1695-8,御料,,141.691226,43.754991
増毛郡増毛町,1694-1,御料,,141.692535,43.754923
増毛郡増毛町,2139,御料,,141.693058,43.753973
増毛郡増毛町,1691-13,御料,,141.694693,43.758516
増毛郡増毛町,1691-9,御料,,141.694028,43.758331
増毛郡増毛町,1691-12,御料,,141.694395,43.758222
増毛郡増毛町,1691-1,御料,,141.693567,43.757938
増毛郡増毛町,1691-11,御料,,141.693913,43.757911
増毛郡増毛町,1691-10,御料,,141.693576,43.757738
増毛郡増毛町,1691-4,御料,,141.693057,43.75785
増毛郡増毛町,1691-3,御料,,141.693141,43.757602
増毛郡増毛町,2138,御料,,141.69225,43.757094
増毛郡増毛町,1692-18,御料,,141.692398,43.75761
増毛郡増毛町,1692-17,御料,,141.692087,43.757357
増毛郡増毛町,1692-7,御料,,141.691465,43.757325
増毛郡増毛町,1692-8,御料,,141.691651,43.75753
増毛郡増毛町,1692-9,御料,,141.69184,43.757733
増毛郡増毛町,1693-7,御料,,141.691409,43.757819
増毛郡増毛町,1692-10,御料,,141.692026,43.757939
増毛郡増毛町,1692-19,御料,,141.692485,43.757821
増毛郡増毛町,1692-11,御料,,141.692209,43.758146
増毛郡増毛町,1692-21,御料,,141.692457,43.75849
増毛郡増毛町,1692-22,御料,,141.69278,43.758525
増毛郡増毛町,1692-23,御料,,141.693059,43.758563
増毛郡増毛町,2137,御料,,141.693708,43.758725
増毛郡増毛町,1692-20,御料,,141.692596,43.757995
増毛郡増毛町,1691-5,御料,,141.693025,43.758076
増毛郡増毛町,1691-7,御料,,141.693406,43.758046
増毛郡増毛町,1691-8,御料,,141.693684,43.758188
増毛郡増毛町,1691-6,御料,,141.693329,43.758276
増毛郡増毛町,1692-24,御料,,141.693573,43.758861
増毛郡増毛町,1827-2,御料,,141.693577,43.759103
増毛郡増毛町,1692-26,御料,,141.692763,43.75885
増毛郡増毛町,1692-25,御料,,141.693289,43.7589
増毛郡増毛町,1692-27,御料,,141.692936,43.75871
増毛郡増毛町,水-15,御料,,141.691871,43.76001
増毛郡増毛町,1842-7,御料,,141.692839,43.759547
