小字名,市区町村名,地番,大字名,丁目名,center_lng,center_lat
字滝下,夕張郡栗山町,115-3,,,141.961987,42.915054
字滝下,夕張郡栗山町,117,,,141.961478,42.915101
字滝下,夕張郡栗山町,44-2,,,141.938709,42.908379
字滝下,夕張郡栗山町,44-5,,,141.94086,42.909834
字滝下,夕張郡栗山町,44-1,,,141.939641,42.909057
字滝下,夕張郡栗山町,44-4,,,141.938426,42.908999
字滝下,夕張郡栗山町,道-46,,,141.938736,42.909576
字滝下,夕張郡栗山町,118-2,,,141.953298,42.916945
字滝下,夕張郡栗山町,113-4,,,141.95395,42.917056
字滝下,夕張郡栗山町,113-5,,,141.953295,42.917483
字滝下,夕張郡栗山町,113-8,,,141.953206,42.917796
字滝下,夕張郡栗山町,113-7,,,141.953158,42.917712
字滝下,夕張郡栗山町,113-6,,,141.953577,42.918386
字滝下,夕張郡栗山町,113-11,,,141.953938,42.918156
字滝下,夕張郡栗山町,113-9,,,141.955208,42.918506
字滝下,夕張郡栗山町,113-2,,,141.953705,42.918032
字滝下,夕張郡栗山町,113-1,,,141.954975,42.917444
字滝下,夕張郡栗山町,113-3,,,141.954689,42.916891
字滝下,夕張郡栗山町,118-1,,,141.954273,42.91673
字滝下,夕張郡栗山町,145,,,141.956491,42.916858
字滝下,夕張郡栗山町,114-5,,,141.957994,42.918183
字滝下,夕張郡栗山町,114-2,,,141.958084,42.91724
字滝下,夕張郡栗山町,114-1,,,141.957264,42.917426
字滝下,夕張郡栗山町,146,,,141.957387,42.916708
字滝下,夕張郡栗山町,114-3,,,141.958937,42.916943
字滝下,夕張郡栗山町,147,,,141.958991,42.916248
字滝下,夕張郡栗山町,148,,,141.960223,42.915843
字滝下,夕張郡栗山町,長狭物不明-7185,,,141.959898,42.916507
字滝下,夕張郡栗山町,114-15,,,141.960268,42.917034
字滝下,夕張郡栗山町,114-12,,,141.960256,42.917204
字滝下,夕張郡栗山町,114-14,,,141.960186,42.917021
字滝下,夕張郡栗山町,114-13,,,141.960025,42.917093
字滝下,夕張郡栗山町,114-11,,,141.960257,42.917336
字滝下,夕張郡栗山町,114-8,,,141.960311,42.917597
字滝下,夕張郡栗山町,114-4,,,141.959456,42.917967
字滝下,夕張郡栗山町,115-7,,,141.960774,42.917467
字滝下,夕張郡栗山町,189-4,,,141.960551,42.917536
字滝下,夕張郡栗山町,189-2,,,141.960448,42.91784
字滝下,夕張郡栗山町,114-9,,,141.960393,42.91763
字滝下,夕張郡栗山町,189-3,,,141.960396,42.917558
字滝下,夕張郡栗山町,114-10,,,141.960374,42.917508
字滝下,夕張郡栗山町,189-5,,,141.960386,42.917485
字滝下,夕張郡栗山町,189-1,,,141.960444,42.917161
字滝下,夕張郡栗山町,189-6,,,141.960344,42.917012
字滝下,夕張郡栗山町,115-4,,,141.96031,42.915575
字滝下,夕張郡栗山町,115-2,,,141.960973,42.91599
字滝下,夕張郡栗山町,115-6,,,141.962793,42.916487
字滝下,夕張郡栗山町,115-1,,,141.962736,42.915461
字滝下,夕張郡栗山町,115-5,,,141.961197,42.917427
字滝下,夕張郡栗山町,84-1,,,141.916412,42.927273
字滝下,夕張郡栗山町,84-14,,,141.919168,42.926725
字滝下,夕張郡栗山町,83-1,,,141.917883,42.926076
字滝下,夕張郡栗山町,83-3,,,141.917474,42.925553
字滝下,夕張郡栗山町,83-2,,,141.917758,42.925378
字滝下,夕張郡栗山町,84-2,,,141.91699,42.925669
字滝下,夕張郡栗山町,84-10,,,141.917233,42.926493
字滝下,夕張郡栗山町,84-7,,,141.916731,42.925807
字滝下,夕張郡栗山町,84-8,,,141.916671,42.925732
字滝下,夕張郡栗山町,85-7,,,141.915581,42.925471
字滝下,夕張郡栗山町,84-13,,,141.916113,42.926063
字滝下,夕張郡栗山町,84-11,,,141.915446,42.92706
字滝下,夕張郡栗山町,84-12,,,141.915209,42.926605
字滝下,夕張郡栗山町,119,,,141.915089,42.92641
字滝下,夕張郡栗山町,85-4,,,141.915462,42.924592
字滝下,夕張郡栗山町,85-6,,,141.915518,42.924041
字滝下,夕張郡栗山町,79-4,,,141.91655,42.924191
字滝下,夕張郡栗山町,79-1,,,141.916627,42.924863
字滝下,夕張郡栗山町,85-3,,,141.91662,42.925552
字滝下,夕張郡栗山町,85-2,,,141.916759,42.925454
字滝下,夕張郡栗山町,79-5,,,141.91696,42.925125
字滝下,夕張郡栗山町,79-3,,,141.916859,42.924662
字滝下,夕張郡栗山町,79-2,,,141.917361,42.925147
字滝下,夕張郡栗山町,120,,,141.917489,42.925384
字滝下,夕張郡栗山町,84-6,,,141.917988,42.925367
字滝下,夕張郡栗山町,84-3,,,141.917985,42.925284
字滝下,夕張郡栗山町,78-1,,,141.917707,42.924469
字滝下,夕張郡栗山町,78-3,,,141.917207,42.924149
字滝下,夕張郡栗山町,78-2,,,141.917465,42.92376
字滝下,夕張郡栗山町,78-6,,,141.917005,42.92385
字滝下,夕張郡栗山町,78-5,,,141.917266,42.924252
字滝下,夕張郡栗山町,75-2,,,141.917573,42.92344
