市区町村名,地番,大字名,丁目名,center_lng,center_lat
天塩郡幌延町,635-2,字問寒別,,142.063322,44.917622
天塩郡幌延町,635-1,字問寒別,,142.061301,44.919579
天塩郡幌延町,968,字問寒別,,142.065136,44.917176
天塩郡幌延町,635-3,字問寒別,,142.06395,44.919694
天塩郡幌延町,633-4,字問寒別,,142.066825,44.923848
天塩郡幌延町,969-3,字問寒別,,142.065589,44.922112
天塩郡幌延町,633-1,字問寒別,,142.063789,44.9231
天塩郡幌延町,632-1,字問寒別,,142.058906,44.924087
天塩郡幌延町,1143-3,字問寒別,,142.061184,44.924766
天塩郡幌延町,632-6,字問寒別,,142.061422,44.924866
天塩郡幌延町,631-7,字問寒別,,142.062039,44.925154
天塩郡幌延町,632-4,字問寒別,,142.06144,44.924795
天塩郡幌延町,632-7,字問寒別,,142.06301,44.925268
天塩郡幌延町,631-1,字問寒別,,142.060026,44.925612
天塩郡幌延町,631-8,字問寒別,,142.063507,44.925432
天塩郡幌延町,633-5,字問寒別,,142.064673,44.925377
天塩郡幌延町,633-2,字問寒別,,142.064984,44.925426
天塩郡幌延町,632-5,字問寒別,,142.067198,44.925617
天塩郡幌延町,632-2,字問寒別,,142.066938,44.925543
天塩郡幌延町,632-8,字問寒別,,142.064304,44.925462
天塩郡幌延町,633-3,字問寒別,,142.065013,44.925177
天塩郡幌延町,969-2,字問寒別,,142.067519,44.925297
天塩郡幌延町,969-1,字問寒別,,142.067558,44.925061
天塩郡幌延町,971-1,字問寒別,,142.067396,44.925873
天塩郡幌延町,971-2,字問寒別,,142.067322,44.926231
天塩郡幌延町,958-1,字問寒別,,142.067106,44.927286
天塩郡幌延町,556-8,字問寒別,,142.0622,44.927034
天塩郡幌延町,924,字問寒別,,142.066934,44.928064
天塩郡幌延町,958-2,字問寒別,,142.067014,44.92772
天塩郡幌延町,1247,字問寒別,,142.069167,44.935188
天塩郡幌延町,1261,字問寒別,,142.068208,44.936892
