小字名,市区町村名,地番,center_lng,center_lat
字松江,奥尻郡奥尻町,21-13,139.473539,42.072067
字松江,奥尻郡奥尻町,21-14,139.473756,42.072039
字松江,奥尻郡奥尻町,21-15,139.47397,42.072012
字松江,奥尻郡奥尻町,21-16,139.474284,42.071968
字松江,奥尻郡奥尻町,21-18,139.474715,42.071905
字松江,奥尻郡奥尻町,21-17,139.474499,42.071937
字松江,奥尻郡奥尻町,21-28,139.474778,42.072141
字松江,奥尻郡奥尻町,21-27,139.474561,42.072173
字松江,奥尻郡奥尻町,21-26,139.474348,42.072204
字松江,奥尻郡奥尻町,21-25,139.474034,42.072248
字松江,奥尻郡奥尻町,21-24,139.473818,42.072275
字松江,奥尻郡奥尻町,21-23,139.473602,42.072303
字松江,奥尻郡奥尻町,21-22,139.473388,42.07233
字松江,奥尻郡奥尻町,21-21,139.473104,42.072372
字松江,奥尻郡奥尻町,21-29,139.473188,42.072234
字松江,奥尻郡奥尻町,21-11,139.473009,42.072139
字松江,奥尻郡奥尻町,21-10,139.472796,42.072173
字松江,奥尻郡奥尻町,21-9,139.472581,42.072208
字松江,奥尻郡奥尻町,21-20,139.472866,42.072383
字松江,奥尻郡奥尻町,21-19,139.472558,42.072432
字松江,奥尻郡奥尻町,21-1,139.474508,42.072532
字松江,奥尻郡奥尻町,21-6,139.471943,42.07231
字松江,奥尻郡奥尻町,21-7,139.47215,42.072276
字松江,奥尻郡奥尻町,21-8,139.472366,42.072242
字松江,奥尻郡奥尻町,21-31,139.472162,42.072147
字松江,奥尻郡奥尻町,21-5,139.471742,42.072333
字松江,奥尻郡奥尻町,21-4,139.471517,42.072345
字松江,奥尻郡奥尻町,21-32,139.471585,42.072241
字松江,奥尻郡奥尻町,21-30,139.472593,42.072108
字松江,奥尻郡奥尻町,21-12,139.473323,42.072094
字松江,奥尻郡奥尻町,21-3,139.471296,42.072353
字米岡,奥尻郡奥尻町,15-30,139.448447,42.066703
字米岡,奥尻郡奥尻町,15-29,139.448617,42.066613
字米岡,奥尻郡奥尻町,15-34,139.448769,42.066775
字米岡,奥尻郡奥尻町,15-31,139.447889,42.066522
字米岡,奥尻郡奥尻町,15-32,139.447792,42.066421
字米岡,奥尻郡奥尻町,15-33,139.447693,42.066321
字米岡,奥尻郡奥尻町,15-12,139.44804,42.066281
字米岡,奥尻郡奥尻町,15-24,139.448291,42.06654
字米岡,奥尻郡奥尻町,15-25,139.448196,42.066442
字米岡,奥尻郡奥尻町,15-23,139.448461,42.06645
字米岡,奥尻郡奥尻町,15-20,139.44863,42.066359
字米岡,奥尻郡奥尻町,15-35,139.449143,42.066198
字米岡,奥尻郡奥尻町,15-22,139.448365,42.06635
字米岡,奥尻郡奥尻町,15-11,139.44821,42.06619
字米岡,奥尻郡奥尻町,15-21,139.448534,42.06626
字米岡,奥尻郡奥尻町,15-36,139.448558,42.066125
字米岡,奥尻郡奥尻町,15-7,139.448547,42.066009
字米岡,奥尻郡奥尻町,15-8,139.448379,42.066099
字米岡,奥尻郡奥尻町,15-9,139.448283,42.066001
字米岡,奥尻郡奥尻町,15-10,139.448114,42.066092
字米岡,奥尻郡奥尻町,15-13,139.447945,42.066183
字米岡,奥尻郡奥尻町,15-38,139.448133,42.065959
字米岡,奥尻郡奥尻町,15-40,139.448148,42.065568
字青苗,奥尻郡奥尻町,350-2,139.448637,42.065748
字米岡,奥尻郡奥尻町,15-5,139.448595,42.065834
字米岡,奥尻郡奥尻町,15-6,139.448452,42.06591
字米岡,奥尻郡奥尻町,15-4,139.448716,42.065918
字米岡,奥尻郡奥尻町,15-14,139.449122,42.065966
字米岡,奥尻郡奥尻町,15-2,139.448948,42.065794
字青苗,奥尻郡奥尻町,350-4,139.449044,42.065742
字米岡,奥尻郡奥尻町,15-3,139.448845,42.065724
字米岡,奥尻郡奥尻町,15-37,139.448816,42.06582
字青苗,奥尻郡奥尻町,350-21,139.448736,42.065703
字青苗,奥尻郡奥尻町,350-3,139.448943,42.06564
字青苗,奥尻郡奥尻町,350-22,139.448959,42.065356
字青苗,奥尻郡奥尻町,350-20,139.448903,42.065547
字青苗,奥尻郡奥尻町,350-6,139.449085,42.065571
字青苗,奥尻郡奥尻町,350-5,139.44918,42.06567
字青苗,奥尻郡奥尻町,350-7,139.449281,42.065465
