市区町村名,地番,大字名,center_lng,center_lat
宗谷郡猿払村,3680-59,浅茅野台地,142.339379,45.173172
宗谷郡猿払村,3680-20,浅茅野台地,142.334923,45.174762
宗谷郡猿払村,3680-4,浅茅野台地,142.333744,45.170874
宗谷郡猿払村,3680-3,浅茅野台地,142.33488,45.169883
宗谷郡猿払村,長狭物不明-4,浅茅野台地,142.332579,45.167822
宗谷郡猿払村,3680-37,浅茅野台地,142.330196,45.16915
宗谷郡猿払村,3680-26,浅茅野台地,142.330297,45.168893
宗谷郡猿払村,3680-52,浅茅野台地,142.330843,45.168098
宗谷郡猿払村,3680-58,浅茅野台地,142.327416,45.168381
宗谷郡猿払村,3680-51,浅茅野台地,142.330873,45.16826
宗谷郡猿払村,3680-53,浅茅野台地,142.329404,45.169409
宗谷郡猿払村,3680-50,浅茅野台地,142.328546,45.170305
宗谷郡猿払村,3680-56,浅茅野台地,142.327282,45.171206
宗谷郡猿払村,3680-29,浅茅野台地,142.328477,45.170395
宗谷郡猿払村,3680-5,浅茅野台地,142.332524,45.171895
宗谷郡猿払村,3680-6,浅茅野台地,142.331351,45.172944
宗谷郡猿払村,3680-7,浅茅野台地,142.330163,45.173988
宗谷郡猿払村,3680-8,浅茅野台地,142.329248,45.175205
宗谷郡猿払村,長狭物不明-5,浅茅野台地,142.327452,45.171279
宗谷郡猿払村,3680-31,浅茅野台地,142.327586,45.17106
宗谷郡猿払村,3680-25,浅茅野台地,142.32671,45.172056
宗谷郡猿払村,3680-30,浅茅野台地,142.32575,45.172802
宗谷郡猿払村,3680-55,浅茅野台地,142.325646,45.172694
宗谷郡猿払村,3680-38,浅茅野台地,142.325856,45.174162
宗谷郡猿払村,3680-39,浅茅野台地,142.326367,45.174621
宗谷郡猿払村,3680-48,浅茅野台地,142.327857,45.175477
宗谷郡猿払村,3680-49,浅茅野台地,142.325085,45.173775
宗谷郡猿払村,3680-47,浅茅野台地,142.32781,45.175258
宗谷郡猿払村,3680-15,浅茅野台地,142.321469,45.17332
宗谷郡猿払村,3680-23,浅茅野台地,142.322757,45.17248
宗谷郡猿払村,3680-36,浅茅野台地,142.323634,45.171489
