小字名,市区町村名,地番,大字名,center_lng,center_lat
,富良野市,7638-3,,142.618354,43.230305
,富良野市,7638-2,,142.618429,43.230455
,富良野市,7638-1,,142.618748,43.231105
,富良野市,長狭物不明-11,,142.619917,43.237262
,富良野市,7711-4,,142.619995,43.238969
,富良野市,10004-1,,142.619299,43.238135
,富良野市,10004-2,,142.619603,43.237941
,富良野市,7713,,142.618846,43.238298
,富良野市,7712,,142.619589,43.239287
,富良野市,11110,,142.61875,43.239182
,富良野市,7711-1,,142.62005,43.239266
,富良野市,7714,,142.620609,43.239797
,富良野市,11487,,142.620755,43.23997
,富良野市,11488,,142.620794,43.240072
,富良野市,11747,,142.620719,43.24012
,富良野市,11489,,142.620844,43.240202
,富良野市,11501,,142.620846,43.240474
,富良野市,11750,,142.620765,43.240667
,富良野市,11506,,142.620739,43.240764
,富良野市,11505,,142.620897,43.240731
,富良野市,長狭物不明-16,,142.621154,43.240941
,富良野市,11751,,142.621164,43.241148
,富良野市,11508,,142.620908,43.240874
,富良野市,11509,,142.620734,43.240925
,富良野市,11511,,142.620966,43.241026
,富良野市,11513,,142.620718,43.241054
,富良野市,11514,,142.620742,43.241116
,富良野市,11842,,142.621887,43.2424
,富良野市,長狭物不明-15,,142.621165,43.242184
,富良野市,11528,,142.621005,43.242023
,富良野市,11527-2,,142.621109,43.241887
,富良野市,11527-1,,142.62102,43.241906
,富良野市,11526,,142.620921,43.241723
,富良野市,道-5,,142.620893,43.242148
,富良野市,11753,,142.621187,43.241732
,富良野市,11522,,142.621015,43.24155
,富良野市,11517,,142.621222,43.241515
,富良野市,11518,,142.621259,43.241695
,富良野市,11523-1,,142.621092,43.24173
,富良野市,11523-2,,142.621015,43.241738
,富良野市,11519,,142.621254,43.241846
,富良野市,11512,,142.621022,43.241177
,富良野市,長狭物不明-19,,142.621502,43.242303
,富良野市,11516,,142.621211,43.241341
,富良野市,11521,,142.621001,43.241417
,富良野市,11520,,142.620975,43.241352
,富良野市,11525,,142.620857,43.241543
,富良野市,11524,,142.620805,43.241416
,富良野市,11752,,142.620844,43.24132
,富良野市,11515,,142.620783,43.241222
,富良野市,無地番-9,,142.620359,43.241396
,富良野市,11536,,142.620363,43.241204
,富良野市,11538,,142.620208,43.241231
,富良野市,長狭物不明-9,,142.620142,43.241699
,富良野市,11539,,142.620427,43.241541
,富良野市,11756,,142.62049,43.241627
