小字名,市区町村名,地番,大字名,丁目名,center_lng,center_lat
字熊牛原野十八線西,川上郡弟子屈町,6-1,,,144.540697,43.389438
字熊牛原野,川上郡弟子屈町,128,,,144.540668,43.390204
字熊牛原野十九線西,川上郡弟子屈町,4-1,,,144.540118,43.393457
字熊牛原野十九線西,川上郡弟子屈町,4-9,,,144.539291,43.393206
字熊牛原野十九線西,川上郡弟子屈町,4-15,,,144.538536,43.393884
字熊牛原野十九線西,川上郡弟子屈町,道-30,,,144.538509,43.394368
字熊牛原野十九線西,川上郡弟子屈町,4-13,,,144.53872,43.394465
字熊牛原野,川上郡弟子屈町,129-2,,,144.539099,43.394564
字熊牛原野,川上郡弟子屈町,129-1,,,144.539694,43.393039
字熊牛原野,川上郡弟子屈町,129-3,,,144.539033,43.394784
字熊牛原野十九線西,川上郡弟子屈町,4-14,,,144.538991,43.39473
字熊牛原野,川上郡弟子屈町,129-4,,,144.53911,43.395033
字熊牛原野十九線西,川上郡弟子屈町,4-2,,,144.538704,43.394899
字熊牛原野十九線西,川上郡弟子屈町,4-17,,,144.538944,43.394729
字熊牛原野二十線西,川上郡弟子屈町,1-42,,,144.538103,43.395122
字熊牛原野二十線西,川上郡弟子屈町,16-1,,,144.538159,43.395026
字熊牛原野二十線西,川上郡弟子屈町,1-46,,,144.538646,43.395327
字熊牛原野二十線西,川上郡弟子屈町,1-45,,,144.538452,43.39529
字熊牛原野二十線西,川上郡弟子屈町,1-44,,,144.538291,43.395223
字熊牛原野二十線西,川上郡弟子屈町,1-43,,,144.538156,43.395188
字熊牛原野二十線西,川上郡弟子屈町,1-41,,,144.538259,43.395531
字熊牛原野二十線西,川上郡弟子屈町,1-14,,,144.538078,43.395449
字熊牛原野二十線西,川上郡弟子屈町,1-40,,,144.538182,43.395677
字熊牛原野二十線西,川上郡弟子屈町,1-47,,,144.53863,43.395493
字熊牛原野二十線西,川上郡弟子屈町,1-48,,,144.538543,43.395634
字熊牛原野十九線西,川上郡弟子屈町,4-7,,,144.539052,43.395367
字熊牛原野十九線西,川上郡弟子屈町,道-31,,,144.53928,43.394963
字熊牛原野,川上郡弟子屈町,131-2,,,144.53807,43.397844
字熊牛原野,川上郡弟子屈町,130,,,144.538331,43.397073
字熊牛原野二十線西,川上郡弟子屈町,1-59,,,144.538055,43.397069
字熊牛原野二十線西,川上郡弟子屈町,1-58,,,144.538135,43.396945
字熊牛原野二十線西,川上郡弟子屈町,1-57,,,144.538182,43.396814
字熊牛原野二十線西,川上郡弟子屈町,1-56,,,144.538229,43.396684
字熊牛原野二十線西,川上郡弟子屈町,1-54,,,144.538257,43.396409
字熊牛原野二十線西,川上郡弟子屈町,1-53,,,144.538314,43.396301
字熊牛原野二十線西,川上郡弟子屈町,1-55,,,144.538182,43.396534
字熊牛原野二十線西,川上郡弟子屈町,1-70,,,144.538338,43.396608
字熊牛原野二十線西,川上郡弟子屈町,1-49,,,144.538489,43.395781
