小字名,市区町村名,地番,大字名,center_lng,center_lat
字開盛,常呂郡訓子府町,357-3,,143.714164,43.663344
字常盤,常呂郡訓子府町,水-5,,143.71255,43.664348
字開盛,常呂郡訓子府町,357-2,,143.712326,43.663377
字常盤,常呂郡訓子府町,道-7,,143.714371,43.665076
字常盤,常呂郡訓子府町,水-6,,143.714624,43.664999
字開盛,常呂郡訓子府町,357-4,,143.715168,43.663514
字開盛,常呂郡訓子府町,357-5,,143.716515,43.663878
字開盛,常呂郡訓子府町,249-5,,143.716969,43.665588
字開盛,常呂郡訓子府町,249-2,,143.718118,43.665039
字開盛,常呂郡訓子府町,249-4,,143.717826,43.665995
字開盛,常呂郡訓子府町,249-3,,143.718736,43.66584
字開盛,常呂郡訓子府町,249-1,,143.717088,43.664565
字緑丘,常呂郡訓子府町,192-3,,143.75442,43.680325
字緑丘,常呂郡訓子府町,192-5,,143.756429,43.681385
字緑丘,常呂郡訓子府町,192-7,,143.754903,43.682412
字緑丘,常呂郡訓子府町,209-1,,143.755956,43.683512
字緑丘,常呂郡訓子府町,209-5,,143.756747,43.684882
字緑丘,常呂郡訓子府町,209-7,,143.753878,43.685407
字緑丘,常呂郡訓子府町,209-4,,143.753421,43.685161
字緑丘,常呂郡訓子府町,192-6,,143.752786,43.68535
字緑丘,常呂郡訓子府町,192-9,,143.752604,43.685163
字緑丘,常呂郡訓子府町,192-4,,143.75387,43.682476
字緑丘,常呂郡訓子府町,192-8,,143.753959,43.682921
字緑丘,常呂郡訓子府町,192-1,,143.75239,43.681226
字緑丘,常呂郡訓子府町,227-1,,143.749282,43.680696
字緑丘,常呂郡訓子府町,225-1,,143.750124,43.683207
字緑丘,常呂郡訓子府町,223-1,,143.749958,43.685197
字緑丘,常呂郡訓子府町,223-2,,143.749247,43.684797
字緑丘,常呂郡訓子府町,223-3,,143.748632,43.684858
字緑丘,常呂郡訓子府町,225-3,,143.748519,43.685315
字緑丘,常呂郡訓子府町,225-2,,143.748548,43.683978
字緑丘,常呂郡訓子府町,225-6,,143.74775,43.683264
字緑丘,常呂郡訓子府町,225-7,,143.748,43.684264
字緑丘,常呂郡訓子府町,225-5,,143.747955,43.685193
字緑丘,常呂郡訓子府町,225-4,,143.748156,43.685085
字緑丘,常呂郡訓子府町,354-3,,143.746788,43.684613
字緑丘,常呂郡訓子府町,354-6,,143.747188,43.684431
字緑丘,常呂郡訓子府町,354-14,,143.745749,43.683505
字緑丘,常呂郡訓子府町,356-15,,143.746315,43.682142
字緑丘,常呂郡訓子府町,356-4,,143.74653,43.681818
字緑丘,常呂郡訓子府町,356-13,,143.746636,43.682115
字緑丘,常呂郡訓子府町,356-5,,143.746547,43.682202
字緑丘,常呂郡訓子府町,354-12,,143.74653,43.682422
字緑丘,常呂郡訓子府町,354-13,,143.746346,43.68236
字緑丘,常呂郡訓子府町,354-2,,143.746946,43.682854
字緑丘,常呂郡訓子府町,水-2,,143.747521,43.683074
字緑丘,常呂郡訓子府町,227-3,,143.747787,43.683068
字緑丘,常呂郡訓子府町,354-11,,143.74687,43.682324
字緑丘,常呂郡訓子府町,355-1,,143.746832,43.681786
字緑丘,常呂郡訓子府町,227-2,,143.747326,43.681166
字緑丘,常呂郡訓子府町,227-5,,143.747897,43.682262
字緑丘,常呂郡訓子府町,355-2,,143.746262,43.680166
字緑丘,常呂郡訓子府町,356-14,,143.745572,43.680148
字緑丘,常呂郡訓子府町,355-3,,143.745952,43.680548
字緑丘,常呂郡訓子府町,356-11,,143.746334,43.681855
字緑丘,常呂郡訓子府町,356-10,,143.746327,43.681452
字緑丘,常呂郡訓子府町,356-12,,143.745756,43.680154
字緑丘,常呂郡訓子府町,355-4,,143.746485,43.680869
字緑丘,常呂郡訓子府町,356-6,,143.746722,43.679746
字緑丘,常呂郡訓子府町,356-7,,143.746872,43.679823
字緑丘,常呂郡訓子府町,227-4,,143.747493,43.679848
字開盛,常呂郡訓子府町,248-3,,143.741737,43.679693
字緑丘,常呂郡訓子府町,356-3,,143.744172,43.681019
字緑丘,常呂郡訓子府町,356-1,,143.741977,43.683998
字緑丘,常呂郡訓子府町,356-2,,143.738363,43.681499
字緑丘,常呂郡訓子府町,357-3,,143.736737,43.680705
字緑丘,常呂郡訓子府町,357-2,,143.736689,43.681649
字緑丘,常呂郡訓子府町,357-1,,143.737142,43.680811
字緑丘,常呂郡訓子府町,357-4,,143.736656,43.681917
字緑丘,常呂郡訓子府町,356-8,,143.736808,43.68205
字緑丘,常呂郡訓子府町,356-9,,143.736792,43.682276
字協成,常呂郡訓子府町,142,,143.738595,43.683565
字協成,常呂郡訓子府町,141,,143.739079,43.684623
字協成,常呂郡訓子府町,143,,143.737438,43.684337
字協成,常呂郡訓子府町,140,,143.737317,43.684741
字協成,常呂郡訓子府町,139,,143.73776,43.685226
字協成,常呂郡訓子府町,134,,143.736626,43.685138
字協成,常呂郡訓子府町,365,,143.737233,43.684499
字協成,常呂郡訓子府町,135,,143.736784,43.684591
字協成,常呂郡訓子府町,146,,143.736516,43.684207
字協成,常呂郡訓子府町,144,,143.737449,43.682954
字協成,常呂郡訓子府町,145,,143.737047,43.683574
字協成,常呂郡訓子府町,147,,143.736762,43.683702
字協成,常呂郡訓子府町,150,,143.735512,43.683582
字協成,常呂郡訓子府町,152,,143.735354,43.684051
字協成,常呂郡訓子府町,367,,143.735256,43.684303
字協成,常呂郡訓子府町,151,,143.735619,43.684176
字協成,常呂郡訓子府町,364,,143.736268,43.685292
字協成,常呂郡訓子府町,366,,143.735492,43.684322
字協成,常呂郡訓子府町,371,,143.734937,43.684412
字協成,常呂郡訓子府町,180,,143.734123,43.684764
字協成,常呂郡訓子府町,370,,143.734186,43.684234
字協成,常呂郡訓子府町,369,,143.734502,43.684251
字協成,常呂郡訓子府町,153,,143.73445,43.684023
字協成,常呂郡訓子府町,368,,143.734763,43.684264
字協成,常呂郡訓子府町,149,,143.734469,43.683107
字協成,常呂郡訓子府町,148-2,,143.735695,43.68022
字開盛,常呂郡訓子府町,247-1,,143.737128,43.679248
字開盛,常呂郡訓子府町,248-2,,143.73909,43.678031
字開盛,常呂郡訓子府町,248-1,,143.736099,43.676346
字開盛,常呂郡訓子府町,247-2,,143.735229,43.679865
字開盛,常呂郡訓子府町,247-3,,143.734525,43.678713
字開盛,常呂郡訓子府町,248-5,,143.73465,43.675891
字開盛,常呂郡訓子府町,249-45,,143.728408,43.675585
字開盛,常呂郡訓子府町,249-28,,143.726142,43.673728
字開盛,常呂郡訓子府町,249-29,,143.726409,43.675496
字開盛,常呂郡訓子府町,249-27,,143.724572,43.673972
字開盛,常呂郡訓子府町,249-23,,143.72211,43.673853
字開盛,常呂郡訓子府町,249-6,,143.719502,43.66669
字開盛,常呂郡訓子府町,249-47,,143.719026,43.668924
字開盛,常呂郡訓子府町,249-18,,143.719811,43.670151
字開盛,常呂郡訓子府町,249-17,,143.718366,43.670136
字開盛,常呂郡訓子府町,249-58,,143.71686,43.670318
字開盛,常呂郡訓子府町,249-15,,143.715814,43.669463
字開盛,常呂郡訓子府町,249-14,,143.71823,43.668514
字開盛,常呂郡訓子府町,249-12,,143.715539,43.668238
字開盛,常呂郡訓子府町,249-13,,143.717445,43.668181
字開盛,常呂郡訓子府町,249-7,,143.718566,43.667149
字開盛,常呂郡訓子府町,249-8,,143.717584,43.666927
字開盛,常呂郡訓子府町,249-9,,143.715985,43.666275
字開盛,常呂郡訓子府町,道-1,,143.714933,43.66676
字開盛,常呂郡訓子府町,249-10,,143.716516,43.667085
字開盛,常呂郡訓子府町,249-11,,143.715209,43.667477
字開盛,常呂郡訓子府町,道-5,,143.714608,43.667902
字常盤,常呂郡訓子府町,道-8,,143.714348,43.668936
字常盤,常呂郡訓子府町,20-32,,143.715054,43.670903
字開盛,常呂郡訓子府町,249-20,,143.7162,43.672864
字開盛,常呂郡訓子府町,水-2,,143.714913,43.665763
字常盤,常呂郡訓子府町,20-54,,143.713606,43.6748
字開盛,常呂郡訓子府町,道-3,,143.716883,43.674863
字開盛,常呂郡訓子府町,249-24,,143.719137,43.675445
字開盛,常呂郡訓子府町,249-21,,143.718073,43.674018
字開盛,常呂郡訓子府町,249-50,,143.716625,43.673883
字開盛,常呂郡訓子府町,道-2,,143.716952,43.673953
字開盛,常呂郡訓子府町,249-55,,143.716447,43.672922
字開盛,常呂郡訓子府町,249-19,,143.71807,43.672314
字開盛,常呂郡訓子府町,249-22,,143.719717,43.673039
字開盛,常呂郡訓子府町,249-42,,143.721334,43.672043
字開盛,常呂郡訓子府町,249-25,,143.720799,43.675756
字開盛,常呂郡訓子府町,249-33,,143.720194,43.677628
字開盛,常呂郡訓子府町,249-32,,143.721195,43.677076
字開盛,常呂郡訓子府町,249-34,,143.722678,43.679345
字開盛,常呂郡訓子府町,338-3,,143.719266,43.679957
字開盛,常呂郡訓子府町,道-8,,143.719164,43.679826
字開盛,常呂郡訓子府町,338-7,,143.719395,43.679826
字開盛,常呂郡訓子府町,338-6,,143.71954,43.679749
字開盛,常呂郡訓子府町,334-3,,143.719452,43.679669
字常盤,常呂郡訓子府町,20-41,,143.719306,43.679615
字常盤,常呂郡訓子府町,20-24,,143.719246,43.679542
字常盤,常呂郡訓子府町,20-23,,143.719576,43.678911
字常盤,常呂郡訓子府町,20-29,,143.719453,43.67869
字常盤,常呂郡訓子府町,道-10,,143.719286,43.678785
字開盛,常呂郡訓子府町,336-5,,143.719069,43.68001
字開盛,常呂郡訓子府町,336-8,,143.71908,43.680047
字開盛,常呂郡訓子府町,336-7,,143.71897,43.680382
字開盛,常呂郡訓子府町,336-6,,143.719051,43.680145
字開盛,常呂郡訓子府町,336-4,,143.718977,43.680148
字開盛,常呂郡訓子府町,336-1,,143.718681,43.680412
字常盤,常呂郡訓子府町,20-20,,143.71603,43.679778
字開盛,常呂郡訓子府町,334-2,,143.715814,43.680338
字常盤,常呂郡訓子府町,20-30,,143.717643,43.676702
字開盛,常呂郡訓子府町,道-4,,143.717156,43.676257
字常盤,常呂郡訓子府町,道-9,,143.717425,43.676876
字常盤,常呂郡訓子府町,20-10,,143.714435,43.68032
字開盛,常呂郡訓子府町,334,,143.716065,43.680976
字開盛,常呂郡訓子府町,333-3,,143.714579,43.681549
字開盛,常呂郡訓子府町,333-2,,143.715256,43.681667
字開盛,常呂郡訓子府町,333-1,,143.715833,43.682361
