市区町村名,地番,大字名,center_lng,center_lat
斜里郡清里町,804-1,字江南,144.594645,43.76394
斜里郡清里町,803,字江南,144.592936,43.765163
斜里郡清里町,804-2,字江南,144.594469,43.765696
斜里郡清里町,812-2,字江南,144.594922,43.770071
斜里郡清里町,738-1,字江南,144.594068,43.769911
斜里郡清里町,737-1,字江南,144.593875,43.767082
斜里郡清里町,802-1,字江南,144.5912,43.766434
斜里郡清里町,739-1,字江南,144.592465,43.769828
斜里郡清里町,740-1,字江南,144.591047,43.768153
斜里郡清里町,道-39,字江南,144.589428,43.771197
斜里郡清里町,737-3,字江南,144.590224,43.766977
斜里郡清里町,801-3,字江南,144.589198,43.765665
斜里郡清里町,801-4,字江南,144.589823,43.764987
斜里郡清里町,802-3,字江南,144.591269,43.765854
斜里郡清里町,802-4,字江南,144.591357,43.765081
斜里郡清里町,802-5,字江南,144.59146,43.763933
斜里郡清里町,801-5,字江南,144.589918,43.763885
斜里郡清里町,801-1,字江南,144.589682,43.76632
斜里郡清里町,800-1,字江南,144.588799,43.765006
斜里郡清里町,815-2,字江南,144.58846,43.764995
斜里郡清里町,799-1,字江南,144.587928,43.76498
斜里郡清里町,797-1,字江南,144.585262,43.764899
斜里郡清里町,798-1,字江南,144.586679,43.765522
斜里郡清里町,道-49,字江南,144.585981,43.766576
斜里郡清里町,750-2,字江南,144.586023,43.766738
斜里郡清里町,750-1,字江南,144.584704,43.76674
斜里郡清里町,746-1,字江南,144.584895,43.769566
斜里郡清里町,745-5,字江南,144.585803,43.768321
斜里郡清里町,745-1,字江南,144.586504,43.767698
斜里郡清里町,744-1,字江南,144.587571,43.768966
斜里郡清里町,814-2,字江南,144.588098,43.768978
斜里郡清里町,737-4,字江南,144.588917,43.766806
斜里郡清里町,737-2,字江南,144.588581,43.766914
斜里郡清里町,742-1,字江南,144.588421,43.769265
斜里郡清里町,741-1,字江南,144.589421,43.768635
斜里郡清里町,741-3,字江南,144.589147,43.771
斜里郡清里町,741-2,字江南,144.588744,43.770985
斜里郡清里町,743-3,字江南,144.588444,43.770973
斜里郡清里町,743-2,字江南,144.588514,43.771019
斜里郡清里町,673-6,字江南,144.588399,43.771297
斜里郡清里町,673-7,字江南,144.591078,43.77146
斜里郡清里町,673-1,字江南,144.589616,43.77224
斜里郡清里町,673-17,字江南,144.588088,43.771639
斜里郡清里町,673-19,字江南,144.588121,43.772691
斜里郡清里町,672-5,字江南,144.587578,43.771254
斜里郡清里町,672-28,字江南,144.587139,43.771237
斜里郡清里町,672-29,字江南,144.587403,43.771296
斜里郡清里町,672-3,字江南,144.587414,43.77121
斜里郡清里町,672-18,字江南,144.587786,43.771392
斜里郡清里町,672-15,字江南,144.587561,43.771354
斜里郡清里町,672-12,字江南,144.587745,43.771329
斜里郡清里町,673-18,字江南,144.587976,43.771418
斜里郡清里町,673-16,字江南,144.587978,43.771393
斜里郡清里町,673-15,字江南,144.588,43.771387
斜里郡清里町,674-4,字江南,144.588035,43.771229
斜里郡清里町,743-1,字江南,144.588139,43.770894
斜里郡清里町,672-11,字江南,144.58656,43.771162
斜里郡清里町,672-17,字江南,144.586474,43.771199
斜里郡清里町,672-14,字江南,144.586501,43.771211
斜里郡清里町,672-22,字江南,144.585932,43.771148
斜里郡清里町,672-27,字江南,144.585869,43.771179
斜里郡清里町,672-2,字江南,144.58572,43.771143
斜里郡清里町,672-24,字江南,144.585864,43.771191
斜里郡清里町,672-19,字江南,144.585782,43.771188
斜里郡清里町,672-20,字江南,144.585819,43.771178
斜里郡清里町,672-4,字江南,144.58578,43.771233
斜里郡清里町,672-26,字江南,144.585699,43.771174
斜里郡清里町,665-24,字江南,144.584407,43.771088
斜里郡清里町,665-26,字江南,144.584403,43.771133
斜里郡清里町,665-25,字江南,144.584425,43.771145
斜里郡清里町,665-20,字江南,144.584361,43.771143
斜里郡清里町,665-23,字江南,144.584361,43.771131
斜里郡清里町,665-17,字江南,144.584342,43.771138
斜里郡清里町,665-16,字江南,144.584315,43.771112
斜里郡清里町,665-19,字江南,144.584156,43.771136
斜里郡清里町,665-22,字江南,144.584301,43.771129
斜里郡清里町,672-25,字江南,144.584514,43.771136
斜里郡清里町,672-23,字江南,144.584449,43.771145
斜里郡清里町,672-9,字江南,144.584463,43.771064
斜里郡清里町,672-13,字江南,144.584873,43.771159
斜里郡清里町,672-16,字江南,144.58477,43.771142
斜里郡清里町,672-21,字江南,144.58461,43.771095
斜里郡清里町,665-8,字江南,144.584265,43.772726
斜里郡清里町,672-1,字江南,144.586052,43.772365
斜里郡清里町,671-2,字江南,144.585236,43.773394
斜里郡清里町,671,字江南,144.584436,43.773268
斜里郡清里町,668-2,字江南,144.585351,43.774783
斜里郡清里町,668,字江南,144.584767,43.774311
斜里郡清里町,669-1,字江南,144.586386,43.775129
斜里郡清里町,678-2,字江南,144.58757,43.776476
斜里郡清里町,679-9,字江南,144.588021,43.776389
斜里郡清里町,679-13,字江南,144.587872,43.776525
斜里郡清里町,679-26,字江南,144.588087,43.776409
斜里郡清里町,679-27,字江南,144.588074,43.776415
斜里郡清里町,675-16,字江南,144.587599,43.775981
斜里郡清里町,675-14,字江南,144.587709,43.774857
斜里郡清里町,670-3,字江南,144.587677,43.773744
斜里郡清里町,675-15,字江南,144.587949,43.773777
斜里郡清里町,673-43,字江南,144.587866,43.773586
斜里郡清里町,673-42,字江南,144.587908,43.773224
斜里郡清里町,673-45,字江南,144.588013,43.773374
斜里郡清里町,673-46,字江南,144.587988,43.773529
斜里郡清里町,675-11,字江南,144.587847,43.774416
斜里郡清里町,673-44,字江南,144.587804,43.774051
斜里郡清里町,675-10,字江南,144.587706,43.774477
斜里郡清里町,675-8,字江南,144.587748,43.77456
斜里郡清里町,673-25,字江南,144.588909,43.774371
斜里郡清里町,673-24,字江南,144.589378,43.773803
斜里郡清里町,673-23,字江南,144.589681,43.773338
斜里郡清里町,675-12,字江南,144.589179,43.774812
斜里郡清里町,679-3,字江南,144.589345,43.775017
斜里郡清里町,675-4,字江南,144.588641,43.775282
斜里郡清里町,673-26,字江南,144.588126,43.775154
斜里郡清里町,902,字江南,144.588298,43.77571
斜里郡清里町,673-27,字江南,144.591194,43.776308
斜里郡清里町,673-28,字江南,144.589914,43.775819
斜里郡清里町,673-30,字江南,144.594042,43.775086
斜里郡清里町,673-29,字江南,144.590252,43.775426
斜里郡清里町,673-31,字江南,144.594124,43.77455
斜里郡清里町,673-32,字江南,144.593927,43.774064
斜里郡清里町,673-5,字江南,144.590714,43.773759
斜里郡清里町,675-13,字江南,144.590517,43.773855
斜里郡清里町,673-20,字江南,144.591148,43.772222
斜里郡清里町,674-5,字江南,144.590835,43.771298
斜里郡清里町,673-21,字江南,144.591419,43.771414
斜里郡清里町,739-4,字江南,144.592037,43.771128
斜里郡清里町,682-3,字江南,144.592244,43.771404
斜里郡清里町,673-8,字江南,144.592443,43.771498
斜里郡清里町,673-11,字江南,144.592188,43.771587
斜里郡清里町,673-9,字江南,144.591987,43.77155
斜里郡清里町,673-10,字江南,144.591866,43.771501
斜里郡清里町,673-22,字江南,144.591408,43.771473
斜里郡清里町,673-33,字江南,144.591613,43.773311
斜里郡清里町,673-34,字江南,144.59245,43.773334
斜里郡清里町,673-35,字江南,144.593731,43.772927
斜里郡清里町,683-3,字江南,144.593764,43.771453
斜里郡清里町,673-36,字江南,144.592937,43.771491
斜里郡清里町,673-38,字江南,144.5929,43.771614
斜里郡清里町,739-5,字江南,144.592634,43.771132
斜里郡清里町,739-3,字江南,144.592823,43.7711
斜里郡清里町,738-3,字江南,144.593651,43.771091
斜里郡清里町,738-2,字江南,144.593529,43.771158
斜里郡清里町,738-4,字江南,144.59474,43.771122
斜里郡清里町,735-2,字江南,144.594959,43.771188
斜里郡清里町,735-3,字江南,144.594824,43.771166
斜里郡清里町,683-4,字江南,144.594687,43.771479
斜里郡清里町,683-5,字江南,144.594646,43.771552
斜里郡清里町,673-37,字江南,144.593455,43.771499
斜里郡清里町,673-39,字江南,144.593986,43.771655
斜里郡清里町,673-12,字江南,144.594651,43.771836
斜里郡清里町,673-14,字江南,144.594504,43.773508
斜里郡清里町,680-6,字江南,144.594452,43.774117
斜里郡清里町,679-22,字江南,144.59448,43.774117
斜里郡清里町,685-2,字江南,144.594549,43.774347
斜里郡清里町,679-21,字江南,144.594442,43.774565
斜里郡清里町,680-7,字江南,144.594413,43.774563
斜里郡清里町,673-41,字江南,144.594478,43.773815
斜里郡清里町,673-13,字江南,144.594483,43.773865
斜里郡清里町,673-40,字江南,144.594506,43.773816
斜里郡清里町,679-23,字江南,144.594252,43.776425
斜里郡清里町,679-17,字江南,144.594281,43.776426
斜里郡清里町,679-18,字江南,144.594306,43.776141
斜里郡清里町,679-25,字江南,144.594319,43.775652
斜里郡清里町,679-24,字江南,144.59429,43.775989
斜里郡清里町,680-8,字江南,144.594367,43.775095
斜里郡清里町,679-20,字江南,144.594412,43.774907
斜里郡清里町,680-9,字江南,144.594335,43.775466
斜里郡清里町,679-19,字江南,144.594352,43.775598
斜里郡清里町,686-1,字江南,144.596139,43.776405
斜里郡清里町,685,字江南,144.596276,43.77479
斜里郡清里町,688-1,字江南,144.599633,43.77494
斜里郡清里町,689-1,字江南,144.59943,43.773002
斜里郡清里町,732-4,字江南,144.59881,43.770808
斜里郡清里町,732-14,字江南,144.59862,43.770791
斜里郡清里町,733-1,字江南,144.598262,43.770986
斜里郡清里町,732-13,字江南,144.598433,43.770015
斜里郡清里町,684-6,字江南,144.597198,43.771652
斜里郡清里町,684-1,字江南,144.596569,43.772864
斜里郡清里町,684-5,字江南,144.594973,43.771537
斜里郡清里町,684-7,字江南,144.594972,43.77165
斜里郡清里町,735-1,字江南,144.595816,43.769264
斜里郡清里町,734-1,字江南,144.597476,43.768686
斜里郡清里町,736,字江南,144.596793,43.767206
斜里郡清里町,805,字江南,144.596192,43.765277
斜里郡清里町,813-2,字江南,144.595372,43.765244
斜里郡清里町,806,字江南,144.597721,43.766175
斜里郡清里町,820-4,字江南,144.599675,43.767258
斜里郡清里町,820-7,字江南,144.598585,43.767202
斜里郡清里町,820-8,字江南,144.599368,43.76724
斜里郡清里町,732-5,字江南,144.59876,43.767582
斜里郡清里町,732-1,字江南,144.599746,43.769786
斜里郡清里町,728-1,字江南,144.606369,43.768989
斜里郡清里町,729-1,字江南,144.604211,43.771048
斜里郡清里町,730-4,字江南,144.602675,43.770402
斜里郡清里町,730-1,字江南,144.601537,43.770254
斜里郡清里町,730-5,字江南,144.603017,43.772446
斜里郡清里町,729-3,字江南,144.603437,43.772525
斜里郡清里町,690-2,字江南,144.603786,43.772714
斜里郡清里町,690-1,字江南,144.602757,43.773391
斜里郡清里町,692-1,字江南,144.603192,43.775817
斜里郡清里町,692-12,字江南,144.605019,43.77537
斜里郡清里町,692-8,字江南,144.60477,43.775036
斜里郡清里町,692-13,字江南,144.604508,43.774683
斜里郡清里町,692-9,字江南,144.604246,43.77434
斜里郡清里町,690-3,字江南,144.604455,43.773164
斜里郡清里町,691-12,字江南,144.604463,43.773363
斜里郡清里町,691-2,字江南,144.605365,43.773726
斜里郡清里町,692-5,字江南,144.605427,43.774956
斜里郡清里町,692-7,字江南,144.605271,43.775709
