市区町村名,地番,大字名,丁目名,center_lng,center_lat
札幌市清田区,321-135,有明,,141.444213,42.932502
札幌市清田区,321-136,有明,,141.444463,42.932372
札幌市清田区,321-121,有明,,141.444046,42.932215
札幌市清田区,329-1,有明,,141.440024,42.929954
札幌市清田区,329-11,有明,,141.441753,42.929953
札幌市清田区,329-9,有明,,141.441312,42.930219
札幌市清田区,329-10,有明,,141.441582,42.93005
札幌市清田区,329-8,有明,,141.440935,42.930457
札幌市清田区,329-7,有明,,141.440642,42.930644
札幌市清田区,329-12,有明,,141.440436,42.930773
札幌市清田区,322,有明,,141.442251,42.93044
札幌市清田区,321-128,有明,,141.443327,42.93122
札幌市清田区,321-125,有明,,141.443001,42.931453
札幌市清田区,321-120,有明,,141.442813,42.931593
札幌市清田区,321-115,有明,,141.442559,42.931779
札幌市清田区,321-119,有明,,141.443072,42.931781
札幌市清田区,321-123,有明,,141.44352,42.931832
札幌市清田区,321-124,有明,,141.443261,42.931642
札幌市清田区,321-127,有明,,141.44357,42.931418
札幌市清田区,321-126,有明,,141.44379,42.931634
札幌市清田区,321-122,有明,,141.443782,42.932023
札幌市清田区,321-118,有明,,141.443331,42.93197
札幌市清田区,321-112,有明,,141.443338,42.932348
札幌市清田区,321-117,有明,,141.443593,42.93216
札幌市清田区,321-116,有明,,141.443842,42.93234
札幌市清田区,321-111,有明,,141.443566,42.93251
札幌市清田区,321-134,有明,,141.443915,42.932657
札幌市清田区,321-133,有明,,141.443621,42.932811
札幌市清田区,321-106,有明,,141.443364,42.932633
札幌市清田区,321-107,有明,,141.443129,42.932475
札幌市清田区,321-103,有明,,141.442614,42.932473
札幌市清田区,321-102,有明,,141.44295,42.932716
札幌市清田区,321-99,有明,,141.442441,42.932623
札幌市清田区,321-95,有明,,141.442182,42.932813
札幌市清田区,321-100,有明,,141.442182,42.932433
札幌市清田区,321-104,有明,,141.442369,42.932294
札幌市清田区,321-108,有明,,141.442885,42.932297
札幌市清田区,321-113,有明,,141.443078,42.932158
札幌市清田区,321-109,有明,,141.442625,42.932107
札幌市清田区,321-114,有明,,141.442817,42.931969
札幌市清田区,321-110,有明,,141.442367,42.931918
札幌市清田区,321-105,有明,,141.442096,42.932094
札幌市清田区,321-101,有明,,141.441924,42.932244
札幌市清田区,321-97,有明,,141.441663,42.932434
札幌市清田区,321-1,有明,,141.441649,42.932217
札幌市清田区,321-96,有明,,141.441922,42.932622
札幌市清田区,321-92,有明,,141.44173,42.932764
札幌市清田区,321-80,有明,,141.441205,42.932768
札幌市清田区,321-93,有明,,141.441469,42.932575
札幌市清田区,323,有明,,141.440528,42.931996
札幌市清田区,329-6,有明,,141.440228,42.930908
札幌市清田区,329-14,有明,,141.440002,42.931049
札幌市清田区,329-2,有明,,141.439627,42.931133
札幌市清田区,328-12,有明,,141.438763,42.93121
札幌市清田区,328-11,有明,,141.438306,42.931292
札幌市清田区,328-6,有明,,141.439209,42.931622
札幌市清田区,328-7,有明,,141.439676,42.931493
札幌市清田区,324-54,有明,,141.438336,42.932698
札幌市清田区,328-4,有明,,141.438361,42.932231
札幌市清田区,328-5,有明,,141.4388,42.931939
札幌市清田区,328-1,有明,,141.438109,42.931961
札幌市清田区,328-3,有明,,141.437871,42.932547
札幌市清田区,325-11,有明,,141.436778,42.932654
札幌市清田区,333-15,有明,,141.436409,42.932718
札幌市清田区,無地番-196,有明,,141.436727,42.93245
札幌市清田区,333-14,有明,,141.436527,42.932436
札幌市清田区,333-17,有明,,141.436413,42.932378
札幌市清田区,333-12,有明,,141.43665,42.932229
札幌市清田区,328-8,有明,,141.437299,42.932193
札幌市清田区,327,有明,,141.436915,42.931865
札幌市清田区,332-11,有明,,141.437147,42.93163
札幌市清田区,328-9,有明,,141.437719,42.931884
札幌市清田区,328-10,有明,,141.438262,42.931617
札幌市清田区,332-13,有明,,141.437493,42.931161
札幌市清田区,332-10,有明,,141.436861,42.930994
札幌市清田区,332-12,有明,,141.437314,42.931374
札幌市清田区,333-8,有明,,141.436489,42.930671
札幌市清田区,332-9,有明,,141.437454,42.930658
札幌市清田区,333-7,有明,,141.436422,42.930536
札幌市清田区,無地番-200,有明,,141.438005,42.930631
札幌市清田区,329-4,有明,,141.43904,42.93067
札幌市清田区,329-3,有明,,141.439645,42.930848
札幌市清田区,329-13,有明,,141.439481,42.93035
札幌市清田区,329-5,有明,,141.439967,42.930531
札幌市清田区,無地番-111,有明,,141.44123,42.928784
札幌市清田区,無地番-107,有明,,141.43394,42.926904
札幌市清田区,359-7,有明,,141.429941,42.926926
札幌市清田区,359-22,有明,,141.430096,42.926783
札幌市清田区,359-21,有明,,141.430191,42.926689
札幌市清田区,359-20,有明,,141.430303,42.926616
札幌市清田区,359-1,有明,,141.430419,42.92651
札幌市清田区,362-19,有明,,141.430835,42.927041
札幌市清田区,362-13,有明,,141.431417,42.927794
札幌市清田区,359-6,有明,,141.43072,42.927451
札幌市清田区,359-8,有明,,141.429769,42.927063
札幌市清田区,359-9,有明,,141.429657,42.927163
札幌市清田区,359-10,有明,,141.429574,42.927243
札幌市清田区,359-13,有明,,141.42925,42.927444
札幌市清田区,359-12,有明,,141.429405,42.927363
札幌市清田区,359-11,有明,,141.429507,42.927292
札幌市清田区,359-15,有明,,141.429058,42.927549
札幌市清田区,359-14,有明,,141.429295,42.927642
札幌市清田区,359-16,有明,,141.428939,42.927601
札幌市清田区,359-17,有明,,141.428808,42.92768
札幌市清田区,359-5,有明,,141.430568,42.92794
札幌市清田区,359-4,有明,,141.429983,42.928106
札幌市清田区,359-2,有明,,141.429025,42.928393
札幌市清田区,359-3,有明,,141.429402,42.928264
札幌市清田区,360-18,有明,,141.430015,42.92881
札幌市清田区,360-19,有明,,141.430604,42.928696
札幌市清田区,361-14,有明,,141.430952,42.92871
札幌市清田区,361-2,有明,,141.431404,42.928594
札幌市清田区,360-20,有明,,141.430904,42.92849
札幌市清田区,361-1,有明,,141.431538,42.928131
札幌市清田区,361-13,有明,,141.431202,42.928446
札幌市清田区,361-5,有明,,141.431696,42.928897
札幌市清田区,無地番-106,有明,,141.433391,42.929109
札幌市清田区,335-39,有明,,141.433406,42.929823
札幌市清田区,335-33,有明,,141.432657,42.930353
札幌市清田区,335-30,有明,,141.43329,42.930499
札幌市清田区,335-31,有明,,141.432774,42.930873
札幌市清田区,335-32,有明,,141.432761,42.930411
札幌市清田区,335-29,有明,,141.433584,42.930611
札幌市清田区,334-8,有明,,141.434807,42.93027
札幌市清田区,334-7,有明,,141.434782,42.930146
札幌市清田区,335-37,有明,,141.435275,42.930263
札幌市清田区,333-6,有明,,141.436165,42.930473
札幌市清田区,無地番-193,有明,,141.43634,42.930446
札幌市清田区,333-9,有明,,141.436251,42.931497
札幌市清田区,335-28,有明,,141.434958,42.931007
札幌市清田区,333-10,有明,,141.436417,42.932021
札幌市清田区,333-11,有明,,141.436157,42.932068
札幌市清田区,333-18,有明,,141.436346,42.932154
札幌市清田区,333-19,有明,,141.436277,42.932379
札幌市清田区,335-57,有明,,141.436145,42.932481
札幌市清田区,333-20,有明,,141.436278,42.932596
札幌市清田区,335-53,有明,,141.436299,42.932813
札幌市清田区,335-56,有明,,141.436115,42.932697
札幌市清田区,335-23,有明,,141.435635,42.932695
札幌市清田区,335-43,有明,,141.435273,42.932377
札幌市清田区,335-24,有明,,141.434896,42.932419
札幌市清田区,335-25,有明,,141.434757,42.932066
札幌市清田区,335-52,有明,,141.4346,42.931883
札幌市清田区,335-51,有明,,141.434211,42.931941
札幌市清田区,335-3,有明,,141.434292,42.932641
札幌市清田区,335-4,有明,,141.433785,42.932522
札幌市清田区,335-17,有明,,141.433444,42.932442
札幌市清田区,335-47,有明,,141.433053,42.932506
札幌市清田区,335-46,有明,,141.432835,42.932291
札幌市清田区,335-45,有明,,141.432688,42.93199
札幌市清田区,335-49,有明,,141.433053,42.931774
札幌市清田区,335-48,有明,,141.432806,42.931714
札幌市清田区,335-18,有明,,141.433398,42.931547
札幌市清田区,335-50,有明,,141.433342,42.931843
札幌市清田区,335-26,有明,,141.43377,42.931837
札幌市清田区,335-27,有明,,141.434028,42.931463
札幌市清田区,335-44,有明,,141.432912,42.931137
札幌市清田区,336-8,有明,,141.432159,42.931397
札幌市清田区,337-8,有明,,141.431485,42.931099
札幌市清田区,336-20,有明,,141.432214,42.931729
札幌市清田区,336-13,有明,,141.432024,42.931529
札幌市清田区,335-42,有明,,141.432566,42.931657
札幌市清田区,335-2,有明,,141.432491,42.931862
札幌市清田区,336-2,有明,,141.431891,42.931771
札幌市清田区,336-15,有明,,141.431809,42.932347
札幌市清田区,336-16,有明,,141.432153,42.93249
札幌市清田区,336-18,有明,,141.43254,42.93291
札幌市清田区,336-17,有明,,141.432365,42.932743
札幌市清田区,337-1,有明,,141.431233,42.932275
札幌市清田区,無地番-102,有明,,141.431605,42.933314
札幌市清田区,337-10,有明,,141.430466,42.932256
札幌市清田区,337-9,有明,,141.429726,42.932463
札幌市清田区,337-6,有明,,141.429055,42.932829
札幌市清田区,337-11,有明,,141.42946,42.932237
札幌市清田区,337-7,有明,,141.430156,42.931764
札幌市清田区,360-3,有明,,141.430069,42.930321
