市区町村名,地番,大字名,丁目名,center_lng,center_lat
札幌市西区,80,山の手一条,４丁目,141.303097,43.066427
札幌市西区,79,山の手一条,４丁目,141.302658,43.066043
札幌市西区,24,山の手一条,４丁目,141.302734,43.06625
札幌市西区,25,山の手一条,４丁目,141.302494,43.066289
札幌市西区,23,山の手一条,５丁目,141.302422,43.066088
札幌市西区,24,山の手一条,５丁目,141.302357,43.066035
札幌市西区,25,山の手一条,５丁目,141.302295,43.065981
札幌市西区,26,山の手一条,５丁目,141.302217,43.065921
札幌市西区,3,山の手一条,５丁目,141.302391,43.065921
札幌市西区,2,山の手一条,５丁目,141.302458,43.065975
札幌市西区,1,山の手一条,５丁目,141.302525,43.066029
札幌市西区,81,山の手一条,４丁目,141.302606,43.06604
札幌市西区,67,山の手一条,６丁目,141.301221,43.064885
札幌市西区,32-2,山の手一条,６丁目,141.301098,43.06491
札幌市西区,29,山の手一条,６丁目,141.301207,43.065038
札幌市西区,68,山の手一条,６丁目,141.301312,43.064984
札幌市西区,28,山の手一条,５丁目,141.301869,43.065542
札幌市西区,29,山の手一条,５丁目,141.301732,43.065445
札幌市西区,27-1,山の手一条,５丁目,141.301749,43.065667
札幌市西区,27-2,山の手一条,５丁目,141.301967,43.06563
札幌市西区,76,山の手一条,５丁目,141.301738,43.06533
札幌市西区,75,山の手一条,５丁目,141.302069,43.065566
札幌市西区,4,山の手一条,５丁目,141.30232,43.065867
札幌市西区,5-4,山の手一条,５丁目,141.302172,43.06579
札幌市西区,5-3,山の手一条,５丁目,141.302222,43.065822
札幌市西区,6-2,山の手一条,５丁目,141.30212,43.065749
札幌市西区,5-1,山の手一条,５丁目,141.302057,43.065866
札幌市西区,5-2,山の手一条,５丁目,141.302103,43.065899
札幌市西区,22,山の手一条,５丁目,141.302114,43.065977
札幌市西区,20,山の手一条,５丁目,141.302254,43.066091
札幌市西区,21,山の手一条,５丁目,141.302192,43.066037
札幌市西区,19,山の手一条,５丁目,141.30232,43.066144
札幌市西区,18,山の手一条,５丁目,141.301985,43.066188
札幌市西区,17-1,山の手一条,５丁目,141.301706,43.066302
札幌市西区,8,山の手一条,５丁目,141.301779,43.065995
札幌市西区,7,山の手一条,５丁目,141.301918,43.065919
札幌市西区,6-1,山の手一条,５丁目,141.301992,43.065819
札幌市西区,27-3,山の手一条,５丁目,141.301629,43.065813
札幌市西区,35,山の手一条,５丁目,141.301453,43.065912
札幌市西区,9,山の手一条,５丁目,141.301637,43.066072
札幌市西区,10-3,山の手一条,５丁目,141.301604,43.066187
札幌市西区,11,山の手一条,５丁目,141.301416,43.066233
札幌市西区,10-2,山の手一条,５丁目,141.301574,43.066238
札幌市西区,10-1,山の手一条,５丁目,141.301516,43.066147
札幌市西区,77,山の手一条,５丁目,141.301061,43.066235
札幌市西区,13,山の手一条,５丁目,141.301344,43.066344
札幌市西区,12,山の手一条,５丁目,141.301221,43.066246
札幌市西区,49,山の手一条,５丁目,141.301044,43.066103
札幌市西区,36,山の手一条,５丁目,141.30117,43.066014
札幌市西区,34,山の手一条,５丁目,141.30135,43.06583
札幌市西区,79,山の手一条,５丁目,141.30119,43.065886
札幌市西区,26,山の手一条,６丁目,141.30113,43.065516
札幌市西区,33,山の手一条,５丁目,141.301205,43.065739
札幌市西区,32,山の手一条,５丁目,141.30131,43.06568
札幌市西区,31,山の手一条,５丁目,141.3014,43.06563
札幌市西区,27-4,山の手一条,５丁目,141.301532,43.065727
札幌市西区,27-5,山の手一条,５丁目,141.301672,43.065732
札幌市西区,30,山の手一条,５丁目,141.30156,43.065541
札幌市西区,28,山の手一条,６丁目,141.301468,43.065328
札幌市西区,1,山の手一条,６丁目,141.301572,43.065271
札幌市西区,2,山の手一条,６丁目,141.301469,43.065177
札幌市西区,3,山の手一条,６丁目,141.301355,43.065214
札幌市西区,27,山の手一条,６丁目,141.301322,43.065409
札幌市西区,4,山の手一条,６丁目,141.301226,43.06527
札幌市西区,5,山の手一条,６丁目,141.301114,43.06534
札幌市西区,30-2,山の手一条,６丁目,141.301065,43.06512
札幌市西区,30-1,山の手一条,６丁目,141.300962,43.065173
札幌市西区,6,山の手一条,６丁目,141.301016,43.065395
札幌市西区,31-1,山の手一条,６丁目,141.30083,43.065252
札幌市西区,31-2,山の手一条,６丁目,141.300599,43.06515
札幌市西区,43,山の手一条,６丁目,141.300465,43.065236
札幌市西区,44-2,山の手一条,６丁目,141.300471,43.065387
札幌市西区,45-2,山の手一条,６丁目,141.300609,43.06536
札幌市西区,69,山の手一条,６丁目,141.300149,43.065264
札幌市西区,45-1,山の手一条,６丁目,141.300672,43.065325
札幌市西区,44-1,山の手一条,６丁目,141.300546,43.065447
札幌市西区,12,山の手一条,６丁目,141.300446,43.065598
札幌市西区,10,山の手一条,６丁目,141.300497,43.065686
札幌市西区,9,山の手一条,６丁目,141.30064,43.065606
札幌市西区,25-2,山の手一条,６丁目,141.300745,43.065732
札幌市西区,25-3,山の手一条,６丁目,141.300817,43.065692
札幌市西区,8-1,山の手一条,６丁目,141.300793,43.065501
札幌市西区,7,山の手一条,６丁目,141.300932,43.06544
札幌市西区,8-2,山の手一条,６丁目,141.300927,43.065611
札幌市西区,37,山の手一条,５丁目,141.300994,43.065872
札幌市西区,80,山の手一条,５丁目,141.300776,43.06584
札幌市西区,38,山の手一条,５丁目,141.300852,43.06597
札幌市西区,48,山の手一条,５丁目,141.300926,43.066169
札幌市西区,47,山の手一条,５丁目,141.300811,43.066232
札幌市西区,46,山の手一条,５丁目,141.300692,43.066298
札幌市西区,41,山の手一条,５丁目,141.300389,43.066223
札幌市西区,40,山の手一条,５丁目,141.300536,43.066146
札幌市西区,39,山の手一条,５丁目,141.300693,43.066058
札幌市西区,25-1,山の手一条,６丁目,141.300674,43.065771
札幌市西区,24,山の手一条,６丁目,141.300585,43.065821
札幌市西区,23-1,山の手一条,６丁目,141.300505,43.065866
札幌市西区,23-2,山の手一条,６丁目,141.300451,43.065895
札幌市西区,11,山の手一条,６丁目,141.300361,43.065762
札幌市西区,19,山の手一条,６丁目,141.300062,43.065785
札幌市西区,20,山の手一条,６丁目,141.30018,43.065879
札幌市西区,21,山の手一条,６丁目,141.300246,43.066015
札幌市西区,22,山の手一条,６丁目,141.300368,43.065948
札幌市西区,43-2,山の手一条,５丁目,141.30034,43.066319
札幌市西区,43-3,山の手一条,５丁目,141.300279,43.066351
札幌市西区,42-3,山の手一条,５丁目,141.300225,43.066251
札幌市西区,42-4,山の手一条,５丁目,141.300164,43.066284
