市区町村名,地番,大字名,center_lng,center_lat
枝幸郡中頓別町,1891-54,,142.365927,44.18463
枝幸郡中頓別町,道-7,字神崎,142.341603,44.904245
枝幸郡中頓別町,309-3,字兵安,142.343338,44.905407
枝幸郡中頓別町,309-5,字兵安,142.343872,44.905101
枝幸郡中頓別町,186-5,字神崎,142.344167,44.904654
枝幸郡中頓別町,185-8,字神崎,142.34514,44.905614
枝幸郡中頓別町,185-1,字神崎,142.344884,44.905716
枝幸郡中頓別町,186-1,字神崎,142.345001,44.904936
枝幸郡中頓別町,185-7,字神崎,142.345512,44.905661
枝幸郡中頓別町,水-10,字旭台,142.342237,44.996518
枝幸郡中頓別町,146-45,字豊泉,142.341988,44.951188
枝幸郡中頓別町,62-5,字兵安,142.342787,44.951044
枝幸郡中頓別町,262,字兵安,142.342539,44.948502
枝幸郡中頓別町,62-4,字兵安,142.344097,44.951945
枝幸郡中頓別町,道-2,字豊泉,142.345945,44.952629
枝幸郡中頓別町,国有地-5,字豊泉,142.34583,44.952479
枝幸郡中頓別町,水-1,字兵安,142.345568,44.952168
枝幸郡中頓別町,146-46,字豊泉,142.345333,44.952333
枝幸郡中頓別町,264,字兵安,142.341717,44.941105
枝幸郡中頓別町,265,字兵安,142.341905,44.938192
枝幸郡中頓別町,水-2,字兵安,142.331058,44.933154
枝幸郡中頓別町,266,字兵安,142.335805,44.935423
枝幸郡中頓別町,62-8,字兵安,142.335496,44.950093
枝幸郡中頓別町,146-1,字豊泉,142.333965,44.955599
枝幸郡中頓別町,146-43,字豊泉,142.327794,44.94632
枝幸郡中頓別町,62-9,字兵安,142.333052,44.949281
枝幸郡中頓別町,146-50,字豊泉,142.3326,44.949242
枝幸郡中頓別町,水-3,字豊泉,142.334119,44.949329
枝幸郡中頓別町,62-11,字兵安,142.330893,44.948036
枝幸郡中頓別町,62-10,字兵安,142.331018,44.948739
枝幸郡中頓別町,146-79,字豊泉,142.330058,44.948723
枝幸郡中頓別町,146-49,字豊泉,142.331225,44.949297
枝幸郡中頓別町,146-78,字豊泉,142.32948,44.949031
枝幸郡中頓別町,146-54,字豊泉,142.332587,44.961312
枝幸郡中頓別町,47-7,字豊泉,142.331905,44.961792
枝幸郡中頓別町,291-1,字旭台,142.331057,44.969631
