市区町村名,地番,大字名,丁目名,center_lng,center_lat
枝幸郡浜頓別町,1081-1,,,142.345176,45.018502
枝幸郡浜頓別町,1082-1,,,142.346922,45.023344
枝幸郡浜頓別町,994,,,142.355184,45.035978
枝幸郡浜頓別町,992-1,,,142.348467,45.036614
枝幸郡浜頓別町,993-1,,,142.352408,45.037413
枝幸郡浜頓別町,無地番-23,,,142.349147,45.038069
枝幸郡浜頓別町,3707,,,142.349501,45.039654
枝幸郡浜頓別町,無地番-24,,,142.350752,45.038569
枝幸郡浜頓別町,無地番-50,,,142.352944,45.042738
枝幸郡浜頓別町,2690,,,142.355196,45.039142
枝幸郡浜頓別町,筆界未定地-2,,,142.360283,45.039597
枝幸郡浜頓別町,2693-1,,,142.363342,45.043932
枝幸郡浜頓別町,2693-2,,,142.365012,45.045324
枝幸郡浜頓別町,2692-2,,,142.357471,45.044681
枝幸郡浜頓別町,2691,,,142.356202,45.040708
枝幸郡浜頓別町,2692-1,,,142.355515,45.042568
枝幸郡浜頓別町,3710,,,142.352749,45.041789
枝幸郡浜頓別町,無地番-25,,,142.35378,45.043252
枝幸郡浜頓別町,3751,,,142.353404,45.040898
枝幸郡浜頓別町,4957,,,142.348916,45.04079
枝幸郡浜頓別町,3708-1,,,142.351364,45.042994
枝幸郡浜頓別町,4956,,,142.349497,45.04404
枝幸郡浜頓別町,3708-2,,,142.350179,45.045255
枝幸郡浜頓別町,3709,,,142.353599,45.045084
枝幸郡浜頓別町,3750,,,142.352816,45.044962
枝幸郡浜頓別町,2692-3,,,142.356302,45.044322
枝幸郡浜頓別町,無地番-27,,,142.356251,45.044536
枝幸郡浜頓別町,528-4,,,142.35551,45.044617
枝幸郡浜頓別町,248-14,,,142.3567,45.046226
枝幸郡浜頓別町,248-10,,,142.355902,45.047215
枝幸郡浜頓別町,248-13,,,142.356383,45.046416
枝幸郡浜頓別町,248-3,,,142.355198,45.046331
枝幸郡浜頓別町,無地番-49,,,142.354595,45.049572
枝幸郡浜頓別町,248-20,,,142.355022,45.048318
枝幸郡浜頓別町,248-8,,,142.354786,45.048402
枝幸郡浜頓別町,248-21,,,142.354794,45.048532
枝幸郡浜頓別町,248-19,,,142.354949,45.048122
