小字名,市区町村名,地番,center_lng,center_lat
字花月,樺戸郡新十津川町,587-2,141.867127,43.469195
字花月,樺戸郡新十津川町,464-13,141.864535,43.469103
字花月,樺戸郡新十津川町,464-14,141.865355,43.46906
字花月,樺戸郡新十津川町,464-15,141.865634,43.469027
字花月,樺戸郡新十津川町,464-31,141.866805,43.468535
字花月,樺戸郡新十津川町,464-8,141.866563,43.469126
字花月,樺戸郡新十津川町,道-17,141.866526,43.469861
字花月,樺戸郡新十津川町,464-11,141.865974,43.469369
字花月,樺戸郡新十津川町,464-10,141.865674,43.469512
字花月,樺戸郡新十津川町,464-9,141.864978,43.469642
字花月,樺戸郡新十津川町,447-5,141.864705,43.470603
字花月,樺戸郡新十津川町,447-2,141.865713,43.470662
字花月,樺戸郡新十津川町,447-15,141.866139,43.470297
字花月,樺戸郡新十津川町,447-14,141.866121,43.470305
字花月,樺戸郡新十津川町,447-11,141.86669,43.47016
字花月,樺戸郡新十津川町,447-10,141.866395,43.470647
字花月,樺戸郡新十津川町,447-8,141.86657,43.470656
字花月,樺戸郡新十津川町,447-4,141.867057,43.470599
字花月,樺戸郡新十津川町,586,141.867706,43.470115
字花月,樺戸郡新十津川町,587-1,141.867613,43.469174
字花月,樺戸郡新十津川町,584-6,141.868463,43.47123
字花月,樺戸郡新十津川町,584-7,141.867631,43.472194
字花月,樺戸郡新十津川町,584-5,141.868375,43.470499
字花月,樺戸郡新十津川町,447-12,141.867132,43.471178
字花月,樺戸郡新十津川町,447-9,141.866502,43.470867
字花月,樺戸郡新十津川町,447-3,141.864804,43.471231
字花月,樺戸郡新十津川町,447-1,141.864641,43.471859
字花月,樺戸郡新十津川町,447-13,141.86486,43.472007
字花月,樺戸郡新十津川町,447-16,141.864957,43.472043
字花月,樺戸郡新十津川町,585-8,141.865521,43.472101
字花月,樺戸郡新十津川町,585-7,141.865943,43.472338
字花月,樺戸郡新十津川町,585-9,141.866758,43.471978
字花月,樺戸郡新十津川町,585-11,141.866102,43.47309
字花月,樺戸郡新十津川町,585-10,141.866291,43.473277
字花月,樺戸郡新十津川町,585-12,141.865998,43.472784
字花月,樺戸郡新十津川町,450-12,141.864381,43.472767
字花月,樺戸郡新十津川町,450-11,141.865611,43.474331
字花月,樺戸郡新十津川町,450-4,141.864771,43.47325
字花月,樺戸郡新十津川町,585-13,141.865494,43.472946
字花月,樺戸郡新十津川町,585-5,141.86546,43.473469
字花月,樺戸郡新十津川町,450-3,141.864908,43.473543
字花月,樺戸郡新十津川町,450-8,141.864668,43.47376
字花月,樺戸郡新十津川町,450-18,141.86457,43.473879
字花月,樺戸郡新十津川町,448-4,141.865048,43.47396
字花月,樺戸郡新十津川町,585-6,141.86597,43.4736
字花月,樺戸郡新十津川町,584-1,141.867336,43.473342
字花月,樺戸郡新十津川町,584-3,141.868161,43.472883
字花月,樺戸郡新十津川町,584-4,141.868568,43.472841
字花月,樺戸郡新十津川町,584-2,141.868491,43.473698
字花月,樺戸郡新十津川町,585-3,141.866433,43.474803
字花月,樺戸郡新十津川町,585-4,141.866197,43.474288
字花月,樺戸郡新十津川町,448-5,141.865304,43.474507
字花月,樺戸郡新十津川町,448-11,141.865545,43.475139
字花月,樺戸郡新十津川町,448-10,141.865745,43.47517
字花月,樺戸郡新十津川町,448-7,141.865085,43.475245
字花月,樺戸郡新十津川町,448-3,141.864418,43.474953
字花月,樺戸郡新十津川町,448-6,141.86476,43.475492
字花月,樺戸郡新十津川町,583-4,141.86639,43.475586
字花月,樺戸郡新十津川町,583-5,141.866237,43.475387
字花月,樺戸郡新十津川町,595-8,141.866459,43.475316
字花月,樺戸郡新十津川町,長狭物不明-1,141.866576,43.475185
字花月,樺戸郡新十津川町,585-2,141.866865,43.474949
字花月,樺戸郡新十津川町,585-1,141.866168,43.475116
字花月,樺戸郡新十津川町,595-6,141.866712,43.475923
字花月,樺戸郡新十津川町,583-1,141.866579,43.476059
字花月,樺戸郡新十津川町,583-3,141.866586,43.476184
字花月,樺戸郡新十津川町,583-2,141.866655,43.476248
字花月,樺戸郡新十津川町,376-11,141.86589,43.476639
字花月,樺戸郡新十津川町,376-12,141.866235,43.476091
字花月,樺戸郡新十津川町,376-1,141.864485,43.475963
字花月,樺戸郡新十津川町,376-4,141.864215,43.477093
字花月,樺戸郡新十津川町,376-10,141.86497,43.477171
字花月,樺戸郡新十津川町,376-8,141.865061,43.476669
字花月,樺戸郡新十津川町,376-9,141.864838,43.477367
字花月,樺戸郡新十津川町,582-5,141.86527,43.477406
字花月,樺戸郡新十津川町,595-5,141.866971,43.477659
字花月,樺戸郡新十津川町,582-1,141.866373,43.477359
字花月,樺戸郡新十津川町,373-9,141.865101,43.477455
字花月,樺戸郡新十津川町,373-6,141.864974,43.478215
