小字名,市区町村名,地番,center_lng,center_lat
字晩生内,樺戸郡浦臼町,233-435,141.79997,43.384786
字晩生内,樺戸郡浦臼町,233-436,141.799619,43.384627
字晩生内,樺戸郡浦臼町,233-425,141.799876,43.384855
字晩生内,樺戸郡浦臼町,233-424,141.799911,43.384828
字晩生内,樺戸郡浦臼町,233-288,141.800076,43.38485
字晩生内,樺戸郡浦臼町,233-416,141.800108,43.384779
字晩生内,樺戸郡浦臼町,233-417,141.800461,43.38486
字晩生内,樺戸郡浦臼町,233-415,141.800803,43.384943
字晩生内,樺戸郡浦臼町,233-413,141.801704,43.385183
字晩生内,樺戸郡浦臼町,233-412,141.801415,43.385278
字晩生内,樺戸郡浦臼町,233-174,141.801585,43.385501
字晩生内,樺戸郡浦臼町,233-364,141.801423,43.385746
字晩生内,樺戸郡浦臼町,233-39,141.800974,43.385253
字晩生内,樺戸郡浦臼町,233-175,141.800862,43.385726
字晩生内,樺戸郡浦臼町,233-64,141.800523,43.385323
字晩生内,樺戸郡浦臼町,233-411,141.801133,43.385065
字晩生内,樺戸郡浦臼町,233-287,141.800424,43.385065
字晩生内,樺戸郡浦臼町,233-289,141.800235,43.384972
字晩生内,樺戸郡浦臼町,233-363,141.800322,43.385432
字晩生内,樺戸郡浦臼町,233-362,141.800265,43.38539
字晩生内,樺戸郡浦臼町,233-365,141.799231,43.386493
字晩生内,樺戸郡浦臼町,233-14,141.801343,43.386086
字晩生内,樺戸郡浦臼町,233-173,141.801884,43.385577
字晩生内,樺戸郡浦臼町,233-168,141.802111,43.385439
字晩生内,樺戸郡浦臼町,233-414,141.801918,43.385279
字晩生内,樺戸郡浦臼町,233-401,141.802088,43.385295
字晩生内,樺戸郡浦臼町,233-423,141.802383,43.385537
字晩生内,樺戸郡浦臼町,233-432,141.802384,43.385447
字晩生内,樺戸郡浦臼町,233-420,141.803065,43.38572
字晩生内,樺戸郡浦臼町,233-409,141.803137,43.385675
字晩生内,樺戸郡浦臼町,233-422,141.803455,43.385736
字晩生内,樺戸郡浦臼町,233-444,141.803651,43.385787
字晩生内,樺戸郡浦臼町,233-421,141.803724,43.385973
字晩生内,樺戸郡浦臼町,233-428,141.803062,43.385762
字晩生内,樺戸郡浦臼町,233-57,141.804723,43.386694
字晩生内,樺戸郡浦臼町,233-410,141.803967,43.385935
字晩生内,樺戸郡浦臼町,233-429,141.805868,43.386648
字晩生内,樺戸郡浦臼町,233-370,141.807332,43.387442
字晩生内,樺戸郡浦臼町,233-371,141.807134,43.387336
字晩生内,樺戸郡浦臼町,233-402,141.80689,43.387186
字晩生内,樺戸郡浦臼町,233-403,141.806446,43.386971
字晩生内,樺戸郡浦臼町,233-434,141.806161,43.386811
字晩生内,樺戸郡浦臼町,233-419,141.805916,43.386759
字晩生内,樺戸郡浦臼町,233-433,141.805882,43.38673
字晩生内,樺戸郡浦臼町,233-427,141.80585,43.386785
字晩生内,樺戸郡浦臼町,233-418,141.806034,43.386801
字晩生内,樺戸郡浦臼町,233-426,141.806038,43.386871
字晩生内,樺戸郡浦臼町,233-158,141.806494,43.387146
字晩生内,樺戸郡浦臼町,233-346,141.807048,43.388286
字晩生内,樺戸郡浦臼町,233-23,141.805829,43.387758
字晩生内,樺戸郡浦臼町,233-50,141.807219,43.387986
字晩生内,樺戸郡浦臼町,233-332,141.807248,43.387524
字晩生内,樺戸郡浦臼町,233-331,141.80743,43.387657
字晩生内,樺戸郡浦臼町,233-367,141.807687,43.387636
字晩生内,樺戸郡浦臼町,233-25,141.807698,43.387774
字晩生内,樺戸郡浦臼町,233-368,141.80786,43.387798
字晩生内,樺戸郡浦臼町,233-162,141.807781,43.387882
字晩生内,樺戸郡浦臼町,233-24,141.807653,43.387981
字晩生内,樺戸郡浦臼町,233-377,141.807821,43.38826
字晩生内,樺戸郡浦臼町,233-374,141.80774,43.388564
字晩生内,樺戸郡浦臼町,233-378,141.807541,43.388525
字晩生内,樺戸郡浦臼町,232-575,141.807339,43.38915
字晩生内,樺戸郡浦臼町,233-384,141.80738,43.388836
字晩生内,樺戸郡浦臼町,233-159,141.807682,43.388758
字晩生内,樺戸郡浦臼町,232-469,141.80767,43.388983
字晩生内,樺戸郡浦臼町,232-572,141.807563,43.389155
字晩生内,樺戸郡浦臼町,232-552,141.807371,43.389222
字晩生内,樺戸郡浦臼町,232-554,141.807278,43.389245
字晩生内,樺戸郡浦臼町,232-577,141.807234,43.38919
字晩生内,樺戸郡浦臼町,232-573,141.807282,43.389182
字晩生内,樺戸郡浦臼町,232-576,141.807305,43.389149
字晩生内,樺戸郡浦臼町,232-565,141.80729,43.389124
字晩生内,樺戸郡浦臼町,232-566,141.807255,43.389137
字晩生内,樺戸郡浦臼町,232-567,141.806581,43.389431
字晩生内,樺戸郡浦臼町,232-553,141.806715,43.389325
字晩生内,樺戸郡浦臼町,232-596,141.805909,43.389614
字晩生内,樺戸郡浦臼町,233-397,141.805978,43.389377
字晩生内,樺戸郡浦臼町,233-381,141.806242,43.389277
字晩生内,樺戸郡浦臼町,233-372,141.806046,43.389168
字晩生内,樺戸郡浦臼町,233-383,141.805862,43.388875
字晩生内,樺戸郡浦臼町,233-380,141.807238,43.388879
字晩生内,樺戸郡浦臼町,233-382,141.806564,43.388781
字晩生内,樺戸郡浦臼町,233-345,141.805294,43.388295
字晩生内,樺戸郡浦臼町,233-445,141.80571,43.389297
字晩生内,樺戸郡浦臼町,232-595,141.805796,43.389654
字晩生内,樺戸郡浦臼町,233-386,141.805196,43.389644
字晩生内,樺戸郡浦臼町,233-387,141.805172,43.389635
字晩生内,樺戸郡浦臼町,232-581,141.80516,43.389882
字晩生内,樺戸郡浦臼町,233-120,141.804534,43.389899
字晩生内,樺戸郡浦臼町,233-394,141.804511,43.38989
字晩生内,樺戸郡浦臼町,233-139,141.803847,43.388814
字晩生内,樺戸郡浦臼町,233-437,141.804545,43.388573
字晩生内,樺戸郡浦臼町,233-344,141.80394,43.387631
字晩生内,樺戸郡浦臼町,233-343,141.804057,43.387812
字晩生内,樺戸郡浦臼町,233-130,141.804135,43.387532
字晩生内,樺戸郡浦臼町,233-22,141.80451,43.387483
字晩生内,樺戸郡浦臼町,233-75,141.805062,43.388012
字晩生内,樺戸郡浦臼町,233-251,141.805232,43.387019
字晩生内,樺戸郡浦臼町,233-181,141.805205,43.386986
字晩生内,樺戸郡浦臼町,233-356,141.804132,43.386618
字晩生内,樺戸郡浦臼町,233-56,141.803518,43.386829
字晩生内,樺戸郡浦臼町,233-48,141.803679,43.387861
字晩生内,樺戸郡浦臼町,233-80,141.802906,43.387842
字晩生内,樺戸郡浦臼町,233-112,141.802891,43.387809
字晩生内,樺戸郡浦臼町,233-182,141.802017,43.387745
字晩生内,樺戸郡浦臼町,233-342,141.802797,43.389853
字晩生内,樺戸郡浦臼町,233-353,141.801841,43.38741
字晩生内,樺戸郡浦臼町,233-190,141.802035,43.387155
字晩生内,樺戸郡浦臼町,233-354,141.802204,43.387298
字晩生内,樺戸郡浦臼町,233-355,141.802642,43.386666
字晩生内,樺戸郡浦臼町,233-55,141.801417,43.386754
字晩生内,樺戸郡浦臼町,233-37,141.801611,43.387311
字晩生内,樺戸郡浦臼町,233-352,141.801473,43.387802
字晩生内,樺戸郡浦臼町,233-78,141.799725,43.386973
字晩生内,樺戸郡浦臼町,233-109,141.800353,43.387296
字晩生内,樺戸郡浦臼町,233-366,141.800425,43.387751
字晩生内,樺戸郡浦臼町,233-36,141.800714,43.388204
字晩生内,樺戸郡浦臼町,233-293,141.800385,43.388708
字晩生内,樺戸郡浦臼町,233-295,141.800503,43.388705
字晩生内,樺戸郡浦臼町,233-340,141.801098,43.389827
字晩生内,樺戸郡浦臼町,233-46,141.801757,43.389551
