市区町村名,地番,大字名,丁目名,center_lng,center_lat
江別市,459-4,西野幌,,141.558028,43.022876
江別市,459-1,西野幌,,141.558193,43.023129
江別市,458-1,西野幌,,141.557734,43.023368
江別市,457-1,西野幌,,141.557967,43.023389
江別市,459-5,西野幌,,141.558516,43.023379
江別市,459-2,西野幌,,141.558637,43.023138
江別市,459-6,西野幌,,141.558525,43.023129
江別市,460-2,西野幌,,141.558683,43.02301
江別市,460-3,西野幌,,141.558621,43.023005
江別市,459-3,西野幌,,141.558568,43.023028
江別市,624-14,東野幌,,141.558966,43.02304
江別市,624-15,東野幌,,141.559001,43.023089
江別市,624-12,東野幌,,141.558995,43.02313
江別市,623-11,東野幌,,141.558928,43.023169
江別市,620-4,東野幌,,141.5589,43.023145
江別市,620-6,東野幌,,141.558971,43.023357
江別市,624-13,東野幌,,141.560808,43.023712
江別市,624-10,東野幌,,141.560301,43.023941
江別市,623-5,東野幌,,141.561541,43.024282
江別市,620-1,東野幌,,141.559168,43.023843
江別市,617-5,東野幌,,141.559926,43.024559
江別市,617-3,東野幌,,141.559696,43.024779
江別市,624-2,東野幌,,141.559974,43.02354
江別市,620-3,東野幌,,141.559528,43.023782
江別市,624-11,東野幌,,141.559515,43.023548
江別市,620-5,東野幌,,141.558768,43.023613
江別市,456-8,西野幌,,141.558346,43.023863
江別市,456-2,西野幌,,141.558438,43.0237
江別市,458-3,西野幌,,141.55845,43.023582
江別市,458-2,西野幌,,141.558475,43.023597
江別市,457-3,西野幌,,141.558486,43.023466
江別市,457-2,西野幌,,141.558514,43.023488
江別市,454-10,西野幌,,141.558295,43.024003
江別市,454-7,西野幌,,141.558226,43.024266
江別市,454-6,西野幌,,141.557804,43.02417
江別市,618-2,東野幌,,141.558426,43.024507
江別市,617-6,東野幌,,141.558505,43.024303
江別市,619-2,東野幌,,141.558582,43.024101
江別市,617-1,東野幌,,141.558703,43.024327
江別市,619-1,東野幌,,141.558899,43.024172
江別市,618-1,東野幌,,141.55943,43.024745
江別市,611-7,東野幌,,141.558469,43.025069
江別市,611-3,東野幌,,141.558406,43.024788
江別市,611-6,東野幌,,141.558347,43.024712
江別市,454-8,西野幌,,141.557966,43.024954
江別市,454-9,西野幌,,141.557931,43.024967
江別市,451-3,西野幌,,141.557949,43.024919
江別市,451-2,西野幌,,141.558061,43.024694
江別市,454-4,西野幌,,141.557733,43.024927
江別市,449-4,西野幌,,141.557736,43.025483
江別市,449-3,西野幌,,141.557931,43.02505
江別市,611-5,東野幌,,141.558223,43.025063
江別市,610-1,東野幌,,141.558198,43.025407
江別市,610-2,東野幌,,141.55818,43.025175
江別市,447-3,西野幌,,141.557716,43.025536
