小字名,市区町村名,地番,大字名,center_lng,center_lat
字旭,沙流郡平取町,水-1144,,142.360384,42.61953
字旭,沙流郡平取町,水-1145,,142.355228,42.620848
字旭,沙流郡平取町,100-3,,142.355324,42.624248
字旭,沙流郡平取町,100-5,,142.353454,42.624675
字旭,沙流郡平取町,100-4,,142.353231,42.624785
字旭,沙流郡平取町,116-1,,142.358267,42.62565
字旭,沙流郡平取町,116-5,,142.360988,42.624959
字旭,沙流郡平取町,116-8,,142.361049,42.625182
字旭,沙流郡平取町,116-3,,142.360927,42.625254
字旭,沙流郡平取町,116-6,,142.361085,42.625613
字旭,沙流郡平取町,116-7,,142.360545,42.625731
字旭,沙流郡平取町,117-5,,142.36098,42.626594
字旭,沙流郡平取町,117-7,,142.360813,42.627046
字旭,沙流郡平取町,117-8,,142.359724,42.629391
字旭,沙流郡平取町,100-1,,142.353228,42.63592
字旭,沙流郡平取町,99-3,,142.335618,42.633035
字旭,沙流郡平取町,99-1,,142.335112,42.63308
字旭,沙流郡平取町,99-2,,142.335523,42.632737
字旭,沙流郡平取町,99-6,,142.336076,42.632232
字旭,沙流郡平取町,99-7,,142.335947,42.631879
字旭,沙流郡平取町,99-8,,142.335875,42.631664
字旭,沙流郡平取町,99-5,,142.335779,42.632392
字旭,沙流郡平取町,99-4,,142.335866,42.632767
字旭,沙流郡平取町,99-9,,142.337188,42.631603
字旭,沙流郡平取町,99-10,,142.337265,42.631444
字旭,沙流郡平取町,99-11,,142.337085,42.631294
字旭,沙流郡平取町,99-12,,142.336787,42.630887
字旭,沙流郡平取町,99-13,,142.336099,42.6312
字旭,沙流郡平取町,100-2,,142.342192,42.623422
字旭,沙流郡平取町,98-12,,142.334667,42.633864
字旭,沙流郡平取町,98-11,,142.334519,42.63365
字旭,沙流郡平取町,98-13,,142.334651,42.634153
字旭,沙流郡平取町,98-8,,142.334721,42.635389
字旭,沙流郡平取町,98-9,,142.334606,42.634998
字旭,沙流郡平取町,98-10,,142.333951,42.634901
字貫気別,沙流郡平取町,213-3,,142.267324,42.626236
字旭,沙流郡平取町,92-18,,142.30497,42.648075
字旭,沙流郡平取町,長狭物不明-1666,,142.303758,42.650453
