市区町村名,地番,大字名,丁目名,center_lng,center_lat
河西郡芽室町,33-2,栄一線,,143.074209,42.807631
河西郡芽室町,36-7,栄一線,,143.073999,42.807536
河西郡芽室町,17-1,上伏古五線,,143.03363,42.788952
河西郡芽室町,17-2,上伏古五線,,143.033366,42.788686
河西郡芽室町,18-5,上伏古五線,,143.031988,42.78878
河西郡芽室町,20-1,上伏古五線,,143.031973,42.787446
河西郡芽室町,18-3,上伏古五線,,143.032308,42.787788
河西郡芽室町,20-3,上伏古五線,,143.031414,42.787773
河西郡芽室町,18-4,上伏古五線,,143.030615,42.788269
河西郡芽室町,20-5,上伏古五線,,143.029453,42.787702
河西郡芽室町,水-1,上伏古五線,,143.029231,42.786971
河西郡芽室町,21-4,上伏古六線,,143.028437,42.786863
河西郡芽室町,20-2,上伏古五線,,143.028809,42.787347
河西郡芽室町,19-1,上伏古六線,,143.027891,42.788174
河西郡芽室町,水-2,上伏古六線,,143.02623,42.786437
河西郡芽室町,21-2,上伏古六線,,143.027247,42.786673
河西郡芽室町,23-4,上伏古六線,,143.024751,42.78662
河西郡芽室町,21-7,上伏古六線,,143.026187,42.786834
河西郡芽室町,21-1,上伏古六線,,143.025649,42.78758
河西郡芽室町,19-3,上伏古六線,,143.026513,42.788805
河西郡芽室町,19-6,上伏古六線,,143.025821,42.78849
河西郡芽室町,19-5,上伏古六線,,143.025923,42.788657
河西郡芽室町,19-7,上伏古六線,,143.02607,42.789048
河西郡芽室町,19-2,上伏古六線,,143.025745,42.788972
河西郡芽室町,20-4,上伏古六線,,143.025588,42.78903
河西郡芽室町,19-4,上伏古六線,,143.0252,42.788222
河西郡芽室町,21-3,上伏古六線,,143.025023,42.787772
河西郡芽室町,21-5,上伏古六線,,143.026426,42.786784
河西郡芽室町,23-3,上伏古六線,,143.024877,42.787074
河西郡芽室町,23-15,上伏古六線,,143.02467,42.7869
河西郡芽室町,23-6,上伏古六線,,143.024495,42.786886
河西郡芽室町,23-5,上伏古六線,,143.024209,42.786767
河西郡芽室町,23-10,上伏古六線,,143.024032,42.786855
河西郡芽室町,23-12,上伏古六線,,143.023556,42.787187
河西郡芽室町,23-2,上伏古六線,,143.024202,42.787197
河西郡芽室町,21-6,上伏古六線,,143.024785,42.787372
河西郡芽室町,22-2,上伏古六線,,143.024831,42.787765
河西郡芽室町,22-1,上伏古六線,,143.02331,42.788272
河西郡芽室町,23-1,上伏古六線,,143.023444,42.787533
河西郡芽室町,23-16,上伏古六線,,143.023373,42.787356
河西郡芽室町,23-14,上伏古六線,,143.02369,42.787187
河西郡芽室町,22-5,上伏古六線,,143.021505,42.787747
河西郡芽室町,22-4,上伏古六線,,143.021769,42.787879
河西郡芽室町,22-3,上伏古六線,,143.02231,42.78789
河西郡芽室町,21-2,上伏古七線,,143.021131,42.788994
河西郡芽室町,21-21,上伏古七線,,143.020776,42.788509
河西郡芽室町,24,上伏古六線,,143.02111,42.787361
河西郡芽室町,水-3,上伏古六線,,143.021015,42.787119
河西郡芽室町,23-3,上伏古七線,,143.019602,42.787587
河西郡芽室町,21-7,上伏古七線,,143.020963,42.787924
河西郡芽室町,21-15,上伏古七線,,143.020022,42.788464
河西郡芽室町,21-4,上伏古七線,,143.019197,42.788917
河西郡芽室町,21-3,上伏古七線,,143.018611,42.788659
河西郡芽室町,21-17,上伏古七線,,143.018374,42.788668
河西郡芽室町,21-11,上伏古七線,,143.018295,42.78867
河西郡芽室町,21-18,上伏古七線,,143.018612,42.788963
河西郡芽室町,23-1,上伏古七線,,143.01809,42.788563
河西郡芽室町,23-5,上伏古七線,,143.017988,42.788333
河西郡芽室町,23-2,上伏古七線,,143.018241,42.787732
河西郡芽室町,23-6,上伏古七線,,143.018022,42.786899
河西郡芽室町,33-9,上伏古八線,,143.00718,42.781954
河西郡芽室町,33-2,上伏古八線,,143.007793,42.781626
河西郡芽室町,33-5,上伏古八線,,143.008539,42.781634
河西郡芽室町,33-10,上伏古八線,,143.007696,42.781504
河西郡芽室町,33-4,上伏古八線,,143.008148,42.782744
河西郡芽室町,33-1,上伏古八線,,143.007417,42.782754
河西郡芽室町,31-8,上伏古八線,,143.008266,42.783192
河西郡芽室町,31-9,上伏古八線,,143.008881,42.782467
河西郡芽室町,31-5,上伏古八線,,143.008242,42.782953
河西郡芽室町,31-7,上伏古八線,,143.008498,42.782752
河西郡芽室町,31-15,上伏古八線,,143.008349,42.784309
河西郡芽室町,31-18,上伏古八線,,143.007884,42.784201
河西郡芽室町,31-14,上伏古八線,,143.008025,42.784195
河西郡芽室町,32-13,上伏古八線,,143.00787,42.784351
河西郡芽室町,31-6,上伏古八線,,143.007769,42.783277
河西郡芽室町,32-2,上伏古八線,,143.007274,42.78407
河西郡芽室町,32-4,上伏古八線,,143.007052,42.78422
河西郡芽室町,32-12,上伏古八線,,143.006108,42.783707
河西郡芽室町,32-3,上伏古八線,,143.007018,42.783546
河西郡芽室町,31-19,上伏古八線,,143.006943,42.78264
河西郡芽室町,34-7,上伏古八線,,143.006053,42.78209
河西郡芽室町,34-1,上伏古八線,,143.006039,42.782938
河西郡芽室町,34-5,上伏古八線,,143.004635,42.78344
河西郡芽室町,34-3,上伏古八線,,143.004272,42.783811
河西郡芽室町,36-4,上伏古八線,,143.003819,42.781843
河西郡芽室町,36-2,上伏古八線,,143.004679,42.781628
河西郡芽室町,36-6,上伏古八線,,143.004236,42.781533
河西郡芽室町,36-3,上伏古八線,,143.004176,42.781411
河西郡芽室町,31-20,上伏古八線,,143.006192,42.781394
河西郡芽室町,水-7,上伏古八線,,143.003953,42.781129
河西郡芽室町,37-2,上伏古九線,,142.999851,42.781398
河西郡芽室町,35-4,上伏古九線,,142.999534,42.781972
河西郡芽室町,水-8,上伏古九線,,143.000037,42.781808
河西郡芽室町,35-2,上伏古九線,,143.002088,42.781418
河西郡芽室町,35-1,上伏古九線,,143.002295,42.782127
河西郡芽室町,35-3,上伏古九線,,143.000489,42.782796
河西郡芽室町,31-5,上伏古九線,,143.000518,42.784336
河西郡芽室町,33,上伏古九線,,143.002131,42.783864
河西郡芽室町,36-5,上伏古八線,,143.003195,42.78229
河西郡芽室町,36-1,上伏古八線,,143.003604,42.782334
河西郡芽室町,34-6,上伏古八線,,143.003722,42.782704
河西郡芽室町,34-2,上伏古八線,,143.003896,42.783343
河西郡芽室町,31-1,上伏古九線,,143.003031,42.785358
