小字名,市区町村名,地番,center_lng,center_lat
字奥沢,瀬棚郡今金町,28-9,140.111233,42.383036
字奥沢,瀬棚郡今金町,27-2,140.111627,42.383256
字奥沢,瀬棚郡今金町,28-4,140.110554,42.383434
字奥沢,瀬棚郡今金町,27-6,140.11083,42.383499
字奥沢,瀬棚郡今金町,28-5,140.110025,42.38375
字稲穂,瀬棚郡今金町,293-182,140.0745,42.395045
字稲穂,瀬棚郡今金町,293-181W2,140.075154,42.394469
字稲穂,瀬棚郡今金町,283-1W2,140.080737,42.396015
字住吉,瀬棚郡今金町,429-5,140.096103,42.394741
字住吉,瀬棚郡今金町,429-6,140.096359,42.394545
字住吉,瀬棚郡今金町,429-3,140.097552,42.395084
字住吉,瀬棚郡今金町,429-1,140.097447,42.39556
字住吉,瀬棚郡今金町,429-2,140.097691,42.395286
字住吉,瀬棚郡今金町,428-4,140.098754,42.395132
字住吉,瀬棚郡今金町,428-3,140.097987,42.395668
字住吉,瀬棚郡今金町,428-2,140.099234,42.395879
字住吉,瀬棚郡今金町,428-1,140.099711,42.39668
字住吉,瀬棚郡今金町,423-2,140.100353,42.396695
字住吉,瀬棚郡今金町,421-4,140.100883,42.396393
字住吉,瀬棚郡今金町,423-1,140.100441,42.39623
字住吉,瀬棚郡今金町,421-7,140.101834,42.396531
字住吉,瀬棚郡今金町,421-10,140.101832,42.395207
字住吉,瀬棚郡今金町,421-1,140.100961,42.395245
字住吉,瀬棚郡今金町,424,140.10063,42.395768
字住吉,瀬棚郡今金町,427-1,140.100079,42.395414
字住吉,瀬棚郡今金町,421-6,140.100739,42.394868
字住吉,瀬棚郡今金町,425-2,140.100608,42.394925
字住吉,瀬棚郡今金町,425-3,140.100623,42.395006
字住吉,瀬棚郡今金町,421-3,140.100777,42.39491
字住吉,瀬棚郡今金町,431-1,140.102226,42.39449
字住吉,瀬棚郡今金町,425-1,140.0995,42.393962
字住吉,瀬棚郡今金町,427-3,140.09949,42.394693
字住吉,瀬棚郡今金町,427-2,140.099658,42.395032
字住吉,瀬棚郡今金町,426,140.098738,42.394689
字住吉,瀬棚郡今金町,428-5,140.09843,42.395014
字住吉,瀬棚郡今金町,429-4,140.097037,42.394427
字住吉,瀬棚郡今金町,430-1,140.098403,42.393959
字住吉,瀬棚郡今金町,431-4,140.097131,42.392818
字住吉,瀬棚郡今金町,331-1,140.100877,42.391234
字住吉,瀬棚郡今金町,331-5,140.101628,42.391837
字住吉,瀬棚郡今金町,334,140.099618,42.390576
字住吉,瀬棚郡今金町,333-1,140.099413,42.390212
字住吉,瀬棚郡今金町,333-4,140.098801,42.390324
字住吉,瀬棚郡今金町,335-1,140.099694,42.391244
字住吉,瀬棚郡今金町,335-2,140.098058,42.391351
字住吉,瀬棚郡今金町,560,140.098271,42.390825
字奥沢,瀬棚郡今金町,4,140.096311,42.391272
字住吉,瀬棚郡今金町,430-2,140.096734,42.393556
字奥沢,瀬棚郡今金町,7-2,140.095892,42.390074
字奥沢,瀬棚郡今金町,6-4,140.097211,42.388797
字奥沢,瀬棚郡今金町,7-3,140.095571,42.389984
字奥沢,瀬棚郡今金町,水-35,140.09948,42.38746
字奥沢,瀬棚郡今金町,6-3,140.099292,42.386772
字奥沢,瀬棚郡今金町,42-1W2,140.09921,42.386379
字奥沢,瀬棚郡今金町,8-4,140.101515,42.386293
字奥沢,瀬棚郡今金町,8-5,140.101412,42.386347
字奥沢,瀬棚郡今金町,8-3,140.100331,42.386651
字奥沢,瀬棚郡今金町,8-2,140.099863,42.387068
字奥沢,瀬棚郡今金町,8-1,140.099776,42.387498
字奥沢,瀬棚郡今金町,9-3,140.100973,42.387044
字奥沢,瀬棚郡今金町,9-13,140.101467,42.386995
字奥沢,瀬棚郡今金町,8-6,140.101314,42.38642
字奥沢,瀬棚郡今金町,8-7,140.101264,42.386447
字奥沢,瀬棚郡今金町,156,140.101324,42.386444
字奥沢,瀬棚郡今金町,157,140.10144,42.386403
字奥沢,瀬棚郡今金町,158,140.101293,42.386511
字奥沢,瀬棚郡今金町,9-10,140.101429,42.386671
字奥沢,瀬棚郡今金町,9-9,140.101504,42.386509
字奥沢,瀬棚郡今金町,9-1,140.101739,42.3867
字奥沢,瀬棚郡今金町,9-11,140.101549,42.386542
字奥沢,瀬棚郡今金町,10-4,140.101582,42.386469
字奥沢,瀬棚郡今金町,9-12,140.101843,42.386772
字奥沢,瀬棚郡今金町,9-8,140.101518,42.386986
字奥沢,瀬棚郡今金町,9-6,140.101513,42.387121
字奥沢,瀬棚郡今金町,9-4,140.100728,42.38777
字奥沢,瀬棚郡今金町,5-4,140.099943,42.387909
字奥沢,瀬棚郡今金町,9-5,140.100116,42.387635
字奥沢,瀬棚郡今金町,9-7,140.100765,42.387482
字奥沢,瀬棚郡今金町,6-1,140.098617,42.387441
字奥沢,瀬棚郡今金町,7-1,140.098127,42.38664
字奥沢,瀬棚郡今金町,5-1,140.098142,42.388689
字奥沢,瀬棚郡今金町,6-5,140.096559,42.389276
字住吉,瀬棚郡今金町,312-31,140.099421,42.389858
字住吉,瀬棚郡今金町,333-3,140.100322,42.390064
字住吉,瀬棚郡今金町,312-1,140.100843,42.389903
字住吉,瀬棚郡今金町,312-21,140.100425,42.389661
字住吉,瀬棚郡今金町,312-3,140.100743,42.389162
字住吉,瀬棚郡今金町,318,140.100306,42.389358
字住吉,瀬棚郡今金町,312-23,140.102057,42.389182
字住吉,瀬棚郡今金町,312-22,140.1006,42.389215
