小字名,市区町村名,地番,大字名,丁目名,center_lng,center_lat
字峠下,留萌市,3672,大字留萌村,,141.836017,43.852335
字峠下,留萌市,3673,大字留萌村,,141.833224,43.85232
字峠下,留萌市,3674,大字留萌村,,141.830594,43.853657
字峠下,留萌市,2021-6,大字留萌村,,141.830013,43.852267
字峠下,留萌市,2020-10,大字留萌村,,141.822588,43.851469
字峠下,留萌市,3818,大字留萌村,,141.824622,43.851693
字峠下,留萌市,3819,大字留萌村,,141.825809,43.851643
字峠下,留萌市,2020-11,大字留萌村,,141.825819,43.851887
字峠下,留萌市,3817,大字留萌村,,141.823422,43.851553
字峠下,留萌市,2020-1,大字留萌村,,141.825014,43.851958
字峠下,留萌市,3700-1,大字留萌村,,141.822789,43.851765
字峠下,留萌市,3868,大字留萌村,,141.822864,43.852103
字峠下,留萌市,2020-7,大字留萌村,,141.826228,43.851714
字峠下,留萌市,2020-13,大字留萌村,,141.826742,43.852055
字峠下,留萌市,3820,大字留萌村,,141.826612,43.852238
字峠下,留萌市,2020-9,大字留萌村,,141.82745,43.852673
字峠下,留萌市,3753,大字留萌村,,141.827676,43.852756
字峠下,留萌市,2023-7,大字留萌村,,141.828435,43.852782
字峠下,留萌市,2023-8,大字留萌村,,141.828763,43.852893
字峠下,留萌市,2021-1,大字留萌村,,141.828266,43.852454
字峠下,留萌市,3821,大字留萌村,,141.828439,43.852265
字峠下,留萌市,2021-4,大字留萌村,,141.82907,43.852257
字峠下,留萌市,2021-5,大字留萌村,,141.829806,43.852267
字峠下,留萌市,2021-3,大字留萌村,,141.829191,43.85232
字峠下,留萌市,3822,大字留萌村,,141.829058,43.852425
字峠下,留萌市,2022-1,大字留萌村,,141.829776,43.852991
字峠下,留萌市,2023-3,大字留萌村,,141.829005,43.853084
字峠下,留萌市,2021-2,大字留萌村,,141.829793,43.853555
字峠下,留萌市,2023-6,大字留萌村,,141.828122,43.852979
字峠下,留萌市,2023-1,大字留萌村,,141.828696,43.85328
字峠下,留萌市,1-6,大字留萌村,,141.832933,43.857082
字峠下,留萌市,3870,大字留萌村,,141.829977,43.854077
字峠下,留萌市,3824,大字留萌村,,141.830355,43.854179
字峠下,留萌市,2025-5,大字留萌村,,141.830768,43.85432
字峠下,留萌市,2025-4,大字留萌村,,141.831556,43.854748
字峠下,留萌市,2023-2,大字留萌村,,141.833386,43.855944
字峠下,留萌市,3869,大字留萌村,,141.831906,43.855126
字峠下,留萌市,3825,大字留萌村,,141.83282,43.8551
字峠下,留萌市,3823,大字留萌村,,141.830425,43.853124
字峠下,留萌市,2025-1,大字留萌村,,141.831672,43.853823
字峠下,留萌市,2026,大字留萌村,,141.833766,43.854808
字峠下,留萌市,2027-10,大字留萌村,,141.833388,43.855427
字峠下,留萌市,2027-6,大字留萌村,,141.833219,43.855605
字峠下,留萌市,3749,大字留萌村,,141.832906,43.855715
字峠下,留萌市,3826,大字留萌村,,141.832915,43.855481
字峠下,留萌市,2029-1,大字留萌村,,141.833823,43.856807
字峠下,留萌市,3828,大字留萌村,,141.834764,43.856416
字峠下,留萌市,3748,大字留萌村,,141.833949,43.856158
字峠下,留萌市,2030-4,大字留萌村,,141.833836,43.856145
字峠下,留萌市,2027-2,大字留萌村,,141.833933,43.855986
字峠下,留萌市,2027-1,大字留萌村,,141.83435,43.856232
字峠下,留萌市,3827,大字留萌村,,141.834905,43.856385
字峠下,留萌市,2027-13,大字留萌村,,141.83481,43.855946
字峠下,留萌市,2027-8,大字留萌村,,141.83494,43.856782
字峠下,留萌市,2027-12,大字留萌村,,141.835226,43.857315
