市区町村名,地番,大字名,丁目名,center_lng,center_lat
白糠郡白糠町,3-7,恋問,３丁目,144.200891,42.993351
白糠郡白糠町,51,コイトイ,,144.196239,42.992615
白糠郡白糠町,3-6,恋問,３丁目,144.200621,42.993286
白糠郡白糠町,3-5,恋問,３丁目,144.200403,42.993101
白糠郡白糠町,3-4,恋問,３丁目,144.20008,42.993156
白糠郡白糠町,3-3,恋問,３丁目,144.199809,42.993091
白糠郡白糠町,3-2,恋問,３丁目,144.199593,42.992855
白糠郡白糠町,3-1,恋問,３丁目,144.198655,42.992765
白糠郡白糠町,2-10,恋問,３丁目,144.196949,42.992129
白糠郡白糠町,2-12,恋問,３丁目,144.19719,42.992171
白糠郡白糠町,2-21,恋問,３丁目,144.197341,42.992209
白糠郡白糠町,2-32,恋問,３丁目,144.197881,42.992361
白糠郡白糠町,2-31,恋問,３丁目,144.197692,42.992294
白糠郡白糠町,2-22,恋問,３丁目,144.197541,42.992258
白糠郡白糠町,2-30,恋問,３丁目,144.197639,42.992412
白糠郡白糠町,2-33,恋問,３丁目,144.197811,42.992498
白糠郡白糠町,2-34,恋問,３丁目,144.197757,42.992605
白糠郡白糠町,2-29,恋問,３丁目,144.19756,42.992555
白糠郡白糠町,2-28,恋問,３丁目,144.197507,42.992663
白糠郡白糠町,2-35,恋問,３丁目,144.197703,42.992715
白糠郡白糠町,2-36,恋問,３丁目,144.19765,42.992823
白糠郡白糠町,道-21,恋問,３丁目,144.197223,42.993013
白糠郡白糠町,2-4,恋問,３丁目,144.196753,42.992519
白糠郡白糠町,2-16,恋問,３丁目,144.19696,42.992639
白糠郡白糠町,2-15,恋問,３丁目,144.197012,42.99253
白糠郡白糠町,2-17,恋問,３丁目,144.197107,42.992677
白糠郡白糠町,2-26,恋問,３丁目,144.197288,42.992725
白糠郡白糠町,2-27,恋問,３丁目,144.197459,42.992772
白糠郡白糠町,2-25,恋問,３丁目,144.197357,42.992623
白糠郡白糠町,2-24,恋問,３丁目,144.197412,42.992514
白糠郡白糠町,2-18,恋問,３丁目,144.19716,42.992569
白糠郡白糠町,2-19,恋問,３丁目,144.197213,42.992458
白糠郡白糠町,2-11,恋問,３丁目,144.197351,42.992401
白糠郡白糠町,2-23,恋問,３丁目,144.197484,42.99237
白糠郡白糠町,2-20,恋問,３丁目,144.197285,42.992315
白糠郡白糠町,2-13,恋問,３丁目,144.197121,42.992271
白糠郡白糠町,2-14,恋問,３丁目,144.197059,42.992416
白糠郡白糠町,2-5,恋問,３丁目,144.196791,42.992446
白糠郡白糠町,2-6,恋問,３丁目,144.196826,42.992372
白糠郡白糠町,2-7,恋問,３丁目,144.196852,42.992318
白糠郡白糠町,2-8,恋問,３丁目,144.196873,42.992281
白糠郡白糠町,2-9,恋問,３丁目,144.196898,42.992225
白糠郡白糠町,2-3,恋問,３丁目,144.196691,42.992585
白糠郡白糠町,1-46,恋問,３丁目,144.196144,42.992958
白糠郡白糠町,1-52,恋問,３丁目,144.196663,42.992954
白糠郡白糠町,1-45,恋問,３丁目,144.195569,42.992808
白糠郡白糠町,2-2,恋問,３丁目,144.195214,42.991939
白糠郡白糠町,167-1,庶路,,144.222653,42.998508
白糠郡白糠町,1-43,恋問,３丁目,144.194675,42.992518
白糠郡白糠町,1-44,恋問,３丁目,144.195152,42.992698
白糠郡白糠町,1-42,恋問,３丁目,144.194289,42.992426
白糠郡白糠町,1-41,恋問,３丁目,144.19392,42.99237
白糠郡白糠町,1-40,恋問,３丁目,144.193627,42.992283
白糠郡白糠町,1-36,恋問,３丁目,144.192538,42.991984
白糠郡白糠町,1-37,恋問,３丁目,144.192738,42.992108
白糠郡白糠町,1-38,恋問,３丁目,144.193007,42.992108
白糠郡白糠町,1-48,恋問,３丁目,144.194092,42.992198
白糠郡白糠町,1-39,恋問,３丁目,144.193329,42.992201
白糠郡白糠町,2-1,恋問,３丁目,144.188527,42.990168
白糠郡白糠町,1-25,恋問,３丁目,144.187345,42.990466
白糠郡白糠町,2-37,恋問,３丁目,144.191283,42.991055
白糠郡白糠町,1-32,恋問,３丁目,144.191185,42.991646
白糠郡白糠町,1-33,恋問,３丁目,144.191568,42.991742
白糠郡白糠町,1-34,恋問,３丁目,144.191908,42.991827
白糠郡白糠町,50,コイトイ,,144.192533,42.991687
白糠郡白糠町,1-35,恋問,３丁目,144.192217,42.991931
白糠郡白糠町,1-30,恋問,３丁目,144.190352,42.991438
白糠郡白糠町,1-31,恋問,３丁目,144.190768,42.991542
白糠郡白糠町,1-29,恋問,３丁目,144.189985,42.991347
白糠郡白糠町,1-28,恋問,３丁目,144.189668,42.991269
白糠郡白糠町,1-27,恋問,３丁目,144.189353,42.991189
白糠郡白糠町,1-26,恋問,３丁目,144.189036,42.99111
