小字名,市区町村名,地番,center_lng,center_lat
字東奈井江,空知郡上砂川町,58-1,141.9844,43.41903
字上砂川,空知郡上砂川町,筆界未定地-1,142.024678,43.4606
字上砂川,空知郡上砂川町,65-110,142.013622,43.465868
字西山,空知郡上砂川町,43-6,142.014648,43.465506
字西山,空知郡上砂川町,43-5,142.014857,43.46565
字上砂川,空知郡上砂川町,65-109,142.017986,43.46539
字上砂川,空知郡上砂川町,65-113,142.015631,43.465239
字上砂川,空知郡上砂川町,65-149,142.016558,43.464399
字上砂川,空知郡上砂川町,65-150,142.018059,43.464856
字上砂川,空知郡上砂川町,65-52,142.016625,43.465707
字上砂川,空知郡上砂川町,65-54,142.014068,43.465513
字上砂川,空知郡上砂川町,65-140,142.018491,43.465578
字上砂川,空知郡上砂川町,65-112,142.018902,43.465742
字上砂川,空知郡上砂川町,65-134,142.019859,43.465618
字上砂川,空知郡上砂川町,65-105,142.019977,43.465966
字上砂川,空知郡上砂川町,65-132,142.020105,43.465764
字上砂川,空知郡上砂川町,65-133,142.020564,43.465683
字上砂川,空知郡上砂川町,65-144,142.020986,43.465925
字上砂川,空知郡上砂川町,65-138,142.017098,43.456729
字上砂川,空知郡上砂川町,65-143,142.02098,43.463525
字上砂川,空知郡上砂川町,65-139,142.022786,43.464759
字上砂川,空知郡上砂川町,65-106,142.021902,43.46566
字上砂川,空知郡上砂川町,65-145,142.021741,43.466081
字西山,空知郡上砂川町,43-12,142.02262,43.466129
字西山,空知郡上砂川町,43-8,142.023035,43.46582
字上砂川,空知郡上砂川町,65-142,142.023466,43.465212
字西山,空知郡上砂川町,43-9,142.022779,43.466193
字西山,空知郡上砂川町,43-11,142.022528,43.466342
字西山,空知郡上砂川町,43-7,142.018137,43.466464
字西山,空知郡上砂川町,34,142.01528,43.47675
字西山,空知郡上砂川町,23-3,142.014573,43.476831
字西山,空知郡上砂川町,15-8,142.011552,43.475567
字西山,空知郡上砂川町,18-7,142.008898,43.473554
字西山,空知郡上砂川町,15-10,142.008351,43.473682
字西山,空知郡上砂川町,18-6,142.007044,43.47332
字西山,空知郡上砂川町,23-6,142.006991,43.473417
字西山,空知郡上砂川町,18-2,142.007928,43.473468
字西山,空知郡上砂川町,23-2,142.007547,43.473443
字西山,空知郡上砂川町,15-6,142.006017,43.473425
字西山,空知郡上砂川町,18-8,142.005757,43.473372
字上砂川,空知郡上砂川町,長狭物不明-4,141.993516,43.477223
字西山,空知郡上砂川町,長狭物不明-5,142.007309,43.473298
字西山,空知郡上砂川町,43-4W2,142.015536,43.471796
字西山,空知郡上砂川町,27,142.009808,43.473866
字西山,空知郡上砂川町,15-7,142.008865,43.47377
字西山,空知郡上砂川町,23-12,142.009088,43.473753
字西山,空知郡上砂川町,15-3,142.009121,43.473834
字西山,空知郡上砂川町,15-4,142.009072,43.473891
字西山,空知郡上砂川町,18-3,142.009451,43.474213
字西山,空知郡上砂川町,23-13,142.00935,43.47418
字西山,空知郡上砂川町,18-4,142.009607,43.47424
字西山,空知郡上砂川町,15-12,142.007847,43.474181
字西山,空知郡上砂川町,18-1,142.011433,43.474613
字西山,空知郡上砂川町,15-9,142.011594,43.475125
字西山,空知郡上砂川町,23-14,142.012051,43.47532
字上砂川,空知郡上砂川町,65-111,142.014245,43.465835
字上砂川,空知郡上砂川町,65-53,142.014126,43.46653
字上砂川,空知郡上砂川町,65-23,142.011577,43.466602
字上砂川,空知郡上砂川町,65-13,142.011687,43.466623
字上砂川,空知郡上砂川町,71-18,142.011035,43.466763
字上砂川,空知郡上砂川町,65-22,142.010585,43.466949
字上砂川,空知郡上砂川町,71-21,142.010313,43.466952
字上砂川,空知郡上砂川町,65-21,142.010257,43.467044
字上砂川,空知郡上砂川町,70-43,142.010132,43.467186
字上砂川,空知郡上砂川町,71-7,142.008933,43.467184
字上砂川,空知郡上砂川町,70-17,142.010043,43.467064
字上砂川,空知郡上砂川町,70-40,142.009668,43.467146
字西山,空知郡上砂川町,39,142.011651,43.468101
字上砂川,空知郡上砂川町,70-27,142.010278,43.467488
字上砂川,空知郡上砂川町,70-85,142.006482,43.468002
字上砂川,空知郡上砂川町,70-84,142.006423,43.467654
字上砂川,空知郡上砂川町,71-22,142.005429,43.467642
字上砂川,空知郡上砂川町,70-41,142.00699,43.467451
字上砂川,空知郡上砂川町,70-36,142.006502,43.467657
字上砂川,空知郡上砂川町,70-86,142.006638,43.467746
字上砂川,空知郡上砂川町,70-18,142.005947,43.467611
