市区町村名,地番,大字名,丁目名,center_lng,center_lat
紋別郡滝上町,3769,字オシラネップ原野,,143.098276,44.038812
紋別郡滝上町,3766-2,字オシラネップ原野,,143.096874,44.040059
紋別郡滝上町,3766-1,字オシラネップ原野,,143.09793,44.039953
紋別郡滝上町,3766-4,字オシラネップ原野,,143.098929,44.038815
紋別郡滝上町,3766-3,字オシラネップ原野,,143.099016,44.038728
紋別郡滝上町,3774-5,字オシラネップ原野,,143.099618,44.038613
紋別郡滝上町,3772,字オシラネップ原野,,143.099762,44.038276
紋別郡滝上町,3773,字オシラネップ原野,,143.100344,44.038144
紋別郡滝上町,3776-2,字オシラネップ原野,,143.100242,44.037465
紋別郡滝上町,4359,字オシラネップ原野,,143.100382,44.037607
紋別郡滝上町,3776-1,字オシラネップ原野,,143.099906,44.037438
紋別郡滝上町,3775,字オシラネップ原野,,143.098968,44.038423
紋別郡滝上町,3766-5,字オシラネップ原野,,143.099281,44.038449
紋別郡滝上町,3774-3,字オシラネップ原野,,143.099386,44.038577
紋別郡滝上町,3765,字オシラネップ原野,,143.095098,44.04164
紋別郡滝上町,3768,字オシラネップ原野,,143.094838,44.041335
紋別郡滝上町,3774-2,字オシラネップ原野,,143.100596,44.036981
紋別郡滝上町,3777,字オシラネップ原野,,143.100768,44.036626
紋別郡滝上町,3774-4,字オシラネップ原野,,143.101154,44.036876
紋別郡滝上町,3774-6,字オシラネップ原野,,143.102385,44.036048
紋別郡滝上町,3774-1,字オシラネップ原野,,143.103108,44.035544
紋別郡滝上町,3780-7,字オシラネップ原野,,143.102275,44.035094
紋別郡滝上町,3771,字オシラネップ原野,,143.102038,44.034873
紋別郡滝上町,3778-1,字オシラネップ原野,,143.101444,44.035581
紋別郡滝上町,4361,字オシラネップ原野,,143.101652,44.035103
紋別郡滝上町,3778-2,字オシラネップ原野,,143.101335,44.036167
紋別郡滝上町,4261-2,字オシラネップ原野,,143.102511,44.032661
紋別郡滝上町,3780-4,字オシラネップ原野,,143.102643,44.033186
紋別郡滝上町,3780-5,字オシラネップ原野,,143.102624,44.033316
紋別郡滝上町,3791-2,字オシラネップ原野,,143.102534,44.033307
紋別郡滝上町,3780-6,字オシラネップ原野,,143.102475,44.034481
紋別郡滝上町,3791-1,字オシラネップ原野,,143.102215,44.034397
紋別郡滝上町,3770-2,字オシラネップ原野,,143.102431,44.034886
紋別郡滝上町,3770-1,字オシラネップ原野,,143.103679,44.034739
紋別郡滝上町,3790,字オシラネップ原野,,143.103337,44.033863
紋別郡滝上町,3785,字オシラネップ原野,,143.104038,44.028718
紋別郡滝上町,3792-2,字オシラネップ原野,,143.102695,44.027753
紋別郡滝上町,4259,字オシラネップ原野,,143.103897,44.033125
紋別郡滝上町,4690,字オシラネップ原野,,143.103786,44.032741
紋別郡滝上町,4260,字オシラネップ原野,,143.104103,44.030865
紋別郡滝上町,3780-2,字オシラネップ原野,,143.102675,44.032967
紋別郡滝上町,4261-1,字オシラネップ原野,,143.102855,44.031137
紋別郡滝上町,4261-4,字オシラネップ原野,,143.102569,44.032867
紋別郡滝上町,4261-3,字オシラネップ原野,,143.102854,44.03059
紋別郡滝上町,3780-8,字オシラネップ原野,,143.103101,44.030241
紋別郡滝上町,3780-3,字オシラネップ原野,,143.103084,44.03052
紋別郡滝上町,4689,字オシラネップ原野,,143.10291,44.030209
紋別郡滝上町,4262,字オシラネップ原野,,143.102977,44.029952
紋別郡滝上町,3787,字オシラネップ原野,,143.102318,44.027811
紋別郡滝上町,4655,字オシラネップ原野,,143.056707,44.052435
紋別郡滝上町,4663,字オシラネップ原野,,143.06034,44.053719
紋別郡滝上町,3730-5,字オシラネップ原野,,143.06078,44.054421
紋別郡滝上町,4348,字オシラネップ原野,,143.060358,44.054416
紋別郡滝上町,3489-1,字オシラネップ原野,,143.058002,44.054347
紋別郡滝上町,3553-1,字オシラネップ原野,,143.057426,44.053005
紋別郡滝上町,4656,字オシラネップ原野,,143.056604,44.052501
紋別郡滝上町,4654,字オシラネップ原野,,143.056376,44.052649
紋別郡滝上町,3553-2,字オシラネップ原野,,143.056625,44.052838
紋別郡滝上町,3553-3,字オシラネップ原野,,143.057058,44.053
紋別郡滝上町,3489-3,字オシラネップ原野,,143.057065,44.05418
紋別郡滝上町,3488-4,字オシラネップ原野,,143.058496,44.055449
紋別郡滝上町,3488-1,字オシラネップ原野,,143.057938,44.055558
紋別郡滝上町,4683,字オシラネップ原野,,143.057429,44.055686
紋別郡滝上町,長狭物不明-53,字オシラネップ原野,,143.057027,44.056003
紋別郡滝上町,3487-2,字オシラネップ原野,,143.057565,44.056004
紋別郡滝上町,3488-2,字オシラネップ原野,,143.057661,44.055687
紋別郡滝上町,3489-2,字オシラネップ原野,,143.057067,44.055268
紋別郡滝上町,1544,字オシラネップ原野,,143.057116,44.056153
紋別郡滝上町,3487-1,字オシラネップ原野,,143.058503,44.055937
紋別郡滝上町,3488-3,字オシラネップ原野,,143.058678,44.05542
紋別郡滝上町,3730-8,字オシラネップ原野,,143.058888,44.055254
紋別郡滝上町,3730-7,字オシラネップ原野,,143.059273,44.05509
紋別郡滝上町,3730-4,字オシラネップ原野,,143.059792,44.055009
紋別郡滝上町,3730-3,字オシラネップ原野,,143.059564,44.055041
紋別郡滝上町,3730-6,字オシラネップ原野,,143.059934,44.054888
紋別郡滝上町,3732-3,字オシラネップ原野,,143.060959,44.054057
紋別郡滝上町,3732-2,字オシラネップ原野,,143.060869,44.054182
紋別郡滝上町,3732-1,字オシラネップ原野,,143.061944,44.053376
紋別郡滝上町,3734,字オシラネップ原野,,143.060793,44.053464
紋別郡滝上町,3730-1,字オシラネップ原野,,143.063083,44.053678
紋別郡滝上町,4349,字オシラネップ原野,,143.060882,44.053695
紋別郡滝上町,3730-2,字オシラネップ原野,,143.061303,44.053897
紋別郡滝上町,3736,字オシラネップ原野,,143.064207,44.052965
紋別郡滝上町,3741,字オシラネップ原野,,143.064532,44.052864
紋別郡滝上町,3749,字オシラネップ原野,,143.065914,44.052684
紋別郡滝上町,4350,字オシラネップ原野,,143.068335,44.051771
紋別郡滝上町,3742-2,字オシラネップ原野,,143.067282,44.052035
紋別郡滝上町,3742-1,字オシラネップ原野,,143.067811,44.051488
紋別郡滝上町,3739,字オシラネップ原野,,143.065572,44.053225
紋別郡滝上町,3743-1,字オシラネップ原野,,143.070578,44.050846
紋別郡滝上町,3743-2,字オシラネップ原野,,143.070366,44.051196
紋別郡滝上町,4351,字オシラネップ原野,,143.071505,44.050044
紋別郡滝上町,3752,字オシラネップ原野,,143.072946,44.049134
紋別郡滝上町,4352,字オシラネップ原野,,143.073235,44.049046
紋別郡滝上町,3737,字オシラネップ原野,,143.074335,44.04885
紋別郡滝上町,3751-1,字オシラネップ原野,,143.072502,44.049825
紋別郡滝上町,3751-2,字オシラネップ原野,,143.073486,44.049327
紋別郡滝上町,3748,字オシラネップ原野,,143.082955,44.044423
紋別郡滝上町,3761,字オシラネップ原野,,143.082669,44.044818
紋別郡滝上町,3738-2,字オシラネップ原野,,143.081277,44.0447
紋別郡滝上町,3757-2,字オシラネップ原野,,143.078646,44.045732
紋別郡滝上町,3738-3,字オシラネップ原野,,143.078761,44.045848
紋別郡滝上町,4354,字オシラネップ原野,,143.081853,44.045251
紋別郡滝上町,3738-1,字オシラネップ原野,,143.081038,44.045192
紋別郡滝上町,3763-6,字オシラネップ原野,,143.085107,44.043937
紋別郡滝上町,3763-4,字オシラネップ原野,,143.083815,44.044455
紋別郡滝上町,3759-1,字オシラネップ原野,,143.083184,44.044972
紋別郡滝上町,3763-1,字オシラネップ原野,,143.09011,44.042883
紋別郡滝上町,3759-2,字オシラネップ原野,,143.093515,44.042123
紋別郡滝上町,3758,字オシラネップ原野,,143.089546,44.043432
紋別郡滝上町,3759-3,字オシラネップ原野,,143.085901,44.043954
紋別郡滝上町,3763-3,字オシラネップ原野,,143.0868,44.043344
紋別郡滝上町,3763-5,字オシラネップ原野,,143.088237,44.04327
紋別郡滝上町,3759-4,字オシラネップ原野,,143.088256,44.043567
紋別郡滝上町,4356,字オシラネップ原野,,143.088549,44.043018
紋別郡滝上町,3494-1,字オシラネップ原野,,143.068814,44.067242
紋別郡滝上町,3494-3,字オシラネップ原野,,143.068158,44.067154
紋別郡滝上町,1525-3,字オシラネップ原野,,143.066988,44.066073
紋別郡滝上町,1525-2,字オシラネップ原野,,143.067049,44.066841
紋別郡滝上町,1525-1,字オシラネップ原野,,143.066269,44.066814
紋別郡滝上町,3256-1,字オシラネップ原野,,143.065437,44.065219
紋別郡滝上町,3256-4,字オシラネップ原野,,143.066377,44.065264
紋別郡滝上町,1527-1,字オシラネップ原野,,143.06541,44.064647
紋別郡滝上町,1532,字オシラネップ原野,,143.066746,44.064155
紋別郡滝上町,長狭物不明-57,字オシラネップ原野,,143.066609,44.064131
紋別郡滝上町,1533-7,字オシラネップ原野,,143.065743,44.063701
紋別郡滝上町,1533-5,字オシラネップ原野,,143.066098,44.063208
紋別郡滝上町,1533-2,字オシラネップ原野,,143.062618,44.060433
紋別郡滝上町,1533-3,字オシラネップ原野,,143.063735,44.060862
紋別郡滝上町,1533-4,字オシラネップ原野,,143.06334,44.061565
紋別郡滝上町,1533-1,字オシラネップ原野,,143.064548,44.062647
紋別郡滝上町,1533-8,字オシラネップ原野,,143.063152,44.060309
紋別郡滝上町,3268,字オシラネップ原野,,143.062792,44.059887
紋別郡滝上町,長狭物不明-55,字オシラネップ原野,,143.062309,44.060017
紋別郡滝上町,3267,字オシラネップ原野,,143.061923,44.060121
紋別郡滝上町,3258-2,字オシラネップ原野,,143.061472,44.061448
紋別郡滝上町,3258-7,字オシラネップ原野,,143.061968,44.062261
紋別郡滝上町,3258-3,字オシラネップ原野,,143.061643,44.061452
紋別郡滝上町,3258-4,字オシラネップ原野,,143.061914,44.061396
紋別郡滝上町,3258-12,字オシラネップ原野,,143.061329,44.061417
紋別郡滝上町,3258-5,字オシラネップ原野,,143.061555,44.061746
紋別郡滝上町,3258-11,字オシラネップ原野,,143.061432,44.061525
紋別郡滝上町,3258-10,字オシラネップ原野,,143.06172,44.061824
紋別郡滝上町,3258-6,字オシラネップ原野,,143.061682,44.061922
紋別郡滝上町,道-67,字オシラネップ原野,,143.059958,44.060691
紋別郡滝上町,3257-3,字オシラネップ原野,,143.061465,44.061978
紋別郡滝上町,3257-6,字オシラネップ原野,,143.061311,44.061852
紋別郡滝上町,3257-8,字オシラネップ原野,,143.061117,44.0615
