市区町村名,地番,大字名,center_lng,center_lat
紋別郡雄武町,229-29,字上沢木,143.047762,44.456072
紋別郡雄武町,229-18,字上沢木,143.048134,44.460875
紋別郡雄武町,229-27,字上沢木,143.050403,44.461832
紋別郡雄武町,229-38,字上沢木,143.051904,44.463175
紋別郡雄武町,229-17,字上沢木,143.048713,44.462537
紋別郡雄武町,229-26,字上沢木,143.05085,44.463377
紋別郡雄武町,229-3,字上沢木,143.053279,44.464677
紋別郡雄武町,229-44,字上沢木,143.055992,44.462705
紋別郡雄武町,327-5,字上沢木,143.060982,44.463192
紋別郡雄武町,229-45,字上沢木,143.060471,44.4637
紋別郡雄武町,327-4,字上沢木,143.069489,44.465822
紋別郡雄武町,228-1,字上沢木,143.066398,44.466312
紋別郡雄武町,447,字上沢木,143.075993,44.470341
紋別郡雄武町,216-1,字上沢木,143.071028,44.472443
紋別郡雄武町,214-1,字上沢木,143.072954,44.471518
紋別郡雄武町,221-2,字上沢木,143.06809,44.472967
紋別郡雄武町,220-1,字上沢木,143.068577,44.472421
紋別郡雄武町,446,字上沢木,143.068125,44.471469
紋別郡雄武町,217,字上沢木,143.068258,44.471574
紋別郡雄武町,216-2,字上沢木,143.068627,44.471295
紋別郡雄武町,219,字上沢木,143.068349,44.471085
紋別郡雄武町,227-295,字上沢木,143.06782,44.470918
紋別郡雄武町,227-296,字上沢木,143.067896,44.470817
紋別郡雄武町,227-298,字上沢木,143.068051,44.470528
紋別郡雄武町,227-299,字上沢木,143.068205,44.470596
紋別郡雄武町,227-297,字上沢木,143.06795,44.470674
紋別郡雄武町,227-261,字上沢木,143.067841,44.47045
紋別郡雄武町,227-300,字上沢木,143.068153,44.47038
紋別郡雄武町,227-266,字上沢木,143.067943,44.470302
紋別郡雄武町,227-270,字上沢木,143.067844,44.470078
紋別郡雄武町,227-271,字上沢木,143.068047,44.470152
紋別郡雄武町,227-302,字上沢木,143.068257,44.47023
紋別郡雄武町,227-304,字上沢木,143.068358,44.470084
紋別郡雄武町,227-303,字上沢木,143.068487,44.470218
紋別郡雄武町,227-301,字上沢木,143.068369,44.470373
紋別郡雄武町,218,字上沢木,143.068592,44.47088
紋別郡雄武町,227-290,字上沢木,143.068613,44.470046
紋別郡雄武町,227-289,字上沢木,143.068746,44.46987
紋別郡雄武町,227-286,字上沢木,143.06835,44.469713
紋別郡雄武町,227-287,字上沢木,143.068561,44.469791
紋別郡雄武町,227-288,字上沢木,143.068461,44.469936
紋別郡雄武町,227-281,字上沢木,143.06825,44.469859
紋別郡雄武町,227-276,字上沢木,143.068147,44.470006
紋別郡雄武町,227-275,字上沢木,143.067944,44.469932
紋別郡雄武町,227-279,字上沢木,143.067837,44.469707
紋別郡雄武町,227-280,字上沢木,143.068047,44.469784
紋別郡雄武町,227-285,字上沢木,143.068148,44.469637
紋別郡雄武町,227-284,字上沢木,143.067939,44.46956
紋別郡雄武町,227-228,字上沢木,143.067135,44.469268
紋別郡雄武町,227-229,字上沢木,143.067333,44.46934
紋別郡雄武町,227-223,字上沢木,143.067034,44.469414
紋別郡雄武町,227-224,字上沢木,143.067232,44.469486
紋別郡雄武町,227-277,字上沢木,143.067425,44.469556
紋別郡雄武町,227-282,字上沢木,143.067527,44.469409
紋別郡雄武町,227-283,字上沢木,143.067728,44.469482
紋別郡雄武町,227-278,字上沢木,143.067626,44.46963
紋別郡雄武町,227-273,字上沢木,143.067522,44.469777
紋別郡雄武町,227-274,字上沢木,143.067734,44.469855
紋別郡雄武町,227-269,字上沢木,143.067634,44.47
紋別郡雄武町,227-268,字上沢木,143.067423,44.469922
紋別郡雄武町,227-267,字上沢木,143.067223,44.469848
紋別郡雄武町,227-262,字上沢木,143.067119,44.469997
紋別郡雄武町,227-214,字上沢木,143.067031,44.469777
紋別郡雄武町,227-272,字上沢木,143.067322,44.469704
紋別郡雄武町,227-219,字上沢木,143.06713,44.469634
紋別郡雄武町,227-212,字上沢木,143.06663,44.469629
