小字名,市区町村名,地番,center_lng,center_lat
字上里,網走郡津別町,744,144.175485,43.559002
字上里,網走郡津別町,663,144.17524,43.562132
字上里,網走郡津別町,663-2,144.176658,43.563426
字上里,網走郡津別町,745,144.177525,43.561332
字上里,網走郡津別町,664,144.180947,43.559115
字上里,網走郡津別町,665,144.177012,43.559278
字上里,網走郡津別町,651,144.178714,43.560472
字上里,網走郡津別町,661-2,144.18672,43.565287
字上里,網走郡津別町,661-3,144.186061,43.565757
字上里,網走郡津別町,709,144.183824,43.564132
字上里,網走郡津別町,662,144.184116,43.564673
字上里,網走郡津別町,642-1,144.185453,43.56523
字上里,網走郡津別町,637-3,144.184516,43.565962
字上里,網走郡津別町,637,144.183192,43.565408
字上里,網走郡津別町,642-4,144.183436,43.565429
字上里,網走郡津別町,637-2,144.181784,43.565311
字上里,網走郡津別町,642-2,144.182353,43.565082
字上里,網走郡津別町,707,144.182466,43.564571
字上里,網走郡津別町,708,144.182547,43.564527
字上里,網走郡津別町,710,144.183575,43.564136
字上里,網走郡津別町,650-1,144.17754,43.562465
字上里,網走郡津別町,720,144.176694,43.563132
字上里,網走郡津別町,650-3,144.177886,43.564096
字上里,網走郡津別町,650-2,144.178014,43.564393
字上里,網走郡津別町,646-6,144.178643,43.565306
字上里,網走郡津別町,647-2,144.178791,43.565315
字上里,網走郡津別町,646-4,144.179878,43.565663
字上里,網走郡津別町,646-5,144.180216,43.565693
字上里,網走郡津別町,647,144.180105,43.565407
字上里,網走郡津別町,643,144.182653,43.564146
字上里,網走郡津別町,642-3,144.182009,43.564685
字上里,網走郡津別町,638-8,144.181029,43.565582
字上里,網走郡津別町,638-10,144.180985,43.565395
字上里,網走郡津別町,742,144.180952,43.566275
字上里,網走郡津別町,644,144.180863,43.565562
字上里,網走郡津別町,743,144.18106,43.566866
字上里,網走郡津別町,無地番-1,144.180145,43.567004
字上里,網走郡津別町,646-7,144.180203,43.567101
字上里,網走郡津別町,638-9,144.179927,43.567638
字上里,網走郡津別町,638-3,144.180193,43.567422
字上里,網走郡津別町,714,144.180135,43.567501
字上里,網走郡津別町,638-6,144.179958,43.567767
字上里,網走郡津別町,638-5,144.179898,43.567862
字上里,網走郡津別町,638-7,144.179839,43.567766
字上里,網走郡津別町,646-2,144.179753,43.567265
字上里,網走郡津別町,713,144.180052,43.567348
字上里,網走郡津別町,712,144.180377,43.566733
字上里,網走郡津別町,646-3,144.180254,43.565931
字上里,網走郡津別町,646-1,144.179696,43.566475
字上里,網走郡津別町,645-2,144.177877,43.566121
字上里,網走郡津別町,638-11,144.181005,43.567473
字上里,網走郡津別町,631-5,144.179309,43.568768
字上里,網走郡津別町,639,144.178889,43.567887
字上里,網走郡津別町,660,144.176935,43.568554
字上里,網走郡津別町,638-4,144.178955,43.569637
字上里,網走郡津別町,638-2,144.179844,43.567963
字上里,網走郡津別町,741,144.179509,43.568767
字上里,網走郡津別町,638-1,144.180537,43.567874
字上里,網走郡津別町,641,144.181817,43.566023
字上里,網走郡津別町,661-1,144.186459,43.566688
字上里,網走郡津別町,630-3,144.176902,43.576781
字上里,網走郡津別町,629-17,144.177828,43.577592
字上里,網走郡津別町,629-20,144.17732,43.577301
字上里,網走郡津別町,740,144.177305,43.573105
字上里,網走郡津別町,634-1,144.176022,43.574163
字上里,網走郡津別町,630-5,144.178678,43.571185
字上里,網走郡津別町,634-3,144.178101,43.571893
字上里,網走郡津別町,630-1,144.179688,43.570316
字上里,網走郡津別町,634-5,144.178346,43.571375
字上里,網走郡津別町,631-4,144.177624,43.571729
字上里,網走郡津別町,640,144.177814,43.570768
字上里,網走郡津別町,634-2,144.176464,43.572373
字上里,網走郡津別町,634-4,144.175488,43.575245
字上里,網走郡津別町,631-1,144.174923,43.57277
字上里,網走郡津別町,630-4,144.175675,43.575399
字上里,網走郡津別町,629-16,144.176156,43.576487
字上里,網走郡津別町,629-15,144.175285,43.576091
字上里,網走郡津別町,629-3,144.175856,43.577038
字上里,網走郡津別町,629-1,144.174572,43.578166
字上里,網走郡津別町,629-4,144.173743,43.578565
字上里,網走郡津別町,629-23,144.174586,43.57676
字上里,網走郡津別町,629-2,144.173471,43.578137
字上里,網走郡津別町,632-1,144.174203,43.575358
字上里,網走郡津別町,631-3,144.17387,43.57486
字上里,網走郡津別町,629-25,144.174429,43.576615
字上里,網走郡津別町,629-27,144.174936,43.576313
字上里,網走郡津別町,629-28,144.175269,43.575923
字上里,網走郡津別町,629-24,144.175031,43.57583
字上里,網走郡津別町,645-1,144.1761,43.567398
字上里,網走郡津別町,648-2,144.174443,43.566597
字上里,網走郡津別町,648-1,144.17623,43.565804
字上里,網走郡津別町,649,144.175365,43.564295
字上里,網走郡津別町,697-2,144.132474,43.575496
字上里,網走郡津別町,734,144.130517,43.574737
字上里,網走郡津別町,733,144.130412,43.575682
字上里,網走郡津別町,697-3,144.131476,43.575997
字上里,網走郡津別町,697-1,144.131744,43.576549
字上里,網走郡津別町,696-3,144.129986,43.577878
字上里,網走郡津別町,696-1,144.130618,43.577434
字上里,網走郡津別町,730,144.129755,43.577407
字上里,網走郡津別町,731,144.129803,43.577114
字上里,網走郡津別町,696-2,144.131103,43.575105
字相生,網走郡津別町,460-2,144.031177,43.535015
字相生,網走郡津別町,460,144.030062,43.53511
字相生,網走郡津別町,459-2,144.031579,43.536074
