小字名,市区町村名,地番,大字名,丁目名,center_lng,center_lat
字光珠内,美唄市,2794-1,,,141.858319,43.25945
字光珠内,美唄市,2794-6,,,141.860626,43.259763
字光珠内,美唄市,2794-11,,,141.860974,43.260349
字光珠内,美唄市,2794-12,,,141.862317,43.261148
字光珠内,美唄市,2794-9,,,141.857307,43.258566
字光珠内,美唄市,2794-3,,,141.860698,43.262268
字光珠内,美唄市,2794-2,,,141.859203,43.260228
字光珠内,美唄市,8963,,,141.859115,43.261105
字光珠内,美唄市,2793-3,,,141.858315,43.261254
字光珠内,美唄市,8964,,,141.856121,43.2603
字光珠内,美唄市,2793-2,,,141.857433,43.260896
字光珠内,美唄市,2299-2,,,141.854691,43.259941
字光珠内,美唄市,2793-1,,,141.856648,43.259772
字光珠内,美唄市,水-180,,,141.850465,43.259128
字光珠内,美唄市,2794-10,,,141.856988,43.258739
字光珠内,美唄市,2299-17,,,141.852002,43.259881
字光珠内,美唄市,2299-4,,,141.852962,43.259194
字光珠内,美唄市,2299-13,,,141.849883,43.259471
字光珠内三号川,美唄市,1921-1,,,141.845479,43.258774
字光珠内三号川,美唄市,水-203,,,141.847151,43.259374
字光珠内,美唄市,2299-10,,,141.848008,43.259561
字光珠内,美唄市,2299-23,,,141.847641,43.260081
字光珠内,美唄市,2299-8,,,141.847195,43.262281
字光珠内,美唄市,2299-19,,,141.846931,43.260735
字光珠内,美唄市,2481-21,,,141.844726,43.260625
字光珠内,美唄市,2299-20,,,141.846307,43.262984
字光珠内,美唄市,2481-45,,,141.844795,43.26211
字光珠内,美唄市,2299-21,,,141.847893,43.262324
字光珠内,美唄市,2299-14,,,141.848371,43.262313
字光珠内,美唄市,2299-5,,,141.849691,43.261912
字光珠内,美唄市,2299-6,,,141.848732,43.260079
字光珠内,美唄市,2299-12,,,141.850576,43.260461
字光珠内,美唄市,2299-1,,,141.851564,43.261364
字光珠内,美唄市,2331-11,,,141.851218,43.263571
字光珠内,美唄市,2331-1,,,141.85241,43.263111
字光珠内,美唄市,2331-29,,,141.853654,43.26489
字光珠内,美唄市,2331-23,,,141.852051,43.264851
字光珠内,美唄市,2331-12,,,141.851627,43.264266
字光珠内,美唄市,2331-40,,,141.851056,43.264427
字光珠内,美唄市,2331-4,,,141.850384,43.262988
字光珠内,美唄市,2331-10,,,141.85074,43.262612
字光珠内,美唄市,2299-22,,,141.847777,43.262552
字光珠内,美唄市,2299-15,,,141.847873,43.262915
字光珠内,美唄市,2299-3,,,141.847376,43.263611
字光珠内,美唄市,2299-18,,,141.846792,43.262606
字光珠内,美唄市,2481-11,,,141.845404,43.262699
字光珠内,美唄市,2481-46,,,141.844752,43.262852
字光珠内,美唄市,2481-48,,,141.846324,43.264021
字光珠内,美唄市,2481-6,,,141.845335,43.263821
字光珠内,美唄市,1991-23,,,141.846737,43.264626
字光珠内,美唄市,2331-25,,,141.847299,43.264441
字光珠内,美唄市,2299-16,,,141.847086,43.264214
字光珠内,美唄市,2331-20,,,141.849413,43.263949
字光珠内,美唄市,2331-9,,,141.848948,43.265906
字光珠内,美唄市,1991-41,,,141.846916,43.265472
字光珠内,美唄市,1991-40,,,141.84605,43.265227
字光珠内,美唄市,2481-56,,,141.845455,43.264893
字光珠内,美唄市,2481-25,,,141.844851,43.265033
字光珠内,美唄市,1991-12,,,141.844937,43.265989
字光珠内,美唄市,1991-39,,,141.844334,43.266901
字光珠内,美唄市,1991-15,,,141.844296,43.267237
字光珠内,美唄市,1991-35,,,141.845313,43.26738
字光珠内,美唄市,1991-4,,,141.847669,43.26654
字光珠内,美唄市,2331-30,,,141.850335,43.266765
字光珠内,美唄市,2331-8,,,141.850456,43.266516
字光珠内,美唄市,2331-36,,,141.850338,43.266356
字光珠内,美唄市,2331-7,,,141.850367,43.266266
字光珠内,美唄市,2331-38,,,141.849762,43.26632
字光珠内,美唄市,1991-34,,,141.848926,43.266326
字光珠内,美唄市,2331-39,,,141.849397,43.266
字光珠内,美唄市,2331-5,,,141.850529,43.265236
字光珠内,美唄市,2331-2,,,141.849061,43.265443
字光珠内,美唄市,2331-6,,,141.849979,43.265407
字光珠内,美唄市,2331-37,,,141.850477,43.266007
字光珠内,美唄市,2331-42,,,141.851393,43.265989
字光珠内,美唄市,2331-47,,,141.851819,43.265504
字光珠内,美唄市,2331-13,,,141.850999,43.265477
字光珠内,美唄市,2331-16,,,141.850948,43.265063
字光珠内,美唄市,2331-18,,,141.852202,43.265044
字光珠内,美唄市,2331-43,,,141.852909,43.265349
字光珠内,美唄市,2331-44,,,141.852388,43.265734
字光珠内,美唄市,2331-3,,,141.85269,43.266436
字光珠内,美唄市,2331-14,,,141.851721,43.266574
字光珠内,美唄市,2331-41,,,141.851884,43.267088
字光珠内,美唄市,2331-31,,,141.852753,43.267438
字光珠内,美唄市,2331-28,,,141.854373,43.266687
字光珠内,美唄市,2331-35,,,141.854323,43.266612
字光珠内,美唄市,3429-8,,,141.854631,43.266754
字美唄,美唄市,2507-76,,,141.857728,43.266645
字光珠内,美唄市,3429-3,,,141.857249,43.266306
字光珠内,美唄市,2331-26,,,141.854873,43.265313
字光珠内,美唄市,3429-7,,,141.855643,43.262516
字光珠内,美唄市,3429-4,,,141.857365,43.263524
字美唄,美唄市,2507-110,,,141.858073,43.264309
字美唄,美唄市,2507-108,,,141.85996,43.264308
字美唄,美唄市,2507-111,,,141.857973,43.26314
字美唄,美唄市,2507-109,,,141.859165,43.263161
字美唄,美唄市,2507-84,,,141.85996,43.262701
字美唄,美唄市,2507-81,,,141.86202,43.263653
字美唄,美唄市,2507-75,,,141.860828,43.26429
字美唄,美唄市,2507-65,,,141.861052,43.264535
字美唄,美唄市,2507-8,,,141.859595,43.265505
字美唄,美唄市,2507-74,,,141.857944,43.26548
字美唄,美唄市,2507-9,,,141.858768,43.266712
字美唄,美唄市,2507-11,,,141.859494,43.267384
字美唄,美唄市,2507-79,,,141.86136,43.267152
字美唄,美唄市,2507-12,,,141.860816,43.265796
字美唄,美唄市,2507-70,,,141.863343,43.266293
字美唄,美唄市,2507-1,,,141.862498,43.266324
字美唄,美唄市,2507-83,,,141.86261,43.265422
字美唄,美唄市,2507-85,,,141.866542,43.265018
字美唄,美唄市,2507-97,,,141.866638,43.266268
字美唄,美唄市,2507-107,,,141.865273,43.266531
字美唄,美唄市,2507-71,,,141.864431,43.266882
字美唄,美唄市,2507-96,,,141.865063,43.267241
字美唄,美唄市,2507-98,,,141.865877,43.267013
字美唄,美唄市,2507-14,,,141.867648,43.265855
字美唄,美唄市,2507-86,,,141.869457,43.267522
字美唄,美唄市,2507-16,,,141.869681,43.266719
字光珠内,美唄市,2795-3,,,141.870222,43.265755
字光珠内,美唄市,2795-2,,,141.869329,43.264996
字光珠内,美唄市,2795-1,,,141.868728,43.26555
字光珠内,美唄市,2795-5,,,141.868003,43.264826
字光珠内,美唄市,水-186,,,141.866721,43.264224
字光珠内,美唄市,2794-5,,,141.865922,43.264185
字美唄,美唄市,2507-13,,,141.864413,43.264783
字美唄,美唄市,2507-82,,,141.863134,43.264139
字光珠内,美唄市,2794-4,,,141.861925,43.261758
字光珠内,美唄市,2794-8,,,141.86379,43.261595
字光珠内,美唄市,2794-7,,,141.862837,43.261094
字光珠内,美唄市,水-184,,,141.873668,43.267129
字光珠内,美唄市,2795-4,,,141.8723,43.267222
字美唄,美唄市,2507-89,,,141.871537,43.268116
字美唄,美唄市,2507-17,,,141.872939,43.268757
字美唄,美唄市,2507-18,,,141.873094,43.269131
字美唄,美唄市,2507-91,,,141.873641,43.269412
字美唄,美唄市,2507-92,,,141.874554,43.269522
字美唄,美唄市,2507-56,,,141.875545,43.270192
字美唄,美唄市,2507-106,,,141.874661,43.269926
字美唄,美唄市,2507-24,,,141.871606,43.270411
字美唄,美唄市,2507-51,,,141.872727,43.270798
字美唄,美唄市,2507-64,,,141.873035,43.270436
字美唄,美唄市,道-722,,,141.871863,43.270255
字美唄,美唄市,2507-59,,,141.872163,43.271808
字美唄,美唄市,2507-19,,,141.874155,43.271093
字光珠内,美唄市,2795-7,,,141.876786,43.270402
字光珠内,美唄市,2795-6,,,141.876622,43.270042
字カーウシュナイ,美唄市,678-5,,,141.879378,43.276351
字カーウシュナイ,美唄市,678-4,,,141.876972,43.276047
字カーウシュナイ,美唄市,678-10,,,141.874023,43.275691
字美唄,美唄市,2507-20,,,141.875166,43.273013
字美唄,美唄市,2507-21,,,141.873443,43.272429
字カーウシュナイ,美唄市,677-2,,,141.868987,43.272996
字美唄,美唄市,2507-47,,,141.870579,43.272277
字カーウシュナイ,美唄市,677-7,,,141.86894,43.274687
字カーウシュナイ,美唄市,677-1,,,141.870246,43.275063
字カーウシュナイ,美唄市,677-3,,,141.86629,43.275639
字カーウシュナイ,美唄市,道-67,,,141.86611,43.269812
字カーウシュナイ,美唄市,676-3,,,141.866369,43.269803
字美唄,美唄市,2507-45,,,141.867218,43.271054
字美唄,美唄市,2507-105,,,141.868978,43.271664
字美唄,美唄市,2507-2,,,141.871387,43.271244
字美唄,美唄市,2507-22,,,141.870272,43.27138
字美唄,美唄市,2507-93,,,141.867192,43.269496
字美唄,美唄市,2507-23,,,141.868295,43.268001
字美唄,美唄市,2507-73,,,141.869828,43.269962
字美唄,美唄市,2507-3,,,141.871164,43.26928
字美唄,美唄市,2507-5,,,141.869297,43.268731
字美唄,美唄市,2507-90,,,141.869847,43.268365
字美唄,美唄市,2507-87,,,141.869222,43.268243
字美唄,美唄市,2507-88,,,141.87131,43.267687
字美唄,美唄市,2507-99,,,141.867537,43.267809
字美唄,美唄市,2507-26,,,141.866159,43.267819
字美唄,美唄市,2507-67,,,141.865228,43.267812
字美唄,美唄市,2507-66,,,141.864337,43.267995
字美唄,美唄市,2507-94,,,141.866747,43.268756
字美唄,美唄市,2507-68,,,141.866023,43.268796
字美唄,美唄市,2507-69,,,141.865784,43.269274
字美唄,美唄市,2507-37,,,141.865615,43.269545
字美唄,美唄市,2507-104,,,141.86484,43.269175
字美唄,美唄市,2507-39,,,141.863854,43.268605
字美唄,美唄市,2507-80,,,141.862499,43.268075
字美唄,美唄市,2507-72,,,141.863476,43.26766
字美唄,美唄市,2507-103,,,141.861607,43.268378
字美唄,美唄市,2507-101,,,141.860808,43.26836
字美唄,美唄市,2507-78,,,141.860563,43.267544
字美唄,美唄市,2507-25,,,141.858298,43.267951
字美唄,美唄市,2507-10,,,141.8579,43.26788
