市区町村名,地番,大字名,丁目名,center_lng,center_lat
芦別市,26-5,泉,,142.349079,43.378132
芦別市,26-4,泉,,142.348897,43.37809
芦別市,26-1,泉,,142.34851,43.378077
芦別市,26-3,泉,,142.348746,43.377989
芦別市,26-6,泉,,142.34839,43.377968
芦別市,33-2,泉,,142.348145,43.378039
芦別市,33-12,泉,,142.348253,43.377935
芦別市,23-6,泉,,142.348164,43.377869
芦別市,33-7,泉,,142.347712,43.377839
芦別市,33-11,泉,,142.347736,43.377795
芦別市,33-26,泉,,142.348035,43.377864
芦別市,33-15,泉,,142.347923,43.377817
芦別市,33-18,泉,,142.347752,43.377698
芦別市,27-3,泉,,142.347321,43.377685
芦別市,33-19,泉,,142.347672,43.377781
芦別市,33-25,泉,,142.347551,43.377976
芦別市,33-22,泉,,142.347478,43.378126
芦別市,33-14,泉,,142.347406,43.378161
芦別市,33-16,泉,,142.347258,43.378068
芦別市,23-3,泉,,142.345502,43.37738
芦別市,33-1,泉,,142.346679,43.378102
芦別市,33-8,泉,,142.347107,43.377814
芦別市,27-1,泉,,142.346829,43.37753
芦別市,27-2,泉,,142.346419,43.377099
芦別市,35-2,泉,,142.344876,43.377461
芦別市,33-9,泉,,142.345373,43.376996
芦別市,33-17,泉,,142.345979,43.376964
芦別市,33-23,泉,,142.345199,43.375961
芦別市,31-1,泉,,142.344711,43.375853
芦別市,31-2,泉,,142.34505,43.375592
芦別市,水-24,泉,,142.340365,43.374124
芦別市,33-24,泉,,142.344235,43.375715
芦別市,33-10,泉,,142.343527,43.37596
芦別市,44,泉,,142.343582,43.376735
芦別市,43-4,泉,,142.34307,43.377435
芦別市,45-1,泉,,142.342315,43.377595
芦別市,45-8,泉,,142.341448,43.377467
芦別市,45-9,泉,,142.341864,43.377585
芦別市,45-7,泉,,142.342676,43.376322
芦別市,52,泉,,142.340025,43.376279
芦別市,51-14,泉,,142.340392,43.376688
芦別市,51-8,泉,,142.340782,43.376675
芦別市,51-10,泉,,142.340767,43.377354
芦別市,51-13,泉,,142.339814,43.377489
芦別市,51-15,泉,,142.339833,43.377984
芦別市,51-12,泉,,142.340241,43.377528
芦別市,51-4,泉,,142.339689,43.376839
芦別市,59-3,泉,,142.338882,43.377289
芦別市,長狭物不明-7,泉,,142.338245,43.38102
芦別市,51-16,泉,,142.339462,43.378102
芦別市,60-11,泉,,142.338854,43.378003
芦別市,60-13,泉,,142.338849,43.377663
芦別市,60-12,泉,,142.338531,43.377966
芦別市,60-14,泉,,142.338144,43.378007
芦別市,60-15,泉,,142.338195,43.377763
芦別市,60-16,泉,,142.338256,43.377497
芦別市,60-17,泉,,142.33832,43.377233
芦別市,60-18,泉,,142.338385,43.376967
芦別市,60-57,泉,,142.338026,43.376578
芦別市,60-19,泉,,142.33845,43.376701
芦別市,59-1,泉,,142.338942,43.37697
芦別市,59-2,泉,,142.339087,43.376434
芦別市,60-20,泉,,142.338532,43.376404
芦別市,60-58,泉,,142.338051,43.37638
芦別市,53,泉,,142.339312,43.375888
芦別市,54,泉,,142.339534,43.374616
芦別市,55,泉,,142.337445,43.372841
芦別市,60-54,泉,,142.337047,43.376691
芦別市,60-53,泉,,142.336771,43.376873
芦別市,60-52,泉,,142.336498,43.377046
芦別市,60-42,泉,,142.33725,43.377043
芦別市,60-55,泉,,142.337329,43.376509
芦別市,60-56,泉,,142.337686,43.376506
芦別市,60-38,泉,,142.337947,43.376841
芦別市,60-39,泉,,142.3376,43.376926
芦別市,60-37,泉,,142.337902,43.377037
芦別市,60-36,泉,,142.337676,43.377219
芦別市,60-35,泉,,142.337624,43.37744
芦別市,60-32,泉,,142.337683,43.377911
芦別市,60-33,泉,,142.33736,43.377865
芦別市,60-1,泉,,142.337664,43.378819
芦別市,60-34,泉,,142.337574,43.377662
芦別市,60-40,泉,,142.337037,43.377701
芦別市,60-31,泉,,142.336537,43.378109
芦別市,60-43,泉,,142.33661,43.377769
芦別市,60-44,泉,,142.336652,43.377537
芦別市,60-41,泉,,142.33695,43.377311
芦別市,60-51,泉,,142.336155,43.377203
芦別市,60-50,泉,,142.335976,43.37748
芦別市,60-49,泉,,142.336038,43.377794
芦別市,60-48,泉,,142.336026,43.378045
芦別市,長狭物不明-103,泉,,142.326686,43.369865
芦別市,71-1,泉,,142.327532,43.369748
芦別市,69,泉,,142.327065,43.371041
芦別市,74-1,泉,,142.326012,43.369274
芦別市,107,泉,,142.325594,43.36903
芦別市,長狭物不明-104,泉,,142.325218,43.369046
芦別市,76-3,泉,,142.324794,43.368696
芦別市,76-2,泉,,142.325391,43.368591
芦別市,76-1,泉,,142.326306,43.368521
芦別市,74-2,泉,,142.326533,43.369162
芦別市,106,泉,,142.327143,43.369069
芦別市,71-2,泉,,142.326836,43.369197
芦別市,73,泉,,142.327148,43.368813
芦別市,82-9,泉,,142.322207,43.367052
芦別市,82-8,泉,,142.324601,43.36821
芦別市,82-7,泉,,142.323722,43.367937
芦別市,82-5,泉,,142.323411,43.368042
芦別市,82-4,泉,,142.324195,43.367987
芦別市,108,泉,,142.324384,43.368984
芦別市,79-3,泉,,142.322792,43.368185
芦別市,79-2,泉,,142.323502,43.368825
芦別市,79-9,泉,,142.323,43.369211
芦別市,79-8,泉,,142.321912,43.368129
芦別市,79-6,泉,,142.321928,43.367873
芦別市,79-7,泉,,142.322242,43.367872
芦別市,79-4,泉,,142.322404,43.367782
芦別市,80,泉,,142.322493,43.368042
芦別市,82-2,泉,,142.324053,43.368482
